tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Olympic Games Sydney 2000,2000-09-16,KREANGA Kalinikos,SUSENO Anton,3,0,"21,21,21|10,10,15",,OLYMPICS,MS,919,Qualification,KREANGA Kalinikos (GRE),SUSENO Anton (INA),KREANGA Kalinikos
Olympic Games Sydney 2000,2000-09-16,LASHIN Elsayed,SUSENO Anton,3,0,"22,24,21|20,22,19",,OLYMPICS,MS,919,Qualification,LASHIN Elsayed (EGY),SUSENO Anton (INA),LASHIN Elsayed
Olympic Games Sydney 2000,2000-09-16,KREANGA Kalinikos,LASHIN Elsayed,3,0,"21,21,21|6,9,18",,OLYMPICS,MS,919,Qualification,KREANGA Kalinikos (GRE),LASHIN Elsayed (EGY),KREANGA Kalinikos
Olympic Games Sydney 2000,2000-09-16,ROSSKOPF Jorg,HELMY Ashraf,3,0,"21,21,21|8,11,15",,OLYMPICS,MS,919,Qualification,ROSSKOPF Jorg (GER),HELMY Ashraf (EGY),ROSSKOPF Jorg
Olympic Games Sydney 2000,2000-09-16,ROSSKOPF Jorg,ZHUANG David,3,0,"21,21,21|15,8,12",,OLYMPICS,MS,919,Qualification,ROSSKOPF Jorg (GER),ZHUANG David (USA),ROSSKOPF Jorg
Olympic Games Sydney 2000,2000-09-16,ZHUANG David,HELMY Ashraf,3,1,"21,21,12,21|11,16,21,16",,OLYMPICS,MS,919,Qualification,ZHUANG David (USA),HELMY Ashraf (EGY),ZHUANG David
Olympic Games Sydney 2000,2000-09-16,KORBEL Petr,BABOOR Chetan,3,1,"13,21,21,21|21,17,16,14",,OLYMPICS,MS,919,Qualification,KORBEL Petr (CZE),BABOOR Chetan (IND),KORBEL Petr
Olympic Games Sydney 2000,2000-09-16,BABOOR Chetan,JACKSON Peter,3,0,"25,21,23|23,18,21",,OLYMPICS,MS,919,Qualification,BABOOR Chetan (IND),JACKSON Peter (NZL),BABOOR Chetan
Olympic Games Sydney 2000,2000-09-16,KORBEL Petr,JACKSON Peter,3,0,"21,21,21|11,13,15",,OLYMPICS,MS,919,Qualification,KORBEL Petr (CZE),JACKSON Peter (NZL),KORBEL Petr
Olympic Games Sydney 2000,2000-09-16,TORIOLA Segun,SOSA Reinier,3,1,"21,19,21,21|19,21,18,8",,OLYMPICS,MS,919,Qualification,TORIOLA Segun (NGR),SOSA Reinier (CUB),TORIOLA Segun
Olympic Games Sydney 2000,2000-09-16,HUANG Johnny,SOSA Reinier,3,0,"21,21,21|18,12,12",,OLYMPICS,MS,919,Qualification,HUANG Johnny (CAN),SOSA Reinier (CUB),HUANG Johnny
Olympic Games Sydney 2000,2000-09-16,HUANG Johnny,TORIOLA Segun,3,2,"21,12,22,21,21|12,21,24,19,7",,OLYMPICS,MS,919,Qualification,HUANG Johnny (CAN),TORIOLA Segun (NGR),HUANG Johnny
Olympic Games Sydney 2000,2000-09-16,BLASZCZYK Lucjan,CRISAN Adrian,3,2,"15,21,19,21,21|21,16,21,16,18",,OLYMPICS,MS,919,Qualification,BLASZCZYK Lucjan (POL),CRISAN Adrian (ROU),BLASZCZYK Lucjan
Olympic Games Sydney 2000,2000-09-16,CRISAN Adrian,GERADA Simon,3,0,"21,21,21|9,16,11",,OLYMPICS,MS,919,Qualification,CRISAN Adrian (ROU),GERADA Simon (AUS),CRISAN Adrian
Olympic Games Sydney 2000,2000-09-16,BLASZCZYK Lucjan,GERADA Simon,3,0,"21,21,22|8,10,20",,OLYMPICS,MS,919,Qualification,BLASZCZYK Lucjan (POL),GERADA Simon (AUS),BLASZCZYK Lucjan
Olympic Games Sydney 2000,2000-09-16,ISEKI Seiko,ARADO Francisco,3,0,"21,21,21|7,7,17",,OLYMPICS,MS,919,Qualification,ISEKI Seiko (JPN),ARADO Francisco (CUB),ISEKI Seiko
Olympic Games Sydney 2000,2000-09-16,ISEKI Seiko,CHENG Yinghua,3,1,"16,21,21,21|21,18,17,18",,OLYMPICS,MS,919,Qualification,ISEKI Seiko (JPN),CHENG Yinghua (USA),ISEKI Seiko
Olympic Games Sydney 2000,2000-09-16,CHENG Yinghua,ARADO Francisco,3,0,"21,21,21|8,14,14",,OLYMPICS,MS,919,Qualification,CHENG Yinghua (USA),ARADO Francisco (CUB),CHENG Yinghua
Olympic Games Sydney 2000,2000-09-16,TASAKI Toshio,PLACHY Josef,3,0,"21,21,21|14,19,17",,OLYMPICS,MS,919,Qualification,TASAKI Toshio (JPN),PLACHY Josef (CZE),TASAKI Toshio
Olympic Games Sydney 2000,2000-09-16,PLACHY Josef,GAMBRA Jorge,3,0,"21,21,21|16,14,14",,OLYMPICS,MS,919,Qualification,PLACHY Josef (CZE),GAMBRA Jorge (CHI),PLACHY Josef
Olympic Games Sydney 2000,2000-09-16,TASAKI Toshio,GAMBRA Jorge,3,1,"21,11,21,21|17,21,15,15",,OLYMPICS,MS,919,Qualification,TASAKI Toshio (JPN),GAMBRA Jorge (CHI),TASAKI Toshio
Olympic Games Sydney 2000,2000-09-16,HOYAMA Hugo,LIU Kurt,3,0,"21,21,21|16,16,13",,OLYMPICS,MS,919,Qualification,HOYAMA Hugo (BRA),LIU Kurt (CAN),HOYAMA Hugo
Olympic Games Sydney 2000,2000-09-16,CHEUNG Yuk,LIU Kurt,3,1,"21,21,19,21|15,9,21,15",,OLYMPICS,MS,919,Qualification,CHEUNG Yuk (HKG),LIU Kurt (CAN),CHEUNG Yuk
Olympic Games Sydney 2000,2000-09-16,CHEUNG Yuk,HOYAMA Hugo,3,2,"18,21,19,21,21|21,17,21,15,18",,OLYMPICS,MS,919,Qualification,CHEUNG Yuk (HKG),HOYAMA Hugo (BRA),CHEUNG Yuk
Olympic Games Sydney 2000,2000-09-16,RYU Seungmin,LEUNG Chu Yan,3,0,"21,22,21|9,20,19",,OLYMPICS,MS,919,Qualification,RYU Seungmin (KOR),LEUNG Chu Yan (HKG),RYU Seungmin
Olympic Games Sydney 2000,2000-09-16,SMYTHE Mark,LEUNG Chu Yan,3,2,"21,10,14,21,22|18,21,21,15,20",,OLYMPICS,MS,919,Qualification,SMYTHE Mark (AUS),LEUNG Chu Yan (HKG),SMYTHE Mark
Olympic Games Sydney 2000,2000-09-16,RYU Seungmin,SMYTHE Mark,3,0,"21,21,21|5,18,17",,OLYMPICS,MS,919,Qualification,RYU Seungmin (KOR),SMYTHE Mark (AUS),RYU Seungmin
Olympic Games Sydney 2000,2000-09-16,KEEN Trinko,EHTESHAMZADEH Majid,3,0,"21,21,21|4,11,5",,OLYMPICS,MS,919,Qualification,KEEN Trinko (NED),EHTESHAMZADEH Majid (IRI),KEEN Trinko
Olympic Games Sydney 2000,2000-09-16,KEEN Trinko,TSIOKAS Ntaniel,3,1,"21,18,21,21|9,21,15,10",,OLYMPICS,MS,919,Qualification,KEEN Trinko (NED),TSIOKAS Ntaniel (GRE),KEEN Trinko
Olympic Games Sydney 2000,2000-09-16,TSIOKAS Ntaniel,EHTESHAMZADEH Majid,3,0,"21,21,21|19,13,13",,OLYMPICS,MS,919,Qualification,TSIOKAS Ntaniel (GRE),EHTESHAMZADEH Majid (IRI),TSIOKAS Ntaniel
Olympic Games Sydney 2000,2000-09-16,HEISTER Danny,KRZESZEWSKI Tomasz,3,0,"21,21,21|13,19,17",,OLYMPICS,MS,919,Qualification,HEISTER Danny (NED),KRZESZEWSKI Tomasz (POL),HEISTER Danny
Olympic Games Sydney 2000,2000-09-16,KRZESZEWSKI Tomasz,LAVALE Russell,3,0,"21,21,21|16,11,17",,OLYMPICS,MS,919,Qualification,KRZESZEWSKI Tomasz (POL),LAVALE Russell (AUS),KRZESZEWSKI Tomasz
Olympic Games Sydney 2000,2000-09-16,HEISTER Danny,LAVALE Russell,3,0,"21,21,21|9,15,17",,OLYMPICS,MS,919,Qualification,HEISTER Danny (NED),LAVALE Russell (AUS),HEISTER Danny
Olympic Games Sydney 2000,2000-09-16,GRUJIC Slobodan,AKINLABI Peter,3,0,"21,21,21|14,12,16",,OLYMPICS,MS,919,Qualification,GRUJIC Slobodan (SRB),AKINLABI Peter (NGR),GRUJIC Slobodan
Olympic Games Sydney 2000,2000-09-16,LEE Chulseung,AKINLABI Peter,3,0,"21,21,21|16,10,17",,OLYMPICS,MS,919,Qualification,LEE Chulseung (KOR),AKINLABI Peter (NGR),LEE Chulseung
Olympic Games Sydney 2000,2000-09-16,LEE Chulseung,GRUJIC Slobodan,3,2,"21,21,15,14,21|11,19,21,21,17",,OLYMPICS,MS,919,Qualification,LEE Chulseung (KOR),GRUJIC Slobodan (SRB),LEE Chulseung
Olympic Games Sydney 2000,2000-09-16,BOLL Timo,LIU Song,3,1,"21,17,21,21|9,21,12,19",,OLYMPICS,MS,919,Qualification,BOLL Timo (GER),LIU Song (ARG),BOLL Timo
Olympic Games Sydney 2000,2000-09-16,LIU Song,AL-HAMMADI Hamad,3,1,"21,13,21,21|16,21,12,14",,OLYMPICS,MS,919,Qualification,LIU Song (ARG),AL-HAMMADI Hamad (QAT),LIU Song
Olympic Games Sydney 2000,2000-09-16,BOLL Timo,AL-HAMMADI Hamad,3,0,"21,21,21|14,12,12",,OLYMPICS,MS,919,Qualification,BOLL Timo (GER),AL-HAMMADI Hamad (QAT),BOLL Timo
Olympic Games Sydney 2000,2000-09-16,CHANG Yen-Shu,HAMAM Gdara,3,0,"21,21,21|10,11,7",,OLYMPICS,MS,919,Qualification,CHANG Yen-Shu (TPE),HAMAM Gdara (TUN),CHANG Yen-Shu
