tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Danish Open Farum 2001,2001-11-29,COSTES Agathe,SKOV Mie,4,0,"11,8,11,18,11|3,11,9,16,6",1,GRAND_SLAM,WS,1280,Qualification,COSTES Agathe (FRA),SKOV Mie (DEN),COSTES Agathe
Danish Open Farum 2001,2001-11-29,COSTES Agathe,MOREL Silvia,4,0,"11,11,11,11|8,3,1,9",1,GRAND_SLAM,WS,1280,Qualification,COSTES Agathe (FRA),MOREL Silvia (CHI),COSTES Agathe
Danish Open Farum 2001,2001-11-29,SKOV Mie,MOREL Silvia,4,0,"8,11,13,11,11|11,7,11,2,0",1,GRAND_SLAM,WS,1280,Qualification,SKOV Mie (DEN),MOREL Silvia (CHI),SKOV Mie
Danish Open Farum 2001,2001-11-29,SILVESTRE Julia,ROBERTSON Laura,4,0,"11,11,11,11|8,7,6,8",QR2,GRAND_SLAM,WS,1280,Qualification,SILVESTRE Julia (FRA),ROBERTSON Laura (GER),SILVESTRE Julia
Danish Open Farum 2001,2001-11-29,ROBERTSON Laura,EKHOLM Matilda,4,0,"11,11,11,11|8,7,6,6",QR2,GRAND_SLAM,WS,1280,Qualification,ROBERTSON Laura (GER),EKHOLM Matilda (SWE),ROBERTSON Laura
Danish Open Farum 2001,2001-11-29,EKHOLM Matilda,SILVESTRE Julia,4,1,"11,11,11,3,11|4,7,8,11,8",QR2,GRAND_SLAM,WS,1280,Qualification,EKHOLM Matilda (SWE),SILVESTRE Julia (FRA),EKHOLM Matilda
Danish Open Farum 2001,2001-11-29,STEFANSKA Kinga,ALVAREZ Patricia,4,0,"11,11,11,11|4,3,6,6",3,GRAND_SLAM,WS,1280,Qualification,STEFANSKA Kinga (POL),ALVAREZ Patricia (CHI),STEFANSKA Kinga
Danish Open Farum 2001,2001-11-29,STEFANSKA Kinga,JENSEN Janne,4,1,"8,11,11,11,11|11,6,7,2,7",3,GRAND_SLAM,WS,1280,Qualification,STEFANSKA Kinga (POL),JENSEN Janne (DEN),STEFANSKA Kinga
Danish Open Farum 2001,2001-11-29,JENSEN Janne,ALVAREZ Patricia,4,0,"11,11,11,11|4,5,6,4",3,GRAND_SLAM,WS,1280,Qualification,JENSEN Janne (DEN),ALVAREZ Patricia (CHI),JENSEN Janne
Danish Open Farum 2001,2001-11-29,KERTAI Rita,LANG Kristin,4,1,"11,8,11,11,11|7,11,8,7,0",QR4,GRAND_SLAM,WS,1280,Qualification,KERTAI Rita (HUN),LANG Kristin (GER),KERTAI Rita
