tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Women's World Cup Wuhu 2001,2001-08-17,GAO Jun,LI Jiawei,2,0,,,WORLD_CUP,WS,1292,Qualification,GAO Jun (USA),LI Jiawei (SGP),GAO Jun
Women's World Cup Wuhu 2001,2001-08-17,GAO Jun,RYU Jihae,2,1,,,WORLD_CUP,WS,1292,Qualification,GAO Jun (USA),RYU Jihae (KOR),GAO Jun
Women's World Cup Wuhu 2001,2001-08-17,GAO Jun,WANG Nan,2,0,,,WORLD_CUP,WS,1292,Qualification,GAO Jun (USA),WANG Nan (CHN),GAO Jun
Women's World Cup Wuhu 2001,2001-08-17,LI Jiawei,RYU Jihae,2,1,,,WORLD_CUP,WS,1292,Qualification,LI Jiawei (SGP),RYU Jihae (KOR),LI Jiawei
Women's World Cup Wuhu 2001,2001-08-17,LI Jiawei,WANG Nan,2,0,,,WORLD_CUP,WS,1292,Qualification,LI Jiawei (SGP),WANG Nan (CHN),LI Jiawei
Women's World Cup Wuhu 2001,2001-08-17,RYU Jihae,WANG Nan,2,0,,,WORLD_CUP,WS,1292,Qualification,RYU Jihae (KOR),WANG Nan (CHN),RYU Jihae
Women's World Cup Wuhu 2001,2001-08-17,KIM Hyon Hui,LI Ju,2,0,,,WORLD_CUP,WS,1292,Qualification,KIM Hyon Hui (PRK),LI Ju (CHN),KIM Hyon Hui
Women's World Cup Wuhu 2001,2001-08-17,KIM Hyon Hui,CHEN Jing,2,1,,,WORLD_CUP,WS,1292,Qualification,KIM Hyon Hui (PRK),CHEN Jing (TPE),KIM Hyon Hui
Women's World Cup Wuhu 2001,2001-08-17,KIM Hyon Hui,ELALFY Shahira,2,0,,,WORLD_CUP,WS,1292,Qualification,KIM Hyon Hui (PRK),ELALFY Shahira (EGY),KIM Hyon Hui
Women's World Cup Wuhu 2001,2001-08-17,LI Ju,CHEN Jing,2,1,,,WORLD_CUP,WS,1292,Qualification,LI Ju (CHN),CHEN Jing (TPE),LI Ju
Women's World Cup Wuhu 2001,2001-08-17,LI Ju,ELALFY Shahira,2,0,,,WORLD_CUP,WS,1292,Qualification,LI Ju (CHN),ELALFY Shahira (EGY),LI Ju
