tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Austria Open Wels 2002,2002-01-23,SHAN Mingjie,WEITZ Daniel,4,0,"12,11,11,11|10,8,9,6",,GRAND_SLAM,MS,1295,Qualification,SHAN Mingjie (CHN),WEITZ Daniel (GER),SHAN Mingjie
Austria Open Wels 2002,2002-01-23,SEREDA Peter,WEITZ Daniel,4,2,"11,9,13,11,10,11|9,11,11,7,12,8",,GRAND_SLAM,MS,1295,Qualification,SEREDA Peter (SVK),WEITZ Daniel (GER),SEREDA Peter
Austria Open Wels 2002,2002-01-23,SHAN Mingjie,SEREDA Peter,4,1,"11,7,11,11,11|4,11,6,7,7",,GRAND_SLAM,MS,1295,Qualification,SHAN Mingjie (CHN),SEREDA Peter (SVK),SHAN Mingjie
Austria Open Wels 2002,2002-01-23,ZHANG Chao,KRIVIC Jakov,4,0,"11,11,13,11|3,6,11,9",,GRAND_SLAM,MS,1295,Qualification,ZHANG Chao (CHN),KRIVIC Jakov (CRO),ZHANG Chao
Austria Open Wels 2002,2002-01-23,KRIVIC Jakov,BROWN Trevor,4,2,"11,11,11,9,9,11|5,7,8,11,11,7",,GRAND_SLAM,MS,1295,Qualification,KRIVIC Jakov (CRO),BROWN Trevor (AUS),KRIVIC Jakov
Austria Open Wels 2002,2002-01-23,ZHANG Chao,BROWN Trevor,4,0,"11,11,11,11|4,6,8,7",,GRAND_SLAM,MS,1295,Qualification,ZHANG Chao (CHN),BROWN Trevor (AUS),ZHANG Chao
Austria Open Wels 2002,2002-01-23,HOU Yingchao,SLATINSEK Uros,4,0,"12,11,11,11|10,4,5,5",,GRAND_SLAM,MS,1295,Qualification,HOU Yingchao (CAN),SLATINSEK Uros (SLO),HOU Yingchao
Austria Open Wels 2002,2002-01-23,SLATINSEK Uros,JANSSENS Tim,4,0,"11,11,11,11|6,9,7,9",,GRAND_SLAM,MS,1295,Qualification,SLATINSEK Uros (SLO),JANSSENS Tim (BEL),SLATINSEK Uros
Austria Open Wels 2002,2002-01-23,HOU Yingchao,JANSSENS Tim,4,0,"11,11,11,11|5,4,2,5",,GRAND_SLAM,MS,1295,Qualification,HOU Yingchao (CAN),JANSSENS Tim (BEL),HOU Yingchao
Austria Open Wels 2002,2002-01-23,HENZELL William,HORVAT Mitja,4,1,"12,13,11,11,11|14,11,8,7,6",,GRAND_SLAM,MS,1295,Qualification,HENZELL William (AUS),HORVAT Mitja (SLO),HENZELL William
Austria Open Wels 2002,2002-01-23,TSIOKAS Ntaniel,HORVAT Mitja,4,1,"11,11,12,14,11|5,6,10,16,6",,GRAND_SLAM,MS,1295,Qualification,TSIOKAS Ntaniel (GRE),HORVAT Mitja (SLO),TSIOKAS Ntaniel
Austria Open Wels 2002,2002-01-23,TSIOKAS Ntaniel,HENZELL William,4,2,"6,4,11,12,11,11|11,11,7,10,8,8",,GRAND_SLAM,MS,1295,Qualification,TSIOKAS Ntaniel (GRE),HENZELL William (AUS),TSIOKAS Ntaniel
Austria Open Wels 2002,2002-01-23,SHMYREV Maxim,LAGOGIANNIS Konstantinos,4,3,"8,11,6,11,11,6,11|11,4,11,7,9,11,9",,GRAND_SLAM,MS,1295,Qualification,SHMYREV Maxim (RUS),LAGOGIANNIS Konstantinos (GRE),SHMYREV Maxim
Austria Open Wels 2002,2002-01-23,KUSINSKI Marcin,REDA Amr,4,0,"11,11,11,11|8,7,5,4",,GRAND_SLAM,MS,1295,Qualification,KUSINSKI Marcin (POL),REDA Amr (EGY),KUSINSKI Marcin
Austria Open Wels 2002,2002-01-23,REDA Amr,PRESSLMAYER Bernhard,4,3,"6,3,9,11,11,13,14|11,11,11,7,9,11,12",,GRAND_SLAM,MS,1295,Qualification,REDA Amr (EGY),PRESSLMAYER Bernhard (AUT),REDA Amr
Austria Open Wels 2002,2002-01-23,KUSINSKI Marcin,PRESSLMAYER Bernhard,1,4,"9,11,11,13,7|11,6,6,11,11",,GRAND_SLAM,MS,1295,Qualification,KUSINSKI Marcin (POL),PRESSLMAYER Bernhard (AUT),KUSINSKI Marcin
Austria Open Wels 2002,2002-01-23,MOLIN Magnus,RUSHTON Andrew,4,0,"11,11,11,11|8,8,6,8",,GRAND_SLAM,MS,1295,Qualification,MOLIN Magnus (SWE),RUSHTON Andrew (ENG),MOLIN Magnus
Austria Open Wels 2002,2002-01-23,RUSHTON Andrew,KURASHIMA Yosuke,4,2,"2,11,11,11,8,11|11,7,8,6,11,7",,GRAND_SLAM,MS,1295,Qualification,RUSHTON Andrew (ENG),KURASHIMA Yosuke (JPN),RUSHTON Andrew
Austria Open Wels 2002,2002-01-23,MOLIN Magnus,KURASHIMA Yosuke,4,1,"11,11,11,11,11|7,8,6,13,9",,GRAND_SLAM,MS,1295,Qualification,MOLIN Magnus (SWE),KURASHIMA Yosuke (JPN),MOLIN Magnus
Austria Open Wels 2002,2002-01-23,ROBERTSON Adam,TAWADROUS John,4,1,"11,11,10,11,11|8,7,12,3,4",,GRAND_SLAM,MS,1295,Qualification,ROBERTSON Adam (WAL),TAWADROUS John (AUS),ROBERTSON Adam
Austria Open Wels 2002,2002-01-23,BRATANOV Martin,TAWADROUS John,4,1,"11,11,11,12,11|5,5,5,14,7",,GRAND_SLAM,MS,1295,Qualification,BRATANOV Martin (BEL),TAWADROUS John (AUS),BRATANOV Martin
Austria Open Wels 2002,2002-01-23,ROBERTSON Adam,BRATANOV Martin,4,1,"11,11,11,11,11|7,8,6,13,9",,GRAND_SLAM,MS,1295,Qualification,ROBERTSON Adam (WAL),BRATANOV Martin (BEL),ROBERTSON Adam
