tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Polish Open Warsaw 2002,2002-11-14,KOSTAL Radek,SEREDA Peter,4,0,"11,11,11,11|8,7,6,9",,GRAND_SLAM,MS,1507,Qualification,KOSTAL Radek (CZE),SEREDA Peter (SVK),KOSTAL Radek
Polish Open Warsaw 2002,2002-11-14,YUZAWA Ryo,SEREDA Peter,4,2,"9,11,11,7,11,11|11,9,8,11,5,7",QR2,GRAND_SLAM,MS,1507,Qualification,YUZAWA Ryo (JPN),SEREDA Peter (SVK),YUZAWA Ryo
Polish Open Warsaw 2002,2002-11-14,KOSTAL Radek,YUZAWA Ryo,4,3,"3,8,6,11,13,11,11|11,11,11,9,11,4,5",3,GRAND_SLAM,MS,1507,Qualification,KOSTAL Radek (CZE),YUZAWA Ryo (JPN),KOSTAL Radek
Polish Open Warsaw 2002,2002-11-14,ROBERTSON Adam,MAIER Christoph,4,0,"11,11,11,11|4,4,6,8",,GRAND_SLAM,MS,1507,Qualification,ROBERTSON Adam (WAL),MAIER Christoph (AUT),ROBERTSON Adam
Polish Open Warsaw 2002,2002-11-14,KLASEK Marek,MAIER Christoph,4,0,"12,11,11,11|10,8,1,7",QR2,GRAND_SLAM,MS,1507,Qualification,KLASEK Marek (CZE),MAIER Christoph (AUT),KLASEK Marek
Polish Open Warsaw 2002,2002-11-14,KLASEK Marek,ROBERTSON Adam,4,1,"11,11,11,12,11|7,7,13,10,9",3,GRAND_SLAM,MS,1507,Qualification,KLASEK Marek (CZE),ROBERTSON Adam (WAL),KLASEK Marek
Polish Open Warsaw 2002,2002-11-14,LAKEEV Vasily,PRESSLMAYER Bernhard,4,3,"11,13,8,18,4,11,11|4,11,11,20,11,7,9",,GRAND_SLAM,MS,1507,Qualification,LAKEEV Vasily (RUS),PRESSLMAYER Bernhard (AUT),LAKEEV Vasily
Polish Open Warsaw 2002,2002-11-14,TOKIC Bojan,PRESSLMAYER Bernhard,4,0,"11,11,11,11|5,7,6,5",QR2,GRAND_SLAM,MS,1507,Qualification,TOKIC Bojan (SLO),PRESSLMAYER Bernhard (AUT),TOKIC Bojan
Polish Open Warsaw 2002,2002-11-14,TOKIC Bojan,LAKEEV Vasily,4,0,"14,12,12,11|12,10,10,8",3,GRAND_SLAM,MS,1507,Qualification,TOKIC Bojan (SLO),LAKEEV Vasily (RUS),TOKIC Bojan
Polish Open Warsaw 2002,2002-11-14,SVENSSON Robert,GUDILKIN Igor,4,1,"11,6,11,11,11|6,11,3,3,6",,GRAND_SLAM,MS,1507,Qualification,SVENSSON Robert (SWE),GUDILKIN Igor (UKR),SVENSSON Robert
Polish Open Warsaw 2002,2002-11-14,GARDOS Robert,GUDILKIN Igor,3,1,"11,7,11,11|5,11,8,4",QR2,GRAND_SLAM,MS,1507,Qualification,GARDOS Robert (AUT),GUDILKIN Igor (UKR),GARDOS Robert
