tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
US Open Fort Lauderdale 2002,2002-07-03,ARAI Shu,SIU Arturo,4,0,"11,11,11,11|4,5,6,8",,GRAND_SLAM,MS,1317,Qualification,ARAI Shu (JPN),SIU Arturo (PAN),ARAI Shu
US Open Fort Lauderdale 2002,2002-07-03,ERLANDSEN Geir,SIU Arturo,4,2,"11,11,8,11,6,11|6,6,11,6,11,8",QR2,GRAND_SLAM,MS,1317,Qualification,ERLANDSEN Geir (NOR),SIU Arturo (PAN),ERLANDSEN Geir
US Open Fort Lauderdale 2002,2002-07-03,ARAI Shu,ERLANDSEN Geir,4,3,"8,11,11,8,7,11,11|11,6,9,11,11,8,6",3,GRAND_SLAM,MS,1317,Qualification,ARAI Shu (JPN),ERLANDSEN Geir (NOR),ARAI Shu
US Open Fort Lauderdale 2002,2002-07-03,HIELSCHER Lars,MURAMORI Minoru,4,0,"11,11,11,11|8,9,2,4",3,GRAND_SLAM,MS,1317,Qualification,HIELSCHER Lars (GER),MURAMORI Minoru (JPN),HIELSCHER Lars
US Open Fort Lauderdale 2002,2002-07-03,HUANG Wei-Chin,WEBB Nigel,4,1,"11,15,11,11,11|9,17,6,6,4",,GRAND_SLAM,MS,1317,Qualification,HUANG Wei-Chin (TPE),WEBB Nigel (JAM),HUANG Wei-Chin
US Open Fort Lauderdale 2002,2002-07-03,MOLIN Magnus,HUANG Wei-Chin,4,1,"11,9,11,11,11|5,11,5,7,3",QR2,GRAND_SLAM,MS,1317,Qualification,MOLIN Magnus (SWE),HUANG Wei-Chin (TPE),MOLIN Magnus
US Open Fort Lauderdale 2002,2002-07-03,MOLIN Magnus,WEBB Nigel,4,0,"11,11,11,11|9,4,8,4",3,GRAND_SLAM,MS,1317,Qualification,MOLIN Magnus (SWE),WEBB Nigel (JAM),MOLIN Magnus
US Open Fort Lauderdale 2002,2002-07-03,SUN Wen-Wei,STRACHAN David,4,0,"11,11,11,11|4,3,3,2",,GRAND_SLAM,MS,1317,Qualification,SUN Wen-Wei (TPE),STRACHAN David (USA),SUN Wen-Wei
US Open Fort Lauderdale 2002,2002-07-03,STEGER Bastian,SUN Wen-Wei,4,0,"11,11,11,11|6,8,7,5",QR2,GRAND_SLAM,MS,1317,Qualification,STEGER Bastian (GER),SUN Wen-Wei (TPE),STEGER Bastian
US Open Fort Lauderdale 2002,2002-07-03,STEGER Bastian,STRACHAN David,4,0,"11,11,11,11|1,5,7,4",3,GRAND_SLAM,MS,1317,Qualification,STEGER Bastian (GER),STRACHAN David (USA),STEGER Bastian
US Open Fort Lauderdale 2002,2002-07-03,SU Chi-Young,HYATT Michael,4,0,"14,11,11,11|12,5,2,8",,GRAND_SLAM,MS,1317,Qualification,SU Chi-Young (TPE),HYATT Michael (JAM),SU Chi-Young
US Open Fort Lauderdale 2002,2002-07-03,MONRAD Martin,SU Chi-Young,4,0,"13,11,11,11|11,5,7,8",QR2,GRAND_SLAM,MS,1317,Qualification,MONRAD Martin (DEN),SU Chi-Young (TPE),MONRAD Martin
US Open Fort Lauderdale 2002,2002-07-03,MONRAD Martin,HYATT Michael,4,2,"11,6,11,11,7,12|3,11,4,7,11,10",3,GRAND_SLAM,MS,1317,Qualification,MONRAD Martin (DEN),HYATT Michael (JAM),MONRAD Martin
US Open Fort Lauderdale 2002,2002-07-03,LEWIS Idi,SU Chu-Chao,4,3,"11,7,4,11,8,11,11|9,11,11,9,11,5,6",,GRAND_SLAM,MS,1317,Qualification,LEWIS Idi (GUY),SU Chu-Chao (TPE),LEWIS Idi
US Open Fort Lauderdale 2002,2002-07-03,GARDOS Robert,SU Chu-Chao,4,0,"11,13,11,11|8,11,4,7",QR2,GRAND_SLAM,MS,1317,Qualification,GARDOS Robert (AUT),SU Chu-Chao (TPE),GARDOS Robert
US Open Fort Lauderdale 2002,2002-07-03,KEINATH Thomas,CHOU Tung-Yu,4,3,"8,9,11,6,11,11,11|11,11,9,11,6,6,5",QR2,GRAND_SLAM,MS,1317,Qualification,KEINATH Thomas (SVK),CHOU Tung-Yu (TPE),KEINATH Thomas
US Open Fort Lauderdale 2002,2002-07-03,TSENG Chun-Yuan,DAVID Paul,4,2,"7,11,12,11,7,11|11,9,10,9,11,7",,GRAND_SLAM,MS,1317,Qualification,TSENG Chun-Yuan (TPE),DAVID Paul (GUY),TSENG Chun-Yuan
US Open Fort Lauderdale 2002,2002-07-03,TUGWELL Finn,TSENG Chun-Yuan,4,0,"11,11,13,11|4,6,11,6",QR2,GRAND_SLAM,MS,1317,Qualification,TUGWELL Finn (DEN),TSENG Chun-Yuan (TPE),TUGWELL Finn
US Open Fort Lauderdale 2002,2002-07-03,TUGWELL Finn,DAVID Paul,4,1,"12,11,9,11,11|10,5,11,4,7",3,GRAND_SLAM,MS,1317,Qualification,TUGWELL Finn (DEN),DAVID Paul (GUY),TUGWELL Finn
US Open Fort Lauderdale 2002,2002-07-03,FEJER-KONNERTH Zoltan,KOU Yen-Cheng,4,2,"11,6,11,11,7,11|1,11,8,8,11,4",QR2,GRAND_SLAM,MS,1317,Qualification,FEJER-KONNERTH Zoltan (GER),KOU Yen-Cheng (TPE),FEJER-KONNERTH Zoltan
US Open Fort Lauderdale 2002,2002-07-03,CHOU Yu-Chen,WER Estuardo,4,1,"9,11,11,11,11|11,3,5,8,6",,GRAND_SLAM,MS,1317,Qualification,CHOU Yu-Chen (TPE),WER Estuardo (GUA),CHOU Yu-Chen
US Open Fort Lauderdale 2002,2002-07-03,HOYAMA Hugo,CHOU Yu-Chen,4,0,"11,11,11,11|3,4,3,5",QR2,GRAND_SLAM,MS,1317,Qualification,HOYAMA Hugo (BRA),CHOU Yu-Chen (TPE),HOYAMA Hugo
US Open Fort Lauderdale 2002,2002-07-03,HOYAMA Hugo,WER Estuardo,4,0,"11,11,11,11|3,4,3,3",3,GRAND_SLAM,MS,1317,Qualification,HOYAMA Hugo (BRA),WER Estuardo (GUA),HOYAMA Hugo
