tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Brazilian Open Rio de Janeiro 2003,2003-06-26,JINDRAK Karl,SALAS Guillermo,4,0,"11,11,11,11|2,7,5,6",,GRAND_SLAM,MS,1531,Qualification,JINDRAK Karl (AUT),SALAS Guillermo (CHI),JINDRAK Karl
Brazilian Open Rio de Janeiro 2003,2003-06-26,LOPEZ Thiago,SALAS Guillermo,4,2,"6,11,10,11,11,12|11,6,12,8,9,10",,GRAND_SLAM,MS,1531,Qualification,LOPEZ Thiago (BRA),SALAS Guillermo (CHI),LOPEZ Thiago
Brazilian Open Rio de Janeiro 2003,2003-06-26,JINDRAK Karl,LOPEZ Thiago,4,1,"11,7,11,13,11|8,11,7,11,8",,GRAND_SLAM,MS,1531,Qualification,JINDRAK Karl (AUT),LOPEZ Thiago (BRA),JINDRAK Karl
Brazilian Open Rio de Janeiro 2003,2003-06-26,FETH Stefan,KOSAKA Diogo,4,1,"11,5,11,11,11|2,11,5,9,3",,GRAND_SLAM,MS,1531,Qualification,FETH Stefan (GER),KOSAKA Diogo (BRA),FETH Stefan
Brazilian Open Rio de Janeiro 2003,2003-06-26,KOSAKA Diogo,RODRIGUEZ Alejandro,4,3,"11,7,12,12,3,5,11|7,11,10,10,11,11,8",,GRAND_SLAM,MS,1531,Qualification,KOSAKA Diogo (BRA),RODRIGUEZ Alejandro (CHI),KOSAKA Diogo
Brazilian Open Rio de Janeiro 2003,2003-06-26,FETH Stefan,RODRIGUEZ Alejandro,4,2,"12,11,5,11,8,11|10,4,11,3,11,7",,GRAND_SLAM,MS,1531,Qualification,FETH Stefan (GER),RODRIGUEZ Alejandro (CHI),FETH Stefan
Brazilian Open Rio de Janeiro 2003,2003-06-26,CHOI Hyunjin,CHIU Carlos Alfonso,4,1,"11,11,4,11,11|4,3,11,7,4",,GRAND_SLAM,MS,1531,Qualification,CHOI Hyunjin (KOR),CHIU Carlos Alfonso (MEX),CHOI Hyunjin
Brazilian Open Rio de Janeiro 2003,2003-06-26,YAMAMOTO Reinaldo,CHIU Carlos Alfonso,4,1,"1,11,11,11,11|11,4,7,6,4",,GRAND_SLAM,MS,1531,Qualification,YAMAMOTO Reinaldo (BRA),CHIU Carlos Alfonso (MEX),YAMAMOTO Reinaldo
Brazilian Open Rio de Janeiro 2003,2003-06-26,CHOI Hyunjin,YAMAMOTO Reinaldo,4,1,"11,11,9,11,11|5,5,11,7,5",,GRAND_SLAM,MS,1531,Qualification,CHOI Hyunjin (KOR),YAMAMOTO Reinaldo (BRA),CHOI Hyunjin
Brazilian Open Rio de Janeiro 2003,2003-06-26,MARTINEZ Michel,VENTURA DOS ANJOS Bruno,4,1,"11,6,11,11,11|5,11,9,5,3",,GRAND_SLAM,MS,1531,Qualification,MARTINEZ Michel (FRA),VENTURA DOS ANJOS Bruno (BRA),MARTINEZ Michel
Brazilian Open Rio de Janeiro 2003,2003-06-26,VENTURA DOS ANJOS Bruno,HABESOHN Mathias,4,1,"11,7,11,11,11|6,11,6,9,7",,GRAND_SLAM,MS,1531,Qualification,VENTURA DOS ANJOS Bruno (BRA),HABESOHN Mathias (AUT),VENTURA DOS ANJOS Bruno
Brazilian Open Rio de Janeiro 2003,2003-06-26,MARTINEZ Michel,HABESOHN Mathias,4,3,"9,4,12,13,11,11,11|11,11,14,11,4,2,4",,GRAND_SLAM,MS,1531,Qualification,MARTINEZ Michel (FRA),HABESOHN Mathias (AUT),MARTINEZ Michel
Brazilian Open Rio de Janeiro 2003,2003-06-26,CARNEROS Alfredo,CARVALHO Efraim,4,0,"11,11,11,11|6,5,9,9",,GRAND_SLAM,MS,1531,Qualification,CARNEROS Alfredo (ESP),CARVALHO Efraim (BRA),CARNEROS Alfredo
Brazilian Open Rio de Janeiro 2003,2003-06-26,KAWAHARA Yuji,CARVALHO Efraim,4,0,"12,11,11,12|10,5,4,10",,GRAND_SLAM,MS,1531,Qualification,KAWAHARA Yuji (JPN),CARVALHO Efraim (BRA),KAWAHARA Yuji
Brazilian Open Rio de Janeiro 2003,2003-06-26,CARNEROS Alfredo,KAWAHARA Yuji,4,1,"7,12,11,11,11|11,10,7,9,3",,GRAND_SLAM,MS,1531,Qualification,CARNEROS Alfredo (ESP),KAWAHARA Yuji (JPN),CARNEROS Alfredo
Brazilian Open Rio de Janeiro 2003,2003-06-26,CLOSSET Marc,CARDOSO Rivalino,4,0,"11,11,11,11|6,8,9,7",,GRAND_SLAM,MS,1531,Qualification,CLOSSET Marc (BEL),CARDOSO Rivalino (BRA),CLOSSET Marc
Brazilian Open Rio de Janeiro 2003,2003-06-26,MUNOZ Guillermo,CARDOSO Rivalino,4,0,"11,12,11,11|7,10,4,5",,GRAND_SLAM,MS,1531,Qualification,MUNOZ Guillermo (MEX),CARDOSO Rivalino (BRA),MUNOZ Guillermo
Brazilian Open Rio de Janeiro 2003,2003-06-26,CLOSSET Marc,MUNOZ Guillermo,4,0,"11,11,11,11|5,7,6,8",,GRAND_SLAM,MS,1531,Qualification,CLOSSET Marc (BEL),MUNOZ Guillermo (MEX),CLOSSET Marc
