tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Japan Open Kobe 2004,2004-09-23,WANG Liqin,MARKOVIC Rade,4,1,"11,11,11,12,11|5,8,13,10,8",R64,GRAND_SLAM,MS,1703,Main Draw,WANG Liqin (CHN),MARKOVIC Rade (SRB),WANG Liqin
Japan Open Kobe 2004,2004-09-23,WOSIK Torben,KIM Taehoon,4,3,"11,12,10,11,12,11,11|1,14,12,8,14,8,6",R64,GRAND_SLAM,MS,1703,Main Draw,WOSIK Torben (GER),KIM Taehoon (KOR),WOSIK Torben
Japan Open Kobe 2004,2004-09-23,ELOI Damien,KISHIKAWA Seiya,4,1,"8,11,11,11,11|11,5,6,4,2",R64,GRAND_SLAM,MS,1703,Main Draw,ELOI Damien (FRA),KISHIKAWA Seiya (JPN),ELOI Damien
Japan Open Kobe 2004,2004-09-23,KORBEL Petr,YOSHIDA Kaii,4,3,"4,11,13,11,11,9,11|11,8,15,8,9,11,9",R64,GRAND_SLAM,MS,1703,Main Draw,KORBEL Petr (CZE),YOSHIDA Kaii (JPN),KORBEL Petr
Japan Open Kobe 2004,2004-09-23,KO Lai Chak,BAUM Patrick,4,1,"11,11,6,11,11|6,8,11,4,1",R64,GRAND_SLAM,MS,1703,Main Draw,KO Lai Chak (HKG),BAUM Patrick (GER),KO Lai Chak
Japan Open Kobe 2004,2004-09-23,TOKIC Bojan,SUSS Christian,4,2,"14,6,11,6,11,11|12,11,9,11,5,9",R64,GRAND_SLAM,MS,1703,Main Draw,TOKIC Bojan (SLO),SUSS Christian (GER),TOKIC Bojan
Japan Open Kobe 2004,2004-09-23,HIELSCHER Lars,LIM Jaehyun,4,2,"11,11,11,11,7,11|13,8,9,8,11,6",R64,GRAND_SLAM,MS,1703,Main Draw,HIELSCHER Lars (GER),LIM Jaehyun (KOR),HIELSCHER Lars
Japan Open Kobe 2004,2004-09-23,KONG Linghui,LEE Jungsam,4,0,"11,11,11,12|7,6,6,10",R64,GRAND_SLAM,MS,1703,Main Draw,KONG Linghui (CHN),LEE Jungsam (KOR),KONG Linghui
Japan Open Kobe 2004,2004-09-23,CHEN Qi,CAI Xiaoli,4,0,"11,11,12,11|6,6,10,4",R64,GRAND_SLAM,MS,1703,Main Draw,CHEN Qi (CHN),CAI Xiaoli (SGP),CHEN Qi
Japan Open Kobe 2004,2004-09-23,YUZAWA Ryo,KEINATH Thomas,4,3,"4,11,15,11,11,6,11|11,5,17,4,6,11,5",R64,GRAND_SLAM,MS,1703,Main Draw,YUZAWA Ryo (JPN),KEINATH Thomas (SVK),YUZAWA Ryo
