tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Korean Open Pyeong Chang 2004,2004-05-20,MA Lin,HAKANSSON Fredrik,4,2,"11,8,7,11,11,11|8,11,11,5,4,6",R32,GRAND_SLAM,MS,1679,Main Draw,MA Lin (CHN),HAKANSSON Fredrik (SWE),MA Lin
Korean Open Pyeong Chang 2004,2004-05-20,CHIANG Peng-Lung,ELOI Damien,4,2,"11,11,9,6,14,11|7,3,11,11,12,8",R32,GRAND_SLAM,MS,1679,Main Draw,CHIANG Peng-Lung (TPE),ELOI Damien (FRA),CHIANG Peng-Lung
Korean Open Pyeong Chang 2004,2004-05-20,JOO Saehyuk,YUZAWA Ryo,4,0,"11,11,11,11|7,5,6,7",R32,GRAND_SLAM,MS,1679,Main Draw,JOO Saehyuk (KOR),YUZAWA Ryo (JPN),JOO Saehyuk
Korean Open Pyeong Chang 2004,2004-05-20,RYU Seungmin,LI Ching,4,2,"11,11,11,6,11,11|8,8,13,11,2,9",R32,GRAND_SLAM,MS,1679,Main Draw,RYU Seungmin (KOR),LI Ching (HKG),RYU Seungmin
Korean Open Pyeong Chang 2004,2004-05-20,KREANGA Kalinikos,LIM Jaehyun,4,1,"4,11,11,11,14|11,9,8,5,12",R32,GRAND_SLAM,MS,1679,Main Draw,KREANGA Kalinikos (GRE),LIM Jaehyun (KOR),KREANGA Kalinikos
Korean Open Pyeong Chang 2004,2004-05-20,PERSSON Jorgen,ABRAMOV Isaak,4,2,"11,11,11,11,5,14|2,0,13,3,11,12",R32,GRAND_SLAM,MS,1679,Main Draw,PERSSON Jorgen (SWE),ABRAMOV Isaak (ISR),PERSSON Jorgen
Korean Open Pyeong Chang 2004,2004-05-20,WALDNER Jan-Ove,KO Lai Chak,4,2,"11,8,12,11,9,11|8,11,10,8,11,7",R32,GRAND_SLAM,MS,1679,Main Draw,WALDNER Jan-Ove (SWE),KO Lai Chak (HKG),WALDNER Jan-Ove
Korean Open Pyeong Chang 2004,2004-05-20,WANG Hao,LEE Jungwoo,4,1,"11,8,11,12,11|6,11,5,10,9",R32,GRAND_SLAM,MS,1679,Main Draw,WANG Hao (CHN),LEE Jungwoo (KOR),WANG Hao
Korean Open Pyeong Chang 2004,2004-05-20,CHEN Qi,LEE Chulseung,4,1,"12,7,11,11,11|10,11,7,7,8",R32,GRAND_SLAM,MS,1679,Main Draw,CHEN Qi (CHN),LEE Chulseung (KOR),CHEN Qi
Korean Open Pyeong Chang 2004,2004-05-20,SUSS Christian,SAIVE Jean-Michel,4,2,"9,12,15,9,11,11|11,10,13,11,5,6",R32,GRAND_SLAM,MS,1679,Main Draw,SUSS Christian (GER),SAIVE Jean-Michel (BEL),SUSS Christian
Korean Open Pyeong Chang 2004,2004-05-20,PRIMORAC Zoran,TOKIC Bojan,4,2,"11,11,5,8,11,11|8,7,11,11,8,8",R32,GRAND_SLAM,MS,1679,Main Draw,PRIMORAC Zoran (CRO),TOKIC Bojan (SLO),PRIMORAC Zoran
Korean Open Pyeong Chang 2004,2004-05-20,KONG Linghui,HIELSCHER Lars,4,1,"9,11,11,11,11|11,6,6,5,9",R32,GRAND_SLAM,MS,1679,Main Draw,KONG Linghui (CHN),HIELSCHER Lars (GER),KONG Linghui
Korean Open Pyeong Chang 2004,2004-05-20,HAO Shuai,BRATANOV Martin,4,0,"11,11,11,11|5,7,8,7",R32,GRAND_SLAM,MS,1679,Main Draw,HAO Shuai (CHN),BRATANOV Martin (BEL),HAO Shuai
Korean Open Pyeong Chang 2004,2004-05-20,LUNDQVIST Jens,YOON Jaeyoung,4,1,"11,12,9,13,13|6,10,11,11,11",R32,GRAND_SLAM,MS,1679,Main Draw,LUNDQVIST Jens (SWE),YOON Jaeyoung (KOR),LUNDQVIST Jens
Korean Open Pyeong Chang 2004,2004-05-20,OH Sangeun,CHEUNG Yuk,4,2,"8,11,11,11,14,11|11,13,4,8,12,3",R32,GRAND_SLAM,MS,1679,Main Draw,OH Sangeun (KOR),CHEUNG Yuk (HKG),OH Sangeun
Korean Open Pyeong Chang 2004,2004-05-20,WANG Liqin,CHILA Patrick,4,0,"11,11,11,11|9,7,5,5",R32,GRAND_SLAM,MS,1679,Main Draw,WANG Liqin (CHN),CHILA Patrick (FRA),WANG Liqin
Korean Open Pyeong Chang 2004,2004-05-20,CHIANG Peng-Lung,MA Lin,4,1,"11,10,11,11,11|2,12,9,9,5",R16,GRAND_SLAM,MS,1679,Main Draw,CHIANG Peng-Lung (TPE),MA Lin (CHN),CHIANG Peng-Lung
Korean Open Pyeong Chang 2004,2004-05-20,RYU Seungmin,JOO Saehyuk,4,1,"13,11,7,11,11|11,7,11,9,9",R16,GRAND_SLAM,MS,1679,Main Draw,RYU Seungmin (KOR),JOO Saehyuk (KOR),RYU Seungmin
Korean Open Pyeong Chang 2004,2004-05-20,KREANGA Kalinikos,PERSSON Jorgen,4,0,"11,11,11,14|5,5,4,12",R16,GRAND_SLAM,MS,1679,Main Draw,KREANGA Kalinikos (GRE),PERSSON Jorgen (SWE),KREANGA Kalinikos
Korean Open Pyeong Chang 2004,2004-05-20,WANG Hao,WALDNER Jan-Ove,4,0,"11,11,11,11|4,4,0,0",R16,GRAND_SLAM,MS,1679,Main Draw,WANG Hao (CHN),WALDNER Jan-Ove (SWE),WANG Hao
