tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HABASHI Dukhail,ABUGHANMI Bara,3,1,"11,11,7,11|4,7,11,3",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HABASHI Dukhail (KUW),ABUGHANMI Bara (JOR)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HASAN Ibrahem,AL-MOMANY Rashid,3,1,"11,10,11,11|7,12,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HASAN Ibrahem (KUW),AL-MOMANY Rashid (JOR)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HASAN Ali,SADAQA Mustafa Rida,3,0,"14,11,11|12,8,7",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HASAN Ali (KUW),SADAQA Mustafa Rida (JOR)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HASAN Ali,TOTH Daniel,3,0,"11,11,11|1,2,4",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HASAN Ali (KUW),TOTH Daniel (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HABASHI Dukhail,FROMMELT Peter,3,1,"13,6,11,11|11,11,3,8",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HABASHI Dukhail (KUW),FROMMELT Peter (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-HASAN Ibrahem,MARXER Dominik,3,0,"11,11,11|8,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-HASAN Ibrahem (KUW),MARXER Dominik (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,ABUGHANMI Bara,STRICKER Martin,3,0,"11,11,11|6,5,1",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,ABUGHANMI Bara (JOR),STRICKER Martin (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,AL-MOMANY Rashid,FROMMELT Peter,3,2,"11,11,6,11,11|13,7,11,6,7",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,AL-MOMANY Rashid (JOR),FROMMELT Peter (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,SADAQA Mustafa Rida,MARXER Dominik,3,0,"11,11,15|9,7,13",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,SADAQA Mustafa Rida (JOR),MARXER Dominik (LIE)
World Team Table Tennis Championships Doha 2004,2004-03-01,HAMAM Gdara,SIMON Fabien,3,0,"11,11,13|9,5,11",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,HAMAM Gdara (TUN),SIMON Fabien (LUX)
World Team Table Tennis Championships Doha 2004,2004-03-01,MULLER Charles,ZHIOUA Rached,3,2,"11,11,3,7,11|4,7,11,11,5",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,MULLER Charles (LUX),ZHIOUA Rached (TUN)
World Team Table Tennis Championships Doha 2004,2004-03-01,BEN KAHIA Mohamed Ghazi,SIMON Fabien,3,0,"11,12,11|3,10,6",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,BEN KAHIA Mohamed Ghazi (TUN),SIMON Fabien (LUX)
World Team Table Tennis Championships Doha 2004,2004-03-01,HAMAM Gdara,BAST Mike,3,2,"15,10,11,10,11|13,12,5,12,7",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,HAMAM Gdara (TUN),BAST Mike (LUX)
World Team Table Tennis Championships Doha 2004,2004-03-01,BAST Mike,LAM Tong Hou,3,2,"11,9,11,7,13|8,11,6,11,11",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,BAST Mike (LUX),LAM Tong Hou (MAC)
World Team Table Tennis Championships Doha 2004,2004-03-01,LEONG Kin Wa,SIMON Fabien,3,1,"4,11,11,11|11,7,8,5",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,LEONG Kin Wa (MAC),SIMON Fabien (LUX)
World Team Table Tennis Championships Doha 2004,2004-03-01,MULLER Charles,SIO Chi Keong,3,2,"11,11,11,9,11|13,7,5,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,MULLER Charles (LUX),SIO Chi Keong (MAC)
World Team Table Tennis Championships Doha 2004,2004-03-01,LEONG Kin Wa,BAST Mike,3,1,"8,11,11,11|11,3,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,949,Main Draw,LEONG Kin Wa (MAC),BAST Mike (LUX)
