tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Korean Open Suncheon 2005,2005-06-09,RYU Seungmin,TAKAKIWA Taku,4,1,"11,7,11,13,11|9,11,4,11,6",R32,GRAND_SLAM,MS,1734,Main Draw,RYU Seungmin (KOR),TAKAKIWA Taku (JPN)
Korean Open Suncheon 2005,2005-06-09,MIZUTANI Jun,KIM Junghoon,4,1,"13,11,11,10,11|11,9,9,12,6",R32,GRAND_SLAM,MS,1734,Main Draw,MIZUTANI Jun (JPN),KIM Junghoon (KOR)
Korean Open Suncheon 2005,2005-06-09,LEE Jinkwon,KISHIKAWA Seiya,4,3,"15,8,11,9,11,11,11|13,11,13,11,9,8,8",R32,GRAND_SLAM,MS,1734,Main Draw,LEE Jinkwon (KOR),KISHIKAWA Seiya (JPN)
Korean Open Suncheon 2005,2005-06-09,CHO Jihoon,GARDOS Robert,4,2,"11,11,11,3,7,11|4,7,4,11,11,1",R32,GRAND_SLAM,MS,1734,Main Draw,CHO Jihoon (KOR),GARDOS Robert (AUT)
Korean Open Suncheon 2005,2005-06-09,CHEN Weixing,DESPRES Rodolphe,4,0,"11,11,11,11|6,6,4,7",R32,GRAND_SLAM,MS,1734,Main Draw,CHEN Weixing (AUT),DESPRES Rodolphe (FRA)
Korean Open Suncheon 2005,2005-06-09,LEE Jungwoo,HUANG Sheng-Sheng,4,0,"12,11,11,11|10,6,8,3",R32,GRAND_SLAM,MS,1734,Main Draw,LEE Jungwoo (KOR),HUANG Sheng-Sheng (TPE)
Korean Open Suncheon 2005,2005-06-09,CHOI Hyunjin,MIZUNO Yuya,4,1,"11,11,13,6,11|8,8,11,11,7",R32,GRAND_SLAM,MS,1734,Main Draw,CHOI Hyunjin (KOR),MIZUNO Yuya (JPN)
Korean Open Suncheon 2005,2005-06-09,OH Sangeun,TAKAKIWA Kenichi,4,2,"10,11,11,11,7,11|12,6,8,8,11,6",R32,GRAND_SLAM,MS,1734,Main Draw,OH Sangeun (KOR),TAKAKIWA Kenichi (JPN)
Korean Open Suncheon 2005,2005-06-09,SCHLAGER Werner,CHO Eonrae,4,1,"13,11,4,11,11|11,4,11,7,3",R32,GRAND_SLAM,MS,1734,Main Draw,SCHLAGER Werner (AUT),CHO Eonrae (KOR)
Korean Open Suncheon 2005,2005-06-09,WU Chih-Chi,BOBILLIER Loic,4,3,"11,11,11,3,11,9,11|5,9,7,11,13,11,9",R32,GRAND_SLAM,MS,1734,Main Draw,WU Chih-Chi (TPE),BOBILLIER Loic (FRA)
Korean Open Suncheon 2005,2005-06-09,YOON Jaeyoung,LO Dany,4,1,"12,10,11,12,11|10,12,6,10,5",R32,GRAND_SLAM,MS,1734,Main Draw,YOON Jaeyoung (KOR),LO Dany (FRA)
Korean Open Suncheon 2005,2005-06-09,GAO Ning,KIM Taehoon,4,1,"11,13,4,22,11|6,11,11,20,7",R32,GRAND_SLAM,MS,1734,Main Draw,GAO Ning (SGP),KIM Taehoon (KOR)
Korean Open Suncheon 2005,2005-06-09,LEGOUT Christophe,NAKANO Yusuke,4,2,"5,9,11,13,11,11|11,11,6,11,8,3",R32,GRAND_SLAM,MS,1734,Main Draw,LEGOUT Christophe (FRA),NAKANO Yusuke (JPN)
Korean Open Suncheon 2005,2005-06-09,YANG Zi,YOO Changjae,4,1,"6,11,11,11,11|11,9,7,4,5",R32,GRAND_SLAM,MS,1734,Main Draw,YANG Zi (SGP),YOO Changjae (KOR)
Korean Open Suncheon 2005,2005-06-09,LIM Jaehyun,SAKAMOTO Ryusuke,4,1,"13,11,9,12,11|11,7,11,10,3",R32,GRAND_SLAM,MS,1734,Main Draw,LIM Jaehyun (KOR),SAKAMOTO Ryusuke (JPN)
Korean Open Suncheon 2005,2005-06-09,CHUANG Chih-Yuan,JINDRAK Karl,4,2,"4,11,11,14,8,11|11,8,6,12,11,6",R32,GRAND_SLAM,MS,1734,Main Draw,CHUANG Chih-Yuan (TPE),JINDRAK Karl (AUT)
