tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,SAIVE Jean-Michel,SAMSONOV Vladimir,4,3,"11,13,14,7,8,5,14|9,11,12,11,11,11,12",R16,GRAND_SLAM,MS,1760,Main Draw,SAIVE Jean-Michel (BEL),SAMSONOV Vladimir (BLR)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,CRISAN Adrian,SCHLAGER Werner,4,3,"12,11,6,8,8,13,11|10,6,11,11,11,11,6",R16,GRAND_SLAM,MS,1760,Main Draw,CRISAN Adrian (ROU),SCHLAGER Werner (AUT)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,MA Long,FRANZ Peter,4,1,"9,11,11,11,11|11,6,4,7,8",R16,GRAND_SLAM,MS,1760,Main Draw,MA Long (CHN),FRANZ Peter (GER)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,OH Sangeun,CHILA Patrick,4,2,"6,12,8,11,11,11|11,10,11,6,6,1",R16,GRAND_SLAM,MS,1760,Main Draw,OH Sangeun (KOR),CHILA Patrick (FRA)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,KUZMIN Fedor,LEE Jungwoo,4,1,"11,11,5,11,11|5,6,11,5,8",R16,GRAND_SLAM,MS,1760,Main Draw,KUZMIN Fedor (RUS),LEE Jungwoo (KOR)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,RYU Seungmin,LIM Jaehyun,4,1,"11,11,9,16,11|5,2,11,14,6",R16,GRAND_SLAM,MS,1760,Main Draw,RYU Seungmin (KOR),LIM Jaehyun (KOR)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,KO Lai Chak,CHEN Weixing,4,1,"9,11,11,11,14|11,9,9,6,12",R16,GRAND_SLAM,MS,1760,Main Draw,KO Lai Chak (HKG),CHEN Weixing (AUT)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,BOLL Timo,CHUANG Chih-Yuan,4,3,"11,11,8,7,9,11,11|5,6,11,11,11,4,6",R16,GRAND_SLAM,MS,1760,Main Draw,BOLL Timo (GER),CHUANG Chih-Yuan (TPE)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,SAIVE Jean-Michel,CRISAN Adrian,4,0,"11,11,11,11|5,6,6,6",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,SAIVE Jean-Michel (BEL),CRISAN Adrian (ROU)
Pro Tour Grand Finals Fuzhou 2005,2005-12-09,OH Sangeun,MA Long,4,1,"11,11,11,11,11|7,9,13,8,9",QuarterFinal,GRAND_SLAM,MS,1760,Main Draw,OH Sangeun (KOR),MA Long (CHN)
