tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Shanghai 2005,2005-04-30,WANG Liqin,MGOQI Nombulelo,4,1,"11,11,11,9,11|8,8,5,11,8",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,WANG Liqin (CHN),MGOQI Nombulelo (RSA)
World Table Tennis Championships Shanghai 2005,2005-04-30,SUCH Bartosz,PAK Won Chol,4,3,"11,11,7,11,7,6,11|3,9,11,7,11,11,9",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,SUCH Bartosz (POL),PAK Won Chol (PRK)
World Table Tennis Championships Shanghai 2005,2005-04-30,BENTSEN Allan,LIVENTSOV Alexey,4,3,"8,11,14,9,7,11,11|11,9,12,11,11,6,9",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,BENTSEN Allan (DEN),LIVENTSOV Alexey (RUS)
World Table Tennis Championships Shanghai 2005,2005-04-30,KO Lai Chak,LASHIN Elsayed,4,0,"11,11,11,11|4,5,5,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,KO Lai Chak (HKG),LASHIN Elsayed (EGY)
World Table Tennis Championships Shanghai 2005,2005-04-30,KEEN Trinko,TABACHNIK Pablo,4,0,"11,11,11,11|6,0,3,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,KEEN Trinko (NED),TABACHNIK Pablo (ARG)
World Table Tennis Championships Shanghai 2005,2005-04-30,TORIOLA Segun,HIELSCHER Lars,4,1,"11,11,7,11,11|8,9,11,5,8",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,TORIOLA Segun (NGR),HIELSCHER Lars (GER)
World Table Tennis Championships Shanghai 2005,2005-04-30,LI Ching,MILICEVIC Srdan,4,0,"11,11,11,13|4,7,8,11",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,LI Ching (HKG),MILICEVIC Srdan (BIH)
World Table Tennis Championships Shanghai 2005,2005-04-30,CHEN Weixing,HOYAMA Hugo,4,0,"11,11,11,11|4,4,5,2",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,CHEN Weixing (AUT),HOYAMA Hugo (BRA)
World Table Tennis Championships Shanghai 2005,2005-04-30,KONG Linghui,SEREDA Peter,4,0,"11,11,11,11|4,8,4,5",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,KONG Linghui (CHN),SEREDA Peter (SVK)
World Table Tennis Championships Shanghai 2005,2005-04-30,SALEH Ahmed,GARDOS Robert,4,1,"11,13,14,5,11|2,11,12,11,5",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,SALEH Ahmed (EGY),GARDOS Robert (AUT)
World Table Tennis Championships Shanghai 2005,2005-04-30,FEJER-KONNERTH Zoltan,LENGEROV Kostadin,4,2,"11,11,2,11,7,11|8,3,11,8,11,5",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,FEJER-KONNERTH Zoltan (GER),LENGEROV Kostadin (AUT)
World Table Tennis Championships Shanghai 2005,2005-04-30,LEE Jinkwon,CHILA Patrick,4,3,"11,7,4,9,11,11,11|8,11,11,11,4,8,9",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,LEE Jinkwon (KOR),CHILA Patrick (FRA)
World Table Tennis Championships Shanghai 2005,2005-04-30,ROSSKOPF Jorg,RI Chol Guk,4,0,"11,11,11,11|7,3,4,9",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,ROSSKOPF Jorg (GER),RI Chol Guk (PRK)
World Table Tennis Championships Shanghai 2005,2005-04-30,KIM Song Chol,SAIVE Philippe,4,3,"9,5,11,11,6,15,12|11,11,5,6,11,13,10",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,KIM Song Chol (PRK),SAIVE Philippe (BEL)
World Table Tennis Championships Shanghai 2005,2005-04-30,CHEN Qi,MACHADO Carlos,4,0,"14,11,11,11|12,7,2,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,CHEN Qi (CHN),MACHADO Carlos (ESP)
World Table Tennis Championships Shanghai 2005,2005-04-30,CHUANG Chih-Yuan,FILIMON Andrei,4,3,"11,6,11,8,14,5,11|8,11,9,11,12,11,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,CHUANG Chih-Yuan (TPE),FILIMON Andrei (ROU)
World Table Tennis Championships Shanghai 2005,2005-04-30,MIZUTANI Jun,WANG Jianfeng,4,2,"11,10,9,14,11,11|9,12,11,12,5,2",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,MIZUTANI Jun (JPN),WANG Jianfeng (NOR)
World Table Tennis Championships Shanghai 2005,2005-04-30,YANG Min,MATSUMOTO Cazuo,4,1,"11,20,2,11,13|4,18,11,8,11",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,YANG Min (ITA),MATSUMOTO Cazuo (BRA)
World Table Tennis Championships Shanghai 2005,2005-04-30,KARLSSON Peter,JENKINS Ryan,4,2,"11,6,9,11,11,11|5,11,11,9,5,8",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,KARLSSON Peter (SWE),JENKINS Ryan (WAL)
World Table Tennis Championships Shanghai 2005,2005-04-30,GIONIS Panagiotis,PRIMORAC Zoran,4,3,"11,13,6,9,11,8,11|4,11,11,11,7,11,3",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,GIONIS Panagiotis (GRE),PRIMORAC Zoran (CRO)
World Table Tennis Championships Shanghai 2005,2005-04-30,YOSHIDA Kaii,BERTIN Christophe,4,0,"11,11,11,11|7,5,4,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,YOSHIDA Kaii (JPN),BERTIN Christophe (FRA)
World Table Tennis Championships Shanghai 2005,2005-04-30,HE Zhiwen,KLASEK Marek,4,1,"11,11,11,7,11|5,9,5,11,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,HE Zhiwen (ESP),KLASEK Marek (CZE)
World Table Tennis Championships Shanghai 2005,2005-04-30,SCHLAGER Werner,SKACHKOV Kirill,4,2,"11,11,8,2,11,11|6,6,11,11,5,9",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,SCHLAGER Werner (AUT),SKACHKOV Kirill (RUS)
World Table Tennis Championships Shanghai 2005,2005-04-30,SMIRNOV Alexey,GORAK Daniel,4,2,"11,11,11,13,11,11|5,8,13,15,9,7",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,SMIRNOV Alexey (RUS),GORAK Daniel (POL)
World Table Tennis Championships Shanghai 2005,2005-04-30,PAZSY Ferenc,CIOTI Constantin,4,3,"11,11,9,4,4,11,11|5,9,11,11,11,7,5",R128,WORLD_CHAMPIONSHIPS,MS,948,Main Draw,PAZSY Ferenc (HUN),CIOTI Constantin (ROU)
