tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Brazilian Open Sao Paulo 2006,2006-06-21,OLEA Carlos,THERIEN Xavier,4,0,"11,12,12,11|9,10,10,9",,GRAND_SLAM,MS,1787,Qualification,OLEA Carlos (CHI),THERIEN Xavier (CAN),OLEA Carlos
Brazilian Open Sao Paulo 2006,2006-06-21,LEE Jinkwon,OLEA Carlos,4,0,"11,11,11,14|5,9,4,12",QR2,GRAND_SLAM,MS,1787,Qualification,LEE Jinkwon (KOR),OLEA Carlos (CHI),LEE Jinkwon
Brazilian Open Sao Paulo 2006,2006-06-21,LEE Jinkwon,THERIEN Xavier,4,1,"11,11,6,15,11|7,6,11,13,8",3,GRAND_SLAM,MS,1787,Qualification,LEE Jinkwon (KOR),THERIEN Xavier (CAN),LEE Jinkwon
Brazilian Open Sao Paulo 2006,2006-06-21,CASTRO Lidney,SHEN Qiang,4,3,"8,11,8,9,11,11,11|11,8,11,11,9,5,5",,GRAND_SLAM,MS,1787,Qualification,CASTRO Lidney (USA),SHEN Qiang (CAN),CASTRO Lidney
Brazilian Open Sao Paulo 2006,2006-06-21,MONTEIRO Joao,CASTRO Lidney,4,1,"11,11,11,11,11|3,3,8,13,8",QR2,GRAND_SLAM,MS,1787,Qualification,MONTEIRO Joao (POR),CASTRO Lidney (USA),MONTEIRO Joao
Brazilian Open Sao Paulo 2006,2006-06-21,MONTEIRO Joao,SHEN Qiang,4,0,"11,11,11,11|7,2,7,9",3,GRAND_SLAM,MS,1787,Qualification,MONTEIRO Joao (POR),SHEN Qiang (CAN),MONTEIRO Joao
Brazilian Open Sao Paulo 2006,2006-06-21,HINSE Pierre-Luc,ZOMBORI David,4,3,"11,11,3,11,3,5,15|6,4,11,6,11,11,13",,GRAND_SLAM,MS,1787,Qualification,HINSE Pierre-Luc (CAN),ZOMBORI David (HUN),HINSE Pierre-Luc
Brazilian Open Sao Paulo 2006,2006-06-21,CARNEROS Alfredo,HINSE Pierre-Luc,4,0,"11,11,14,11|4,7,12,8",QR2,GRAND_SLAM,MS,1787,Qualification,CARNEROS Alfredo (ESP),HINSE Pierre-Luc (CAN),CARNEROS Alfredo
Brazilian Open Sao Paulo 2006,2006-06-21,CARNEROS Alfredo,ZOMBORI David,4,0,"11,11,11,11|6,8,6,4",3,GRAND_SLAM,MS,1787,Qualification,CARNEROS Alfredo (ESP),ZOMBORI David (HUN),CARNEROS Alfredo
Brazilian Open Sao Paulo 2006,2006-06-21,MOLNAR Csaba,ALTO Gaston,4,2,"11,11,9,10,11,11|4,4,11,12,9,8",,GRAND_SLAM,MS,1787,Qualification,MOLNAR Csaba (HUN),ALTO Gaston (ARG),MOLNAR Csaba
Brazilian Open Sao Paulo 2006,2006-06-21,ZHANG Wilson,ALTO Gaston,4,1,"11,11,9,11,11|8,5,11,7,7",QR2,GRAND_SLAM,MS,1787,Qualification,ZHANG Wilson (CAN),ALTO Gaston (ARG),ZHANG Wilson
