tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Russian Open St. Petersburg 2006,2006-11-01,CHEN Weixing,LEBESSON Emmanuel,4,3,"7,9,11,11,7,11,11|11,11,6,7,11,7,3",R64,GRAND_SLAM,MS,1809,Main Draw,CHEN Weixing (AUT),LEBESSON Emmanuel (FRA)
Russian Open St. Petersburg 2006,2006-11-01,PISTEJ Lubomir,CAI Xiaoli,4,0,"11,11,12,11|6,3,10,4",R64,GRAND_SLAM,MS,1809,Main Draw,PISTEJ Lubomir (SVK),CAI Xiaoli (SGP)
Russian Open St. Petersburg 2006,2006-11-01,KLASEK Marek,ROBERTSON Adam,4,3,"13,10,11,8,11,7,12|11,12,9,11,8,11,10",R64,GRAND_SLAM,MS,1809,Main Draw,KLASEK Marek (CZE),ROBERTSON Adam (WAL)
Russian Open St. Petersburg 2006,2006-11-01,JOVER Sebastien,KUZMIN Fedor,4,1,"11,11,10,11,16|4,8,12,7,14",R64,GRAND_SLAM,MS,1809,Main Draw,JOVER Sebastien (FRA),KUZMIN Fedor (RUS)
Russian Open St. Petersburg 2006,2006-11-01,LIN Ju,KOSOWSKI Jakub,4,0,"14,11,11,11|12,9,7,2",R64,GRAND_SLAM,MS,1809,Main Draw,LIN Ju (DOM),KOSOWSKI Jakub (POL)
Russian Open St. Petersburg 2006,2006-11-01,GORAK Daniel,DEMEK Tomas,4,1,"11,6,11,11,11|4,11,6,7,9",R64,GRAND_SLAM,MS,1809,Main Draw,GORAK Daniel (POL),DEMEK Tomas (CZE)
Russian Open St. Petersburg 2006,2006-11-01,CHANG Yen-Shu,GAVRILOV Denis,4,0,"11,11,11,11|5,6,9,9",R64,GRAND_SLAM,MS,1809,Main Draw,CHANG Yen-Shu (TPE),GAVRILOV Denis (RUS)
Russian Open St. Petersburg 2006,2006-11-01,PRIMORAC Zoran,SIMONER Christoph,4,3,"11,11,8,11,8,8,11|6,7,11,6,11,11,4",R64,GRAND_SLAM,MS,1809,Main Draw,PRIMORAC Zoran (CRO),SIMONER Christoph (AUT)
Russian Open St. Petersburg 2006,2006-11-01,SMIRNOV Alexey,PRESSLMAYER Bernhard,4,0,"11,11,11,11|8,7,4,8",R64,GRAND_SLAM,MS,1809,Main Draw,SMIRNOV Alexey (RUS),PRESSLMAYER Bernhard (AUT)
Russian Open St. Petersburg 2006,2006-11-01,PETO Zsolt,TOSIC Roko,4,2,"12,7,11,11,7,11|10,11,5,9,11,6",R64,GRAND_SLAM,MS,1809,Main Draw,PETO Zsolt (SRB),TOSIC Roko (CRO)
