tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Volkswagen China Open Kunshan 2006,2006-06-15,WANG Liqin,CHUANG Cheng-Hsuan,4,1,"9,11,14,11,11|11,3,12,2,4",R64,GRAND_SLAM,MS,1786,Main Draw,WANG Liqin (CHN),CHUANG Cheng-Hsuan (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,WANG Wei,MIZUTANI Jun,4,3,"11,11,11,5,9,10,11|3,3,9,11,11,12,9",R64,GRAND_SLAM,MS,1786,Main Draw,WANG Wei (USA),MIZUTANI Jun (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,GAO Ning,BAUM Patrick,4,3,"4,7,11,6,12,11,11|11,11,4,11,10,4,7",R64,GRAND_SLAM,MS,1786,Main Draw,GAO Ning (SGP),BAUM Patrick (GER)
Volkswagen China Open Kunshan 2006,2006-06-15,LEE Jungwoo,ABE Kazuhiro,4,0,"11,11,11,11|4,6,7,5",R64,GRAND_SLAM,MS,1786,Main Draw,LEE Jungwoo (KOR),ABE Kazuhiro (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,MATSUDAIRA Kenta,MAZE Michael,4,2,"5,11,12,9,13,14|11,6,10,11,11,12",R64,GRAND_SLAM,MS,1786,Main Draw,MATSUDAIRA Kenta (JPN),MAZE Michael (DEN)
Volkswagen China Open Kunshan 2006,2006-06-15,CHO Eonrae,CAI Xiaoli,4,3,"10,13,11,11,9,11,11|12,15,5,6,11,8,7",R64,GRAND_SLAM,MS,1786,Main Draw,CHO Eonrae (KOR),CAI Xiaoli (SGP)
Volkswagen China Open Kunshan 2006,2006-06-15,TAN Ruiwu,KISHIKAWA Seiya,4,1,"6,11,11,12,11|11,4,8,10,6",R64,GRAND_SLAM,MS,1786,Main Draw,TAN Ruiwu (CRO),KISHIKAWA Seiya (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,RYU Seungmin,ROBERTSON Adam,4,0,"11,11,11,16|7,3,6,14",R64,GRAND_SLAM,MS,1786,Main Draw,RYU Seungmin (KOR),ROBERTSON Adam (WAL)
Volkswagen China Open Kunshan 2006,2006-06-15,HAO Shuai,WANG Yi-Tse,4,0,"11,11,11,11|6,9,1,5",R64,GRAND_SLAM,MS,1786,Main Draw,HAO Shuai (CHN),WANG Yi-Tse (TPE)
Volkswagen China Open Kunshan 2006,2006-06-15,TANG Peng,DRINKHALL Paul,4,0,"11,14,11,11|2,12,1,8",R64,GRAND_SLAM,MS,1786,Main Draw,TANG Peng (HKG),DRINKHALL Paul (ENG)
Volkswagen China Open Kunshan 2006,2006-06-15,MONRAD Martin,KUBOTA Ryuzo,4,2,"12,11,7,10,11,11|10,9,11,12,9,9",R64,GRAND_SLAM,MS,1786,Main Draw,MONRAD Martin (DEN),KUBOTA Ryuzo (JPN)
Volkswagen China Open Kunshan 2006,2006-06-15,LI Ching,KNIGHT Darius,4,0,"11,11,11,11|4,7,3,9",R64,GRAND_SLAM,MS,1786,Main Draw,LI Ching (HKG),KNIGHT Darius (ENG)
Volkswagen China Open Kunshan 2006,2006-06-15,CHEUNG Yuk,ZHAO Yang,4,1,"11,11,11,6,11|6,8,9,11,7",R64,GRAND_SLAM,MS,1786,Main Draw,CHEUNG Yuk (HKG),ZHAO Yang (FRA)
Volkswagen China Open Kunshan 2006,2006-06-15,SUSS Christian,RUBTSOV Igor,4,2,"9,8,11,11,11,11|11,11,6,5,6,9",R64,GRAND_SLAM,MS,1786,Main Draw,SUSS Christian (GER),RUBTSOV Igor (RUS)
Volkswagen China Open Kunshan 2006,2006-06-15,YOON Jaeyoung,AXELQVIST Johan,4,1,"15,11,9,11,13|13,6,11,7,11",R64,GRAND_SLAM,MS,1786,Main Draw,YOON Jaeyoung (KOR),AXELQVIST Johan (SWE)
Volkswagen China Open Kunshan 2006,2006-06-15,CHEN Qi,LEE Jungsam,4,1,"11,12,11,11,11|6,14,5,9,8",R64,GRAND_SLAM,MS,1786,Main Draw,CHEN Qi (CHN),LEE Jungsam (KOR)
Volkswagen China Open Kunshan 2006,2006-06-15,MA Lin,SKACHKOV Kirill,4,0,"11,11,11,12|4,3,4,10",R64,GRAND_SLAM,MS,1786,Main Draw,MA Lin (CHN),SKACHKOV Kirill (RUS)
Volkswagen China Open Kunshan 2006,2006-06-15,MONTEIRO Thiago,SVENSSON Robert,4,3,"11,11,8,6,9,11,11|9,3,11,11,11,6,6",R64,GRAND_SLAM,MS,1786,Main Draw,MONTEIRO Thiago (BRA),SVENSSON Robert (SWE)
