tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Bremen 2006,2006-04-24,SANTOMAURO Fabio,EL BOUBOU Rachid,3,1,"14,9,11,15|12,11,7,13",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,SANTOMAURO Fabio (LUX),EL BOUBOU Rachid (LBN),SANTOMAURO Fabio
World Team Table Tennis Championships Bremen 2006,2006-04-24,MICHELY Gilles,EL HABECH Mohamad,3,2,"11,11,8,8,13|9,6,11,11,11",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MICHELY Gilles (LUX),EL HABECH Mohamad (LBN),MICHELY Gilles
World Team Table Tennis Championships Bremen 2006,2006-04-24,DE SOUSA Arlindo,NAJEM Alfred,3,1,"8,11,11,11|11,4,5,4",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DE SOUSA Arlindo (LUX),NAJEM Alfred (LBN),DE SOUSA Arlindo
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAITAT Chaisit,ZEIMYS Kestutis,3,2,"12,11,6,6,11|10,9,11,11,5",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAITAT Chaisit (THA),ZEIMYS Kestutis (LTU),CHAITAT Chaisit
World Team Table Tennis Championships Bremen 2006,2006-04-24,BURGIS Matiss,NAJEM Alfred,3,1,"9,11,11,13|11,6,9,11",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,BURGIS Matiss (LAT),NAJEM Alfred (LBN),BURGIS Matiss
World Team Table Tennis Championships Bremen 2006,2006-04-24,MENCIS Rihards,CHALHOUB Youssef,3,2,"12,12,9,12,15|14,10,11,10,13",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MENCIS Rihards (LAT),CHALHOUB Youssef (LBN),MENCIS Rihards
World Team Table Tennis Championships Bremen 2006,2006-04-24,NAJEM Alfred,VASILJEVS Sandijs,3,0,"11,11,11|8,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,NAJEM Alfred (LBN),VASILJEVS Sandijs (LAT),NAJEM Alfred
World Team Table Tennis Championships Bremen 2006,2006-04-24,BURGIS Matiss,EL HABECH Mohamad,3,1,"11,11,7,11|2,4,11,3",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,BURGIS Matiss (LAT),EL HABECH Mohamad (LBN),BURGIS Matiss
World Team Table Tennis Championships Bremen 2006,2006-04-24,MICHELY Gilles,ORLOVAS Arturas,3,1,"8,11,11,11|11,2,9,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MICHELY Gilles (LUX),ORLOVAS Arturas (LTU),MICHELY Gilles
World Team Table Tennis Championships Bremen 2006,2006-04-24,DE SOUSA Arlindo,JUCHNA Gintautas,3,2,"7,6,11,16,11|11,11,9,14,2",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DE SOUSA Arlindo (LUX),JUCHNA Gintautas (LTU),DE SOUSA Arlindo
World Team Table Tennis Championships Bremen 2006,2006-04-24,ZEIMYS Kestutis,BAST Mike,3,2,"6,11,11,10,11|11,9,7,12,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,ZEIMYS Kestutis (LTU),BAST Mike (LUX),ZEIMYS Kestutis
World Team Table Tennis Championships Bremen 2006,2006-04-24,JUCHNA Gintautas,MICHELY Gilles,3,1,"5,14,11,13|11,12,8,11",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,JUCHNA Gintautas (LTU),MICHELY Gilles (LUX),JUCHNA Gintautas
World Team Table Tennis Championships Bremen 2006,2006-04-24,DE SOUSA Arlindo,ORLOVAS Arturas,3,0,"11,11,11|5,5,1",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DE SOUSA Arlindo (LUX),ORLOVAS Arturas (LTU),DE SOUSA Arlindo
World Team Table Tennis Championships Bremen 2006,2006-04-24,NAJEM Alfred,CHAITAT Chaisit,3,1,"16,10,11,11|14,12,9,5",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,NAJEM Alfred (LBN),CHAITAT Chaisit (THA),NAJEM Alfred
World Team Table Tennis Championships Bremen 2006,2006-04-24,BURGIS Matiss,MICHELY Gilles,3,2,"11,2,9,11,12|8,11,11,6,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,BURGIS Matiss (LAT),MICHELY Gilles (LUX),BURGIS Matiss
World Team Table Tennis Championships Bremen 2006,2006-04-24,MENCIS Rihards,BAST Mike,3,1,"11,8,11,11|9,11,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MENCIS Rihards (LAT),BAST Mike (LUX),MENCIS Rihards
World Team Table Tennis Championships Bremen 2006,2006-04-24,DE SOUSA Arlindo,BURGIS Matiss,3,2,"6,11,13,8,11|11,7,11,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DE SOUSA Arlindo (LUX),BURGIS Matiss (LAT),DE SOUSA Arlindo
World Team Table Tennis Championships Bremen 2006,2006-04-24,VASILJEVS Sandijs,MICHELY Gilles,3,0,"11,11,14|5,9,12",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,VASILJEVS Sandijs (LAT),MICHELY Gilles (LUX),VASILJEVS Sandijs
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAITAT Chaisit,SIDOROVS Igors,3,0,"11,11,12|8,7,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAITAT Chaisit (THA),SIDOROVS Igors (LAT),CHAITAT Chaisit
World Team Table Tennis Championships Bremen 2006,2006-04-24,JUCHNA Gintautas,EL HABECH Mohamad,3,1,"13,5,11,11|11,11,7,5",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,JUCHNA Gintautas (LTU),EL HABECH Mohamad (LBN),JUCHNA Gintautas
World Team Table Tennis Championships Bremen 2006,2006-04-24,ZEIMYS Kestutis,CHALHOUB Youssef,3,0,"11,11,11|8,4,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,ZEIMYS Kestutis (LTU),CHALHOUB Youssef (LBN),ZEIMYS Kestutis
World Team Table Tennis Championships Bremen 2006,2006-04-24,EL HABECH Mohamad,ORLOVAS Arturas,3,2,"11,11,9,10,11|9,6,11,12,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,EL HABECH Mohamad (LBN),ORLOVAS Arturas (LTU),EL HABECH Mohamad
World Team Table Tennis Championships Bremen 2006,2006-04-24,JUCHNA Gintautas,NAJEM Alfred,3,2,"10,11,6,11,11|12,7,11,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,JUCHNA Gintautas (LTU),NAJEM Alfred (LBN),JUCHNA Gintautas
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAITAT Chaisit,DE SOUSA Arlindo,3,1,"10,12,11,12|12,10,9,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAITAT Chaisit (THA),DE SOUSA Arlindo (LUX),CHAITAT Chaisit
World Team Table Tennis Championships Bremen 2006,2006-04-24,MENCIS Rihards,ORLOVAS Arturas,3,1,"11,7,11,12|8,11,6,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MENCIS Rihards (LAT),ORLOVAS Arturas (LTU),MENCIS Rihards
World Team Table Tennis Championships Bremen 2006,2006-04-24,BURGIS Matiss,ZEIMYS Kestutis,3,0,"11,11,11|3,4,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,BURGIS Matiss (LAT),ZEIMYS Kestutis (LTU),BURGIS Matiss
World Team Table Tennis Championships Bremen 2006,2006-04-24,VASILJEVS Sandijs,JUCHNA Gintautas,3,1,"14,11,11,15|16,7,5,13",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,VASILJEVS Sandijs (LAT),JUCHNA Gintautas (LTU),VASILJEVS Sandijs
World Team Table Tennis Championships Bremen 2006,2006-04-24,MUJICA Henry,TURGAMBAEV Ruslan,3,1,"11,11,9,11|9,6,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MUJICA Henry (VEN),TURGAMBAEV Ruslan (KAZ),MUJICA Henry
World Team Table Tennis Championships Bremen 2006,2006-04-24,DIAZ Luis,SOTNIK Kirill,3,0,"11,11,14|6,9,12",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DIAZ Luis (VEN),SOTNIK Kirill (KAZ),DIAZ Luis
World Team Table Tennis Championships Bremen 2006,2006-04-24,MUJICA Henry,BEISENOV Samat,3,0,"11,11,11|3,7,5",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MUJICA Henry (VEN),BEISENOV Samat (KAZ),MUJICA Henry
World Team Table Tennis Championships Bremen 2006,2006-04-24,TURGAMBAEV Ruslan,HERRERA Antonio,3,0,"13,11,11|11,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,TURGAMBAEV Ruslan (KAZ),HERRERA Antonio (VEN),TURGAMBAEV Ruslan
World Team Table Tennis Championships Bremen 2006,2006-04-24,AL-HARBI Khaled,AL-MOMANY Rashid,3,1,"11,8,11,11|8,11,8,7",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,AL-HARBI Khaled (KSA),AL-MOMANY Rashid (JOR),AL-HARBI Khaled
World Team Table Tennis Championships Bremen 2006,2006-04-24,SADAQA Rida,ALEM Mansor,3,1,"10,12,12,11|12,10,10,7",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,SADAQA Rida (JOR),ALEM Mansor (KSA),SADAQA Rida
World Team Table Tennis Championships Bremen 2006,2006-04-24,AL-JADAI Naif,AL-MOMANY Rashid,3,1,"11,9,11,11|8,11,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,AL-JADAI Naif (KSA),AL-MOMANY Rashid (JOR),AL-JADAI Naif
World Team Table Tennis Championships Bremen 2006,2006-04-24,DIAZ Luis,JABER Lutfi,3,1,"11,11,7,11|7,2,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DIAZ Luis (VEN),JABER Lutfi (JOR),DIAZ Luis
World Team Table Tennis Championships Bremen 2006,2006-04-24,MUJICA Henry,AL-MOMANY Rashid,3,1,"11,13,11,11|6,15,7,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MUJICA Henry (VEN),AL-MOMANY Rashid (JOR),MUJICA Henry
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAN Koon Wah,AL-HARBI Khaled,3,1,"11,11,9,11|7,6,11,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAN Koon Wah (MAS),AL-HARBI Khaled (KSA),CHAN Koon Wah
World Team Table Tennis Championships Bremen 2006,2006-04-24,ALEM Mansor,CHAI Kian Beng,3,0,"11,11,11|5,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,ALEM Mansor (KSA),CHAI Kian Beng (MAS),ALEM Mansor
World Team Table Tennis Championships Bremen 2006,2006-04-24,IBRAHIM Muhd Shakirin,AL-HARBI Khaled,3,0,"13,11,11|11,5,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,IBRAHIM Muhd Shakirin (MAS),AL-HARBI Khaled (KSA),IBRAHIM Muhd Shakirin
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAN Koon Wah,AL-JADAI Naif,3,1,"11,9,11,12|7,11,8,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAN Koon Wah (MAS),AL-JADAI Naif (KSA),CHAN Koon Wah
World Team Table Tennis Championships Bremen 2006,2006-04-24,TURGAMBAEV Ruslan,CHAN Koon Wah,3,0,"11,11,11|6,4,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,TURGAMBAEV Ruslan (KAZ),CHAN Koon Wah (MAS),TURGAMBAEV Ruslan
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAI Kian Beng,BEKNAZAROV Yermek,3,2,"11,4,8,11,11|8,11,11,9,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAI Kian Beng (MAS),BEKNAZAROV Yermek (KAZ),CHAI Kian Beng
World Team Table Tennis Championships Bremen 2006,2006-04-24,TURGAMBAEV Ruslan,IBRAHIM Muhd Shakirin,3,1,"11,14,5,11|5,12,11,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,TURGAMBAEV Ruslan (KAZ),IBRAHIM Muhd Shakirin (MAS),TURGAMBAEV Ruslan
World Team Table Tennis Championships Bremen 2006,2006-04-24,YANOVETZ Nikolai,CHAN Koon Wah,3,2,"11,7,11,12,12|6,11,13,10,10",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,YANOVETZ Nikolai (KAZ),CHAN Koon Wah (MAS),YANOVETZ Nikolai
World Team Table Tennis Championships Bremen 2006,2006-04-24,AL-HARBI Khaled,MUJICA Henry,3,0,"11,11,15|5,9,13",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,AL-HARBI Khaled (KSA),MUJICA Henry (VEN),AL-HARBI Khaled
World Team Table Tennis Championships Bremen 2006,2006-04-24,ALEM Mansor,HERRERA Antonio,3,2,"4,11,15,7,11|11,8,13,11,9",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,ALEM Mansor (KSA),HERRERA Antonio (VEN),ALEM Mansor
World Team Table Tennis Championships Bremen 2006,2006-04-24,MUJICA Henry,AL-JADAI Naif,3,1,"11,11,8,11|5,6,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,MUJICA Henry (VEN),AL-JADAI Naif (KSA),MUJICA Henry
World Team Table Tennis Championships Bremen 2006,2006-04-24,AL-HARBI Khaled,DIAZ Luis,3,1,"9,11,11,11|11,8,3,4",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,AL-HARBI Khaled (KSA),DIAZ Luis (VEN),AL-HARBI Khaled
World Team Table Tennis Championships Bremen 2006,2006-04-24,BEKNAZAROV Yermek,SADAQA Rida,3,0,"11,11,11|4,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,BEKNAZAROV Yermek (KAZ),SADAQA Rida (JOR),BEKNAZAROV Yermek
World Team Table Tennis Championships Bremen 2006,2006-04-24,TURGAMBAEV Ruslan,AL-MOMANY Rashid,3,2,"7,11,7,11,11|11,2,11,7,7",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,TURGAMBAEV Ruslan (KAZ),AL-MOMANY Rashid (JOR),TURGAMBAEV Ruslan
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAN Koon Wah,MUJICA Henry,3,2,"11,12,9,11,11|7,14,11,4,5",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAN Koon Wah (MAS),MUJICA Henry (VEN),CHAN Koon Wah
World Team Table Tennis Championships Bremen 2006,2006-04-24,DIAZ Luis,CHAI Kian Beng,3,1,"9,11,11,11|11,9,3,7",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,DIAZ Luis (VEN),CHAI Kian Beng (MAS),DIAZ Luis
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAN Koon Wah,HERRERA Antonio,3,0,"11,11,11|5,7,4",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAN Koon Wah (MAS),HERRERA Antonio (VEN),CHAN Koon Wah
World Team Table Tennis Championships Bremen 2006,2006-04-24,IBRAHIM Muhd Shakirin,MUJICA Henry,3,2,"7,6,11,11,15|11,11,9,8,13",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,IBRAHIM Muhd Shakirin (MAS),MUJICA Henry (VEN),IBRAHIM Muhd Shakirin
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAI Kian Beng,JABER Lutfi,3,0,"11,11,11|5,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAI Kian Beng (MAS),JABER Lutfi (JOR),CHAI Kian Beng
World Team Table Tennis Championships Bremen 2006,2006-04-24,CHAN Koon Wah,AL-MOMANY Rashid,3,1,"5,11,11,11|11,6,5,8",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,CHAN Koon Wah (MAS),AL-MOMANY Rashid (JOR),CHAN Koon Wah
World Team Table Tennis Championships Bremen 2006,2006-04-24,TURGAMBAEV Ruslan,AL-HARBI Khaled,3,1,"11,7,11,11|7,11,4,6",GROUP,WORLD_CHAMPIONSHIPS,MT,947,Main Draw,TURGAMBAEV Ruslan (KAZ),AL-HARBI Khaled (KSA),TURGAMBAEV Ruslan
