tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
KUWAIT Open Salwa Cup 2007,2007-02-19,WANG Liqin,MONTEIRO Thiago,4,1,"6,11,11,11,11|11,5,5,4,4",R64,GRAND_SLAM,MS,1827,Main Draw,WANG Liqin (CHN),MONTEIRO Thiago (BRA)
KUWAIT Open Salwa Cup 2007,2007-02-19,SMIRNOV Alexey,HAKANSSON Fredrik,4,0,"11,11,11,11|3,3,1,4",R64,GRAND_SLAM,MS,1827,Main Draw,SMIRNOV Alexey (RUS),HAKANSSON Fredrik (SWE)
KUWAIT Open Salwa Cup 2007,2007-02-19,MONTEIRO Joao,ROSSKOPF Jorg,4,1,"11,11,7,11,11|8,9,11,6,9",R64,GRAND_SLAM,MS,1827,Main Draw,MONTEIRO Joao (POR),ROSSKOPF Jorg (GER)
KUWAIT Open Salwa Cup 2007,2007-02-19,HAO Shuai,TANG Peng,4,2,"7,11,7,11,11,11|11,7,11,7,7,7",R64,GRAND_SLAM,MS,1827,Main Draw,HAO Shuai (CHN),TANG Peng (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,OVTCHAROV Dimitrij,LI Ching,4,3,"11,11,12,13,2,12,11|9,5,10,15,11,14,9",R64,GRAND_SLAM,MS,1827,Main Draw,OVTCHAROV Dimitrij (GER),LI Ching (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,LEUNG Chu Yan,GERELL Par,4,2,"7,11,11,11,7,11|11,3,8,6,11,4",R64,GRAND_SLAM,MS,1827,Main Draw,LEUNG Chu Yan (HKG),GERELL Par (SWE)
KUWAIT Open Salwa Cup 2007,2007-02-19,STEGER Bastian,TAKAKIWA Taku,4,1,"11,7,11,11,11|6,11,8,4,8",R64,GRAND_SLAM,MS,1827,Main Draw,STEGER Bastian (GER),TAKAKIWA Taku (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHEN Qi,FEJER-KONNERTH Zoltan,4,0,"11,11,11,11|7,7,6,3",R64,GRAND_SLAM,MS,1827,Main Draw,CHEN Qi (CHN),FEJER-KONNERTH Zoltan (GER)
KUWAIT Open Salwa Cup 2007,2007-02-19,SCHLAGER Werner,LEBESSON Emmanuel,4,1,"13,11,11,9,11|11,8,5,11,6",R64,GRAND_SLAM,MS,1827,Main Draw,SCHLAGER Werner (AUT),LEBESSON Emmanuel (FRA)
KUWAIT Open Salwa Cup 2007,2007-02-19,PAZSY Ferenc,LUNDQVIST Jens,4,2,"10,14,11,9,11,11|12,12,5,11,8,8",R64,GRAND_SLAM,MS,1827,Main Draw,PAZSY Ferenc (HUN),LUNDQVIST Jens (SWE)
KUWAIT Open Salwa Cup 2007,2007-02-19,BLASZCZYK Lucjan,MATSUDAIRA Kenta,4,3,"7,13,11,11,9,6,11|11,11,7,3,11,11,5",R64,GRAND_SLAM,MS,1827,Main Draw,BLASZCZYK Lucjan (POL),MATSUDAIRA Kenta (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,MAZE Michael,LEE Jinkwon,4,1,"11,6,11,12,12|8,11,7,10,10",R64,GRAND_SLAM,MS,1827,Main Draw,MAZE Michael (DEN),LEE Jinkwon (KOR)
KUWAIT Open Salwa Cup 2007,2007-02-19,MA Long,CHO Eonrae,4,1,"11,9,11,11,11|5,11,8,2,5",R64,GRAND_SLAM,MS,1827,Main Draw,MA Long (CHN),CHO Eonrae (KOR)
KUWAIT Open Salwa Cup 2007,2007-02-19,SUSS Christian,GORAK Daniel,4,0,"11,11,11,11|5,6,7,7",R64,GRAND_SLAM,MS,1827,Main Draw,SUSS Christian (GER),GORAK Daniel (POL)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHILA Patrick,BOBOCICA Mihai,4,3,"12,15,11,9,5,11,11|10,17,5,11,11,6,9",R64,GRAND_SLAM,MS,1827,Main Draw,CHILA Patrick (FRA),BOBOCICA Mihai (ITA)
KUWAIT Open Salwa Cup 2007,2007-02-19,WANG Hao,KLASEK Marek,4,0,"16,11,11,11|14,2,3,9",R64,GRAND_SLAM,MS,1827,Main Draw,WANG Hao (CHN),KLASEK Marek (CZE)
KUWAIT Open Salwa Cup 2007,2007-02-19,BOLL Timo,KONECNY Tomas,4,0,"15,11,11,11|13,4,5,6",R64,GRAND_SLAM,MS,1827,Main Draw,BOLL Timo (GER),KONECNY Tomas (CZE)
KUWAIT Open Salwa Cup 2007,2007-02-19,FILIMON Andrei,CHEUNG Yuk,4,3,"7,8,11,7,11,11,11|11,11,5,11,3,5,9",R64,GRAND_SLAM,MS,1827,Main Draw,FILIMON Andrei (ROU),CHEUNG Yuk (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,KUZMIN Fedor,JOVER Sebastien,4,3,"11,11,11,11,7,10,11|13,8,7,9,11,12,7",R64,GRAND_SLAM,MS,1827,Main Draw,KUZMIN Fedor (RUS),JOVER Sebastien (FRA)
KUWAIT Open Salwa Cup 2007,2007-02-19,KORBEL Petr,KAN Yo,4,0,"13,11,11,11|11,9,8,8",R64,GRAND_SLAM,MS,1827,Main Draw,KORBEL Petr (CZE),KAN Yo (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHUANG Chih-Yuan,SEREDA Peter,4,1,"8,11,11,12,11|11,7,7,10,8",R64,GRAND_SLAM,MS,1827,Main Draw,CHUANG Chih-Yuan (TPE),SEREDA Peter (SVK)
KUWAIT Open Salwa Cup 2007,2007-02-19,KO Lai Chak,MIZUTANI Jun,4,2,"7,9,11,11,12,11|11,11,6,9,10,7",R64,GRAND_SLAM,MS,1827,Main Draw,KO Lai Chak (HKG),MIZUTANI Jun (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,TAN Ruiwu,AL-HASAN Ibrahem,4,0,"11,12,11,11|5,10,7,4",R64,GRAND_SLAM,MS,1827,Main Draw,TAN Ruiwu (CRO),AL-HASAN Ibrahem (KUW)
KUWAIT Open Salwa Cup 2007,2007-02-19,RYU Seungmin,ZUBCIC Tomislav,4,0,"11,11,11,11|9,7,1,8",R64,GRAND_SLAM,MS,1827,Main Draw,RYU Seungmin (KOR),ZUBCIC Tomislav (CRO)
KUWAIT Open Salwa Cup 2007,2007-02-19,OH Sangeun,APOLONIA Tiago,4,0,"11,11,11,12|8,9,8,10",R64,GRAND_SLAM,MS,1827,Main Draw,OH Sangeun (KOR),APOLONIA Tiago (POR)
KUWAIT Open Salwa Cup 2007,2007-02-19,LEE Jungwoo,KISHIKAWA Seiya,4,2,"11,11,7,11,9,11|7,6,11,5,11,6",R64,GRAND_SLAM,MS,1827,Main Draw,LEE Jungwoo (KOR),KISHIKAWA Seiya (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,MATSUSHITA Koji,SUCH Bartosz,4,1,"11,11,11,11,13|8,13,8,5,11",R64,GRAND_SLAM,MS,1827,Main Draw,MATSUSHITA Koji (JPN),SUCH Bartosz (POL)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHEN Weixing,ZHMUDENKO Yaroslav,4,0,"11,11,11,11|6,2,8,7",R64,GRAND_SLAM,MS,1827,Main Draw,CHEN Weixing (AUT),ZHMUDENKO Yaroslav (UKR)
KUWAIT Open Salwa Cup 2007,2007-02-19,CRISAN Adrian,TOSIC Roko,4,1,"11,11,11,11,11|6,6,13,7,4",R64,GRAND_SLAM,MS,1827,Main Draw,CRISAN Adrian (ROU),TOSIC Roko (CRO)
KUWAIT Open Salwa Cup 2007,2007-02-19,ELOI Damien,SKACHKOV Kirill,4,2,"11,15,6,8,11,11|5,13,11,11,8,9",R64,GRAND_SLAM,MS,1827,Main Draw,ELOI Damien (FRA),SKACHKOV Kirill (RUS)
KUWAIT Open Salwa Cup 2007,2007-02-19,JIANG Tianyi,KARAKASEVIC Aleksandar,4,1,"11,11,8,11,14|8,9,11,5,12",R64,GRAND_SLAM,MS,1827,Main Draw,JIANG Tianyi (HKG),KARAKASEVIC Aleksandar (SRB)
KUWAIT Open Salwa Cup 2007,2007-02-19,MA Lin,GAVLAS Antonin,4,0,"11,11,11,11|3,3,7,7",R64,GRAND_SLAM,MS,1827,Main Draw,MA Lin (CHN),GAVLAS Antonin (CZE)
KUWAIT Open Salwa Cup 2007,2007-02-19,WANG Liqin,SMIRNOV Alexey,4,0,"11,11,11,11|6,9,2,6",R32,GRAND_SLAM,MS,1827,Main Draw,WANG Liqin (CHN),SMIRNOV Alexey (RUS)
KUWAIT Open Salwa Cup 2007,2007-02-19,HAO Shuai,MONTEIRO Joao,4,1,"11,9,11,11,11|5,11,6,6,5",R32,GRAND_SLAM,MS,1827,Main Draw,HAO Shuai (CHN),MONTEIRO Joao (POR)
KUWAIT Open Salwa Cup 2007,2007-02-19,LEUNG Chu Yan,OVTCHAROV Dimitrij,4,0,"11,11,11,11|5,9,6,5",R32,GRAND_SLAM,MS,1827,Main Draw,LEUNG Chu Yan (HKG),OVTCHAROV Dimitrij (GER)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHEN Qi,STEGER Bastian,4,2,"11,12,12,5,7,11|6,10,10,11,11,8",R32,GRAND_SLAM,MS,1827,Main Draw,CHEN Qi (CHN),STEGER Bastian (GER)
KUWAIT Open Salwa Cup 2007,2007-02-19,SCHLAGER Werner,PAZSY Ferenc,4,3,"9,11,8,11,9,11,11|11,7,11,5,11,7,5",R32,GRAND_SLAM,MS,1827,Main Draw,SCHLAGER Werner (AUT),PAZSY Ferenc (HUN)
KUWAIT Open Salwa Cup 2007,2007-02-19,BLASZCZYK Lucjan,MAZE Michael,4,1,"11,11,12,4,11|7,4,10,11,9",R32,GRAND_SLAM,MS,1827,Main Draw,BLASZCZYK Lucjan (POL),MAZE Michael (DEN)
KUWAIT Open Salwa Cup 2007,2007-02-19,MA Long,SUSS Christian,4,0,"11,11,11,11|6,6,7,7",R32,GRAND_SLAM,MS,1827,Main Draw,MA Long (CHN),SUSS Christian (GER)
KUWAIT Open Salwa Cup 2007,2007-02-19,WANG Hao,CHILA Patrick,4,0,"11,11,11,12|5,2,3,10",R32,GRAND_SLAM,MS,1827,Main Draw,WANG Hao (CHN),CHILA Patrick (FRA)
KUWAIT Open Salwa Cup 2007,2007-02-19,BOLL Timo,FILIMON Andrei,4,0,"11,11,11,11|9,8,5,4",R32,GRAND_SLAM,MS,1827,Main Draw,BOLL Timo (GER),FILIMON Andrei (ROU)
KUWAIT Open Salwa Cup 2007,2007-02-19,KORBEL Petr,KUZMIN Fedor,4,0,"13,11,11,11|11,3,5,8",R32,GRAND_SLAM,MS,1827,Main Draw,KORBEL Petr (CZE),KUZMIN Fedor (RUS)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHUANG Chih-Yuan,KO Lai Chak,4,3,"11,11,3,11,10,8,11|7,8,11,6,12,11,6",R32,GRAND_SLAM,MS,1827,Main Draw,CHUANG Chih-Yuan (TPE),KO Lai Chak (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,TAN Ruiwu,RYU Seungmin,4,2,"11,7,11,9,11,11|8,11,9,11,7,2",R32,GRAND_SLAM,MS,1827,Main Draw,TAN Ruiwu (CRO),RYU Seungmin (KOR)
KUWAIT Open Salwa Cup 2007,2007-02-19,OH Sangeun,LEE Jungwoo,4,1,"11,11,8,11,11|4,2,11,8,9",R32,GRAND_SLAM,MS,1827,Main Draw,OH Sangeun (KOR),LEE Jungwoo (KOR)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHEN Weixing,MATSUSHITA Koji,4,2,"11,13,7,9,11,11|7,11,11,11,5,6",R32,GRAND_SLAM,MS,1827,Main Draw,CHEN Weixing (AUT),MATSUSHITA Koji (JPN)
KUWAIT Open Salwa Cup 2007,2007-02-19,CRISAN Adrian,ELOI Damien,4,2,"11,11,9,11,11,11|4,8,11,13,3,9",R32,GRAND_SLAM,MS,1827,Main Draw,CRISAN Adrian (ROU),ELOI Damien (FRA)
KUWAIT Open Salwa Cup 2007,2007-02-19,MA Lin,JIANG Tianyi,4,2,"4,12,11,5,11,12|11,10,7,11,3,10",R32,GRAND_SLAM,MS,1827,Main Draw,MA Lin (CHN),JIANG Tianyi (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,WANG Liqin,HAO Shuai,4,1,"11,11,11,11,11|13,8,7,5,7",R16,GRAND_SLAM,MS,1827,Main Draw,WANG Liqin (CHN),HAO Shuai (CHN)
KUWAIT Open Salwa Cup 2007,2007-02-19,CHEN Qi,LEUNG Chu Yan,4,0,"11,11,15,11|8,3,13,8",R16,GRAND_SLAM,MS,1827,Main Draw,CHEN Qi (CHN),LEUNG Chu Yan (HKG)
KUWAIT Open Salwa Cup 2007,2007-02-19,SCHLAGER Werner,BLASZCZYK Lucjan,4,1,"11,9,11,11,12|5,11,8,7,10",R16,GRAND_SLAM,MS,1827,Main Draw,SCHLAGER Werner (AUT),BLASZCZYK Lucjan (POL)
