tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MANHANI Humberto,MANCINI Marco Aurelio,4,0,"11,11,11,11|3,6,5,7",,GRAND_SLAM,MS,1831,Qualification,MANHANI Humberto (BRA),MANCINI Marco Aurelio (BRA),MANHANI Humberto
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MATTENET Adrien,MANCINI Marco Aurelio,4,0,,QR2,GRAND_SLAM,MS,1831,Qualification,MATTENET Adrien (FRA),MANCINI Marco Aurelio (BRA),MATTENET Adrien
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MATTENET Adrien,MANHANI Humberto,4,0,"11,11,11,11|9,4,5,4",3,GRAND_SLAM,MS,1831,Qualification,MATTENET Adrien (FRA),MANHANI Humberto (BRA),MATTENET Adrien
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MANCINI Eric,MICHELL Carlo di Franco,4,0,,,GRAND_SLAM,MS,1831,Qualification,MANCINI Eric (BRA),MICHELL Carlo di Franco (BRA),MANCINI Eric
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MENGEL Steffen,MICHELL Carlo di Franco,4,0,,QR2,GRAND_SLAM,MS,1831,Qualification,MENGEL Steffen (GER),MICHELL Carlo di Franco (BRA),MENGEL Steffen
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MENGEL Steffen,MANCINI Eric,4,3,"3,12,10,12,11,8,11|11,10,12,10,7,11,8",3,GRAND_SLAM,MS,1831,Qualification,MENGEL Steffen (GER),MANCINI Eric (BRA),MENGEL Steffen
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,LEVIS Bruno,PINHEIRO Edimilson,4,0,"11,11,11,11|5,6,2,5",,GRAND_SLAM,MS,1831,Qualification,LEVIS Bruno (CHI),PINHEIRO Edimilson (BRA),LEVIS Bruno
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HAN Jimin,PINHEIRO Edimilson,4,0,"11,11,11,11|3,5,5,7",QR2,GRAND_SLAM,MS,1831,Qualification,HAN Jimin (KOR),PINHEIRO Edimilson (BRA),HAN Jimin
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HAN Jimin,LEVIS Bruno,4,1,"11,11,8,15,11|5,7,11,13,7",3,GRAND_SLAM,MS,1831,Qualification,HAN Jimin (KOR),LEVIS Bruno (CHI),HAN Jimin
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,CASTRO Lidney,SOUZA Lucas,4,0,"11,11,11,11|4,8,4,6",,GRAND_SLAM,MS,1831,Qualification,CASTRO Lidney (USA),SOUZA Lucas (BRA),CASTRO Lidney
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,PICHLER Michael,SOUZA Lucas,4,0,"11,11,11,11|7,3,5,8",QR2,GRAND_SLAM,MS,1831,Qualification,PICHLER Michael (AUT),SOUZA Lucas (BRA),PICHLER Michael
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,PICHLER Michael,CASTRO Lidney,4,2,"11,7,7,11,11,11|9,11,11,9,4,8",3,GRAND_SLAM,MS,1831,Qualification,PICHLER Michael (AUT),CASTRO Lidney (USA),PICHLER Michael
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,THERIEN Xavier,TOMA Danilo,4,0,"11,11,12,11|5,9,10,2",,GRAND_SLAM,MS,1831,Qualification,THERIEN Xavier (CAN),TOMA Danilo (BRA),THERIEN Xavier
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,SALIFOU Abdel-Kader,TOMA Danilo,4,1,"11,11,10,11,11|3,5,12,4,5",QR2,GRAND_SLAM,MS,1831,Qualification,SALIFOU Abdel-Kader (BEN),TOMA Danilo (BRA),SALIFOU Abdel-Kader
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,SALIFOU Abdel-Kader,THERIEN Xavier,4,0,"11,11,11,11|5,5,7,5",3,GRAND_SLAM,MS,1831,Qualification,SALIFOU Abdel-Kader (BEN),THERIEN Xavier (CAN),SALIFOU Abdel-Kader
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HINSE Pierre-Luc,YAMAZATO Fernando,4,2,"5,7,11,11,11,11|11,11,8,3,8,6",,GRAND_SLAM,MS,1831,Qualification,HINSE Pierre-Luc (CAN),YAMAZATO Fernando (BRA),HINSE Pierre-Luc
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VENTURA DOS ANJOS Bruno,YAMAZATO Fernando,4,0,"13,11,11,11|11,7,5,5",QR2,GRAND_SLAM,MS,1831,Qualification,VENTURA DOS ANJOS Bruno (BRA),YAMAZATO Fernando (BRA),VENTURA DOS ANJOS Bruno
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VENTURA DOS ANJOS Bruno,HINSE Pierre-Luc,4,2,"13,11,10,5,11,11|11,7,12,11,6,6",3,GRAND_SLAM,MS,1831,Qualification,VENTURA DOS ANJOS Bruno (BRA),HINSE Pierre-Luc (CAN),VENTURA DOS ANJOS Bruno
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,BARRETO Israel,SALAMANCA Juan,4,0,"11,11,11,11|2,9,9,7",,GRAND_SLAM,MS,1831,Qualification,BARRETO Israel (BRA),SALAMANCA Juan (CHI),BARRETO Israel
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,BAUBET Vincent,SALAMANCA Juan,4,1,"10,11,11,18,11|12,8,9,16,5",QR2,GRAND_SLAM,MS,1831,Qualification,BAUBET Vincent (FRA),SALAMANCA Juan (CHI),BAUBET Vincent
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,BAUBET Vincent,BARRETO Israel,4,1,"11,11,11,8,11|2,8,6,11,9",3,GRAND_SLAM,MS,1831,Qualification,BAUBET Vincent (FRA),BARRETO Israel (BRA),BAUBET Vincent
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VLASOV Grigory,KOJIMA Rodrigo,4,0,"11,11,11,11|4,7,8,5",,GRAND_SLAM,MS,1831,Qualification,VLASOV Grigory (RUS),KOJIMA Rodrigo (BRA),VLASOV Grigory
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VLASOV Grigory,MADRID Marcos,4,2,"9,11,8,11,11,11|11,9,11,3,6,8",QR2,GRAND_SLAM,MS,1831,Qualification,VLASOV Grigory (RUS),MADRID Marcos (MEX),VLASOV Grigory
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MADRID Marcos,KOJIMA Rodrigo,4,1,"11,11,2,11,11|7,7,11,6,7",3,GRAND_SLAM,MS,1831,Qualification,MADRID Marcos (MEX),KOJIMA Rodrigo (BRA),MADRID Marcos
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,BAUBET Vincent,MANHANI Humberto,3,0,"11,11,11|8,6,9",,GRAND_SLAM,U21MS,1831,Qualification,BAUBET Vincent (FRA),MANHANI Humberto (BRA),BAUBET Vincent
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MANCINI Eric,BAUBET Vincent,3,0,"11,15,11|9,13,7",QR2,GRAND_SLAM,U21MS,1831,Qualification,MANCINI Eric (BRA),BAUBET Vincent (FRA),MANCINI Eric
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MANCINI Eric,MANHANI Humberto,3,0,"11,11,11|6,4,8",3,GRAND_SLAM,U21MS,1831,Qualification,MANCINI Eric (BRA),MANHANI Humberto (BRA),MANCINI Eric
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MADRID Marcos,LEVIS Bruno,3,2,"11,8,11,10,11|7,11,7,12,8",QR2,GRAND_SLAM,U21MS,1831,Qualification,MADRID Marcos (MEX),LEVIS Bruno (CHI),MADRID Marcos
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,LEVIS Bruno,KOJIMA Rodrigo,3,0,"11,11,11|2,5,6",3,GRAND_SLAM,U21MS,1831,Qualification,LEVIS Bruno (CHI),KOJIMA Rodrigo (BRA),LEVIS Bruno
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,CASTRO Lidney,TOMA Danilo,3,1,"11,12,9,11|9,10,11,4",,GRAND_SLAM,U21MS,1831,Qualification,CASTRO Lidney (USA),TOMA Danilo (BRA),CASTRO Lidney
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HINSE Pierre-Luc,SOUZA Lucas,3,0,"11,11,11|6,3,9",QR2,GRAND_SLAM,U21MS,1831,Qualification,HINSE Pierre-Luc (CAN),SOUZA Lucas (BRA),HINSE Pierre-Luc
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,SOUZA Lucas,TOMA Danilo,3,2,"11,11,8,9,11|5,8,11,11,8",3,GRAND_SLAM,U21MS,1831,Qualification,SOUZA Lucas (BRA),TOMA Danilo (BRA),SOUZA Lucas
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HINSE Pierre-Luc,CASTRO Lidney,3,2,"11,11,7,8,11|6,9,11,11,4",QR4,GRAND_SLAM,U21MS,1831,Qualification,HINSE Pierre-Luc (CAN),CASTRO Lidney (USA),HINSE Pierre-Luc
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HINSE Pierre-Luc,TOMA Danilo,3,0,"11,11,11|5,3,9",6,GRAND_SLAM,U21MS,1831,Qualification,HINSE Pierre-Luc (CAN),TOMA Danilo (BRA),HINSE Pierre-Luc
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,PETER-PAUL Pradeeban,HAN Jimin,4,2,"11,11,12,10,9,11|9,9,10,12,11,7",R64,GRAND_SLAM,MS,1831,Main Draw,PETER-PAUL Pradeeban (CAN),HAN Jimin (KOR),PETER-PAUL Pradeeban
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,CARNEROS Alfredo,THERIEN Xavier,4,3,"6,11,11,8,11,7,11|11,7,7,11,8,11,8",R64,GRAND_SLAM,MS,1831,Main Draw,CARNEROS Alfredo (ESP),THERIEN Xavier (CAN),CARNEROS Alfredo
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,TOSIC Roko,YAMAZATO Fernando,4,0,"11,11,11,11|4,6,6,7",R64,GRAND_SLAM,MS,1831,Main Draw,TOSIC Roko (CRO),YAMAZATO Fernando (BRA),TOSIC Roko
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MANCINI Eric,LO Dany,4,0,"11,11,11,11|8,5,8,6",R64,GRAND_SLAM,MS,1831,Main Draw,MANCINI Eric (BRA),LO Dany (FRA),MANCINI Eric
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,SALIFOU Abdel-Kader,GAVLAS Antonin,4,1,"11,9,11,12,11|6,11,6,10,8",R64,GRAND_SLAM,MS,1831,Main Draw,SALIFOU Abdel-Kader (BEN),GAVLAS Antonin (CZE),SALIFOU Abdel-Kader
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,TSUBOI Gustavo,PICHLER Michael,4,0,"11,11,11,11|4,8,9,8",R64,GRAND_SLAM,MS,1831,Main Draw,TSUBOI Gustavo (BRA),PICHLER Michael (AUT),TSUBOI Gustavo
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,HOYAMA Hugo,LEVIS Bruno,4,2,"7,11,11,11,9,11|11,8,6,8,11,6",R64,GRAND_SLAM,MS,1831,Main Draw,HOYAMA Hugo (BRA),LEVIS Bruno (CHI),HOYAMA Hugo
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,OVTCHAROV Dimitrij,TOMA Danilo,4,0,"11,11,11,11|3,5,5,5",R64,GRAND_SLAM,MS,1831,Main Draw,OVTCHAROV Dimitrij (GER),TOMA Danilo (BRA),OVTCHAROV Dimitrij
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MONTEIRO Thiago,SALAMANCA Juan,4,0,"11,11,11,11|3,8,7,5",R64,GRAND_SLAM,MS,1831,Main Draw,MONTEIRO Thiago (BRA),SALAMANCA Juan (CHI),MONTEIRO Thiago
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,FREITAS Marcos,CASTRO Lidney,4,0,"11,11,11,11|6,8,5,7",R64,GRAND_SLAM,MS,1831,Main Draw,FREITAS Marcos (POR),CASTRO Lidney (USA),FREITAS Marcos
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VLASOV Grigory,BOBILLIER Loic,4,3,"10,11,11,9,11,8,11|12,6,5,11,5,11,9",R64,GRAND_SLAM,MS,1831,Main Draw,VLASOV Grigory (RUS),BOBILLIER Loic (FRA),VLASOV Grigory
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MATTENET Adrien,LAKEEV Vasily,4,3,"5,3,5,15,11,12,13|11,11,11,13,8,10,11",R64,GRAND_SLAM,MS,1831,Main Draw,MATTENET Adrien (FRA),LAKEEV Vasily (RUS),MATTENET Adrien
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,VOSTES Yannick,BARRETO Israel,4,1,"11,11,11,9,14|5,4,5,11,12",R64,GRAND_SLAM,MS,1831,Main Draw,VOSTES Yannick (BEL),BARRETO Israel (BRA),VOSTES Yannick
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,ZHANG Wilson,SOUZA Lucas,4,0,"11,11,11,11|6,2,6,3",R64,GRAND_SLAM,MS,1831,Main Draw,ZHANG Wilson (CAN),SOUZA Lucas (BRA),ZHANG Wilson
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,BAUM Patrick,KOJIMA Rodrigo,4,2,"11,7,7,11,11,11|9,11,11,5,3,6",R64,GRAND_SLAM,MS,1831,Main Draw,BAUM Patrick (GER),KOJIMA Rodrigo (BRA),BAUM Patrick
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,MADRID Marcos,MATSUDAIRA Kenta,4,2,"11,7,8,11,11,11|5,11,11,7,4,9",R64,GRAND_SLAM,MS,1831,Main Draw,MADRID Marcos (MEX),MATSUDAIRA Kenta (JPN),MADRID Marcos
LIEBHERR Brazilian Open Belo Horizonte 2007,2007-04-12,KO Junhyung,VENTURA DOS ANJOS Bruno,4,2,"11,10,2,12,11,11|9,12,11,10,4,5",R64,GRAND_SLAM,MS,1831,Main Draw,KO Junhyung (KOR),VENTURA DOS ANJOS Bruno (BRA),KO Junhyung
