tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
LIEBHERR French Open Toulouse 2007,2007-10-31,MA Lin,LEE Jinkwon,4,1,"8,11,11,11,11|11,2,4,5,5",R64,GRAND_SLAM,MS,1874,Main Draw,MA Lin (CHN),LEE Jinkwon (KOR)
LIEBHERR French Open Toulouse 2007,2007-10-31,GARDOS Robert,FILIMON Lucian,4,1,"9,11,11,11,11|11,7,8,7,7",R64,GRAND_SLAM,MS,1874,Main Draw,GARDOS Robert (AUT),FILIMON Lucian (ROU)
LIEBHERR French Open Toulouse 2007,2007-10-31,JANCARIK Lubomir,SUSS Christian,4,3,"13,8,11,5,10,11,11|11,11,9,11,12,9,7",R64,GRAND_SLAM,MS,1874,Main Draw,JANCARIK Lubomir (CZE),SUSS Christian (GER)
LIEBHERR French Open Toulouse 2007,2007-10-31,MAZE Michael,MONTEIRO Joao,4,0,"11,11,11,13|8,4,5,11",R64,GRAND_SLAM,MS,1874,Main Draw,MAZE Michael (DEN),MONTEIRO Joao (POR)
LIEBHERR French Open Toulouse 2007,2007-10-31,KAN Yo,SKACHKOV Kirill,4,0,"11,11,11,11|6,7,6,6",R64,GRAND_SLAM,MS,1874,Main Draw,KAN Yo (JPN),SKACHKOV Kirill (RUS)
LIEBHERR French Open Toulouse 2007,2007-10-31,MONTEIRO Thiago,ELOI Damien,4,3,"11,5,5,11,11,3,11|9,11,11,7,8,11,8",R64,GRAND_SLAM,MS,1874,Main Draw,MONTEIRO Thiago (BRA),ELOI Damien (FRA)
LIEBHERR French Open Toulouse 2007,2007-10-31,RUBTSOV Igor,TOKIC Bojan,4,1,"11,11,8,11,11|8,6,11,9,8",R64,GRAND_SLAM,MS,1874,Main Draw,RUBTSOV Igor (RUS),TOKIC Bojan (SLO)
LIEBHERR French Open Toulouse 2007,2007-10-31,CHEN Qi,KISHIKAWA Seiya,4,3,"8,11,9,9,11,11,11|11,7,11,11,4,9,7",R64,GRAND_SLAM,MS,1874,Main Draw,CHEN Qi (CHN),KISHIKAWA Seiya (JPN)
LIEBHERR French Open Toulouse 2007,2007-10-31,MA Long,FILIMON Andrei,4,0,"11,11,11,11|6,7,6,3",R64,GRAND_SLAM,MS,1874,Main Draw,MA Long (CHN),FILIMON Andrei (ROU)
LIEBHERR French Open Toulouse 2007,2007-10-31,CHANG Yen-Shu,CHILA Patrick,4,1,"9,11,11,11,11|11,5,1,9,6",R64,GRAND_SLAM,MS,1874,Main Draw,CHANG Yen-Shu (TPE),CHILA Patrick (FRA)
LIEBHERR French Open Toulouse 2007,2007-10-31,WU Chih-Chi,LEUNG Chu Yan,4,3,"11,7,6,11,3,11,11|7,11,11,3,11,7,7",R64,GRAND_SLAM,MS,1874,Main Draw,WU Chih-Chi (TPE),LEUNG Chu Yan (HKG)
LIEBHERR French Open Toulouse 2007,2007-10-31,CHUANG Chih-Yuan,LEGOUT Christophe,4,1,"11,11,12,4,11|5,3,10,11,8",R64,GRAND_SLAM,MS,1874,Main Draw,CHUANG Chih-Yuan (TPE),LEGOUT Christophe (FRA)
LIEBHERR French Open Toulouse 2007,2007-10-31,QIU Yike,PERSSON Jorgen,4,3,"10,6,12,11,8,11,14|12,11,10,5,11,7,12",R64,GRAND_SLAM,MS,1874,Main Draw,QIU Yike (CHN),PERSSON Jorgen (SWE)
LIEBHERR French Open Toulouse 2007,2007-10-31,KARAKASEVIC Aleksandar,MIZUTANI Jun,4,1,"7,11,11,11,11|11,8,7,8,3",R64,GRAND_SLAM,MS,1874,Main Draw,KARAKASEVIC Aleksandar (SRB),MIZUTANI Jun (JPN)
LIEBHERR French Open Toulouse 2007,2007-10-31,MATSUDAIRA Kenji,KEEN Trinko,4,3,"11,12,9,10,4,14,11|7,10,11,12,11,12,8",R64,GRAND_SLAM,MS,1874,Main Draw,MATSUDAIRA Kenji (JPN),KEEN Trinko (NED)
LIEBHERR French Open Toulouse 2007,2007-10-31,BOLL Timo,ACHANTA Sharath,4,0,"11,11,11,11|8,7,5,7",R64,GRAND_SLAM,MS,1874,Main Draw,BOLL Timo (GER),ACHANTA Sharath (IND)
LIEBHERR French Open Toulouse 2007,2007-10-31,WANG Liqin,GERELL Par,4,0,"11,11,12,11|6,6,10,8",R64,GRAND_SLAM,MS,1874,Main Draw,WANG Liqin (CHN),GERELL Par (SWE)
LIEBHERR French Open Toulouse 2007,2007-10-31,YOSHIDA Kaii,LIN Ju,4,2,"11,9,11,12,11,11|4,11,7,14,6,9",R64,GRAND_SLAM,MS,1874,Main Draw,YOSHIDA Kaii (JPN),LIN Ju (DOM)
LIEBHERR French Open Toulouse 2007,2007-10-31,CRISAN Adrian,KUZMIN Fedor,4,0,"11,11,11,11|4,8,7,8",R64,GRAND_SLAM,MS,1874,Main Draw,CRISAN Adrian (ROU),KUZMIN Fedor (RUS)
