tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Qatar Open Doha 2007,2007-02-13,WANG Liqin,MARKOVIC Rade,4,1,"11,16,11,8,11|9,14,8,11,4",R64,GRAND_SLAM,MS,1826,Main Draw,WANG Liqin (CHN),MARKOVIC Rade (SRB)
Qatar Open Doha 2007,2007-02-13,TAN Ruiwu,CHILA Patrick,4,0,"11,11,11,11|5,9,4,4",R64,GRAND_SLAM,MS,1826,Main Draw,TAN Ruiwu (CRO),CHILA Patrick (FRA)
Qatar Open Doha 2007,2007-02-13,LEE Jungwoo,LEGOUT Christophe,4,2,"5,11,11,11,6,11|11,6,9,4,11,4",R64,GRAND_SLAM,MS,1826,Main Draw,LEE Jungwoo (KOR),LEGOUT Christophe (FRA)
Qatar Open Doha 2007,2007-02-13,SCHLAGER Werner,ANDRIANOV Sergei,4,2,"11,11,8,11,7,11|9,6,11,9,11,9",R64,GRAND_SLAM,MS,1826,Main Draw,SCHLAGER Werner (AUT),ANDRIANOV Sergei (RUS)
Qatar Open Doha 2007,2007-02-13,LI Ching,KUZMIN Fedor,4,3,"7,9,11,9,11,11,11|11,11,7,11,6,8,9",R64,GRAND_SLAM,MS,1826,Main Draw,LI Ching (HKG),KUZMIN Fedor (RUS)
Qatar Open Doha 2007,2007-02-13,KISHIKAWA Seiya,LUNDQVIST Jens,4,2,"6,11,11,8,12,11|11,4,4,11,10,8",R64,GRAND_SLAM,MS,1826,Main Draw,KISHIKAWA Seiya (JPN),LUNDQVIST Jens (SWE)
Qatar Open Doha 2007,2007-02-13,KEEN Trinko,HAKANSSON Fredrik,4,3,"10,11,11,11,5,6,11|12,3,4,7,11,11,9",R64,GRAND_SLAM,MS,1826,Main Draw,KEEN Trinko (NED),HAKANSSON Fredrik (SWE)
Qatar Open Doha 2007,2007-02-13,RYU Seungmin,FEJER-KONNERTH Zoltan,4,1,"18,11,7,11,11|16,9,11,9,9",R64,GRAND_SLAM,MS,1826,Main Draw,RYU Seungmin (KOR),FEJER-KONNERTH Zoltan (GER)
Qatar Open Doha 2007,2007-02-13,CHEN Qi,GORAK Daniel,4,0,"11,11,11,11|8,8,6,9",R64,GRAND_SLAM,MS,1826,Main Draw,CHEN Qi (CHN),GORAK Daniel (POL)
Qatar Open Doha 2007,2007-02-13,SAIVE Jean-Michel,BAUM Patrick,4,1,"11,6,17,11,11|9,11,15,9,8",R64,GRAND_SLAM,MS,1826,Main Draw,SAIVE Jean-Michel (BEL),BAUM Patrick (GER)
Qatar Open Doha 2007,2007-02-13,ROSSKOPF Jorg,MIZUTANI Jun,4,0,"16,11,12,12|14,4,10,10",R64,GRAND_SLAM,MS,1826,Main Draw,ROSSKOPF Jorg (GER),MIZUTANI Jun (JPN)
Qatar Open Doha 2007,2007-02-13,HAO Shuai,MAZUNOV Dmitry,4,3,"3,10,11,11,11,9,11|11,12,7,5,7,11,9",R64,GRAND_SLAM,MS,1826,Main Draw,HAO Shuai (CHN),MAZUNOV Dmitry (RUS)
Qatar Open Doha 2007,2007-02-13,KORBEL Petr,LEUNG Chu Yan,4,1,"13,11,11,11,11|15,7,7,6,9",R64,GRAND_SLAM,MS,1826,Main Draw,KORBEL Petr (CZE),LEUNG Chu Yan (HKG)
Qatar Open Doha 2007,2007-02-13,PERSSON Jorgen,ZWICKL Daniel,4,1,"11,11,11,8,11|8,9,9,11,9",R64,GRAND_SLAM,MS,1826,Main Draw,PERSSON Jorgen (SWE),ZWICKL Daniel (HUN)
Qatar Open Doha 2007,2007-02-13,ELOI Damien,OVTCHAROV Dimitrij,4,3,"11,10,1,11,6,11,12|9,12,11,7,11,3,10",R64,GRAND_SLAM,MS,1826,Main Draw,ELOI Damien (FRA),OVTCHAROV Dimitrij (GER)
Qatar Open Doha 2007,2007-02-13,WANG Hao,GIONIS Panagiotis,4,2,"8,11,11,11,9,11|11,6,8,9,11,1",R64,GRAND_SLAM,MS,1826,Main Draw,WANG Hao (CHN),GIONIS Panagiotis (GRE)
Qatar Open Doha 2007,2007-02-13,BOLL Timo,GRIGOREV Artur,4,0,"13,11,11,11|11,4,3,2",R64,GRAND_SLAM,MS,1826,Main Draw,BOLL Timo (GER),GRIGOREV Artur (RUS)
