tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Volkswagen China Open Nanjing 2007,2007-06-28,WANG Liqin,AKHLAGHPASAND Mohammadreza,4,0,"11,11,11,11|2,2,7,2",R64,GRAND_SLAM,MS,1847,Main Draw,WANG Liqin (CHN),AKHLAGHPASAND Mohammadreza (USA)
Volkswagen China Open Nanjing 2007,2007-06-28,MIZUTANI Jun,CHO Jihoon,4,1,"11,11,11,4,14|7,5,5,11,12",R64,GRAND_SLAM,MS,1847,Main Draw,MIZUTANI Jun (JPN),CHO Jihoon (KOR)
Volkswagen China Open Nanjing 2007,2007-06-28,GARDOS Robert,YASUMOTO Kazuo,4,0,"11,12,13,11|4,10,11,5",R64,GRAND_SLAM,MS,1847,Main Draw,GARDOS Robert (AUT),YASUMOTO Kazuo (JPN)
Volkswagen China Open Nanjing 2007,2007-06-28,KIM Junghoon,MIZUNO Yuya,4,0,"11,13,12,11|9,11,10,6",R64,GRAND_SLAM,MS,1847,Main Draw,KIM Junghoon (KOR),MIZUNO Yuya (JPN)
Volkswagen China Open Nanjing 2007,2007-06-28,CHUANG Chih-Yuan,MA Liang,4,2,"11,3,7,11,11,11|7,11,11,7,9,7",R64,GRAND_SLAM,MS,1847,Main Draw,CHUANG Chih-Yuan (TPE),MA Liang (SGP)
Volkswagen China Open Nanjing 2007,2007-06-28,YOKOYAMA Yuichi,YANG Min,4,2,"11,11,4,11,7,11|7,8,11,9,11,8",R64,GRAND_SLAM,MS,1847,Main Draw,YOKOYAMA Yuichi (JPN),YANG Min (ITA)
Volkswagen China Open Nanjing 2007,2007-06-28,LUNDQVIST Jens,WANG Jianan,4,3,"11,5,10,4,11,11,11|5,11,12,11,5,8,7",R64,GRAND_SLAM,MS,1847,Main Draw,LUNDQVIST Jens (SWE),WANG Jianan (CGO)
Volkswagen China Open Nanjing 2007,2007-06-28,CHEN Qi,MEHTA Pathik,4,0,"11,11,11,11|7,9,6,8",R64,GRAND_SLAM,MS,1847,Main Draw,CHEN Qi (CHN),MEHTA Pathik (IND)
Volkswagen China Open Nanjing 2007,2007-06-28,MA Long,ANTHONY Amalraj,4,0,"11,11,11,11|8,6,7,3",R64,GRAND_SLAM,MS,1847,Main Draw,MA Long (CHN),ANTHONY Amalraj (IND)
Volkswagen China Open Nanjing 2007,2007-06-28,PERSSON Jorgen,TSUBOGUCHI Michikazu,4,0,"11,11,11,11|5,5,8,7",R64,GRAND_SLAM,MS,1847,Main Draw,PERSSON Jorgen (SWE),TSUBOGUCHI Michikazu (JPN)
Volkswagen China Open Nanjing 2007,2007-06-28,STEGER Bastian,NANDI Anirban,4,2,"8,11,11,8,11,11|11,4,3,11,7,8",R64,GRAND_SLAM,MS,1847,Main Draw,STEGER Bastian (GER),NANDI Anirban (IND)
Volkswagen China Open Nanjing 2007,2007-06-28,CHEUNG Yuk,LIU Zhongze,4,2,"10,11,11,11,9,11|12,8,4,7,11,6",R64,GRAND_SLAM,MS,1847,Main Draw,CHEUNG Yuk (HKG),LIU Zhongze (SGP)
