tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour VW China Open Changchun 2008,2008-05-14,WANG Hao,PERSSON Jorgen,4,1,"13,11,11,11,11|15,7,5,7,8",R32,GRAND_SLAM,MS,802,Main Draw,WANG Hao (CHN),PERSSON Jorgen (SWE)
Pro Tour VW China Open Changchun 2008,2008-05-14,TANG Peng,CHEN Weixing,4,2,"11,5,9,13,11,11|8,11,11,11,5,9",R32,GRAND_SLAM,MS,802,Main Draw,TANG Peng (HKG),CHEN Weixing (AUT)
Pro Tour VW China Open Changchun 2008,2008-05-14,HAO Shuai,JANG Song Man,4,1,"11,11,13,9,11|4,5,11,11,7",R32,GRAND_SLAM,MS,802,Main Draw,HAO Shuai (CHN),JANG Song Man (PRK)
Pro Tour VW China Open Changchun 2008,2008-05-14,ZHANG Jike,GAO Ning,4,0,"11,11,11,11|7,5,8,8",R32,GRAND_SLAM,MS,802,Main Draw,ZHANG Jike (CHN),GAO Ning (SGP)
Pro Tour VW China Open Changchun 2008,2008-05-14,GERELL Par,OH Sangeun,4,3,"11,11,12,10,7,8,11|9,6,10,12,11,11,8",R32,GRAND_SLAM,MS,802,Main Draw,GERELL Par (SWE),OH Sangeun (KOR)
Pro Tour VW China Open Changchun 2008,2008-05-14,JOO Saehyuk,KISHIKAWA Seiya,4,0,"11,11,11,14|6,5,7,12",R32,GRAND_SLAM,MS,802,Main Draw,JOO Saehyuk (KOR),KISHIKAWA Seiya (JPN)
Pro Tour VW China Open Changchun 2008,2008-05-14,JIANG Tianyi,YANG Zi,4,1,"11,11,11,9,11|4,6,9,11,7",R32,GRAND_SLAM,MS,802,Main Draw,JIANG Tianyi (HKG),YANG Zi (SGP)
Pro Tour VW China Open Changchun 2008,2008-05-14,MA Long,LEE Jungsam,4,0,"11,11,11,11|3,7,6,5",R32,GRAND_SLAM,MS,802,Main Draw,MA Long (CHN),LEE Jungsam (KOR)
Pro Tour VW China Open Changchun 2008,2008-05-14,WANG Liqin,CHIANG Peng-Lung,4,0,"11,11,11,11|5,5,3,7",R32,GRAND_SLAM,MS,802,Main Draw,WANG Liqin (CHN),CHIANG Peng-Lung (TPE)
Pro Tour VW China Open Changchun 2008,2008-05-14,CHIANG Hung-Chieh,LI Ching,4,1,"12,9,11,11,11|10,11,9,4,6",R32,GRAND_SLAM,MS,802,Main Draw,CHIANG Hung-Chieh (TPE),LI Ching (HKG)
Pro Tour VW China Open Changchun 2008,2008-05-14,CHUANG Chih-Yuan,KEINATH Thomas,4,3,"11,8,15,11,3,9,11|8,11,13,6,11,11,3",R32,GRAND_SLAM,MS,802,Main Draw,CHUANG Chih-Yuan (TPE),KEINATH Thomas (SVK)
