tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour VW Open Yokohama 2008,2008-05-21,HOYAMA Hugo,AXELQVIST Johan,4,3,"11,7,12,9,12,9,11|7,11,10,11,10,11,8",,GRAND_SLAM,MS,803,Qualification,HOYAMA Hugo (BRA),AXELQVIST Johan (SWE)
Pro Tour VW Open Yokohama 2008,2008-05-21,JIANG Tianyi,AXELQVIST Johan,4,2,"11,14,11,5,10,11|4,12,9,11,12,4",,GRAND_SLAM,MS,803,Qualification,JIANG Tianyi (HKG),AXELQVIST Johan (SWE)
Pro Tour VW Open Yokohama 2008,2008-05-21,JIANG Tianyi,HOYAMA Hugo,4,2,"11,9,2,11,11,11|5,11,11,9,5,1",,GRAND_SLAM,MS,803,Qualification,JIANG Tianyi (HKG),HOYAMA Hugo (BRA)
Pro Tour VW Open Yokohama 2008,2008-05-21,BOBOCICA Mihai,LIU Zhongze,4,2,"11,11,7,10,11,11|8,9,11,12,8,7",,GRAND_SLAM,MS,803,Qualification,BOBOCICA Mihai (ITA),LIU Zhongze (SGP)
Pro Tour VW Open Yokohama 2008,2008-05-21,LEUNG Chu Yan,LIU Zhongze,4,1,"3,13,11,11,11|11,11,5,7,8",,GRAND_SLAM,MS,803,Qualification,LEUNG Chu Yan (HKG),LIU Zhongze (SGP)
Pro Tour VW Open Yokohama 2008,2008-05-21,LEUNG Chu Yan,BOBOCICA Mihai,4,2,"11,9,11,8,11,12|5,11,4,11,4,10",,GRAND_SLAM,MS,803,Qualification,LEUNG Chu Yan (HKG),BOBOCICA Mihai (ITA)
Pro Tour VW Open Yokohama 2008,2008-05-21,SHIONO Masato,LUNDQVIST Jens,4,0,"11,18,21,11|5,16,19,8",,GRAND_SLAM,MS,803,Qualification,SHIONO Masato (JPN),LUNDQVIST Jens (SWE)
Pro Tour VW Open Yokohama 2008,2008-05-21,GACINA Andrej,MA Liang,4,2,"11,3,11,11,10,11|9,11,9,8,12,6",,GRAND_SLAM,MS,803,Qualification,GACINA Andrej (CRO),MA Liang (SGP)
Pro Tour VW Open Yokohama 2008,2008-05-21,LUNDQVIST Jens,MA Liang,4,0,"11,11,11,11|4,6,9,5",,GRAND_SLAM,MS,803,Qualification,LUNDQVIST Jens (SWE),MA Liang (SGP)
Pro Tour VW Open Yokohama 2008,2008-05-21,SHIONO Masato,GACINA Andrej,4,2,"11,11,8,11,7,11|8,5,11,4,11,9",,GRAND_SLAM,MS,803,Qualification,SHIONO Masato (JPN),GACINA Andrej (CRO)
Pro Tour VW Open Yokohama 2008,2008-05-21,LUNDQVIST Jens,GACINA Andrej,4,3,"11,7,11,11,7,3,11|7,11,8,9,11,11,5",,GRAND_SLAM,MS,803,Qualification,LUNDQVIST Jens (SWE),GACINA Andrej (CRO)
Pro Tour VW Open Yokohama 2008,2008-05-21,SHIONO Masato,MA Liang,4,2,"11,9,11,8,11,11|7,11,8,11,4,5",,GRAND_SLAM,MS,803,Qualification,SHIONO Masato (JPN),MA Liang (SGP)
Pro Tour VW Open Yokohama 2008,2008-05-21,LEE Jinkwon,TSUBOI Gustavo,4,2,"6,19,7,12,11,11|11,17,11,10,6,6",,GRAND_SLAM,MS,803,Qualification,LEE Jinkwon (KOR),TSUBOI Gustavo (BRA)
Pro Tour VW Open Yokohama 2008,2008-05-21,KISHIKAWA Seiya,TSUBOI Gustavo,4,2,"9,7,11,11,11,11|11,11,6,6,5,7",,GRAND_SLAM,MS,803,Qualification,KISHIKAWA Seiya (JPN),TSUBOI Gustavo (BRA)
Pro Tour VW Open Yokohama 2008,2008-05-21,LEE Jinkwon,KISHIKAWA Seiya,4,3,"13,11,9,11,4,7,11|11,8,11,6,11,11,9",,GRAND_SLAM,MS,803,Qualification,LEE Jinkwon (KOR),KISHIKAWA Seiya (JPN)
Pro Tour VW Open Yokohama 2008,2008-05-21,OYA Hidetoshi,CHANG Yen-Shu,4,2,"11,8,10,11,11,11|2,11,12,5,8,4",,GRAND_SLAM,MS,803,Qualification,OYA Hidetoshi (JPN),CHANG Yen-Shu (TPE)
Pro Tour VW Open Yokohama 2008,2008-05-21,MONTEIRO Joao,OYA Hidetoshi,4,1,"10,11,11,11,11|12,7,5,6,8",,GRAND_SLAM,MS,803,Qualification,MONTEIRO Joao (POR),OYA Hidetoshi (JPN)
Pro Tour VW Open Yokohama 2008,2008-05-21,CHANG Yen-Shu,MONTEIRO Joao,4,3,"7,9,9,11,12,11,11|11,11,11,8,10,9,9",,GRAND_SLAM,MS,803,Qualification,CHANG Yen-Shu (TPE),MONTEIRO Joao (POR)
