tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Safir International Orebro 2008,2008-02-20,LEE Seungjun,INDEHERBERG Julien,3,1,"11,11,10,11|9,8,12,9",R64,OTHER,JBD,792,Main Draw,LEE Seungjun (KOR),INDEHERBERG Julien (BEL),LEE Seungjun
Safir International Orebro 2008,2008-02-20,KARAS David,EVANS Gavin,3,2,"14,11,4,7,11|12,8,11,11,5",R64,OTHER,JBD,792,Main Draw,KARAS David (SVK),EVANS Gavin (ENG),KARAS David
Safir International Orebro 2008,2008-02-20,ARVIDSSON Simon,DONADO Josue,3,0,"11,12,14|4,10,12",R16,OTHER,JBD,792,Main Draw,ARVIDSSON Simon (SWE),DONADO Josue (ESA),ARVIDSSON Simon
Safir International Orebro 2008,2008-02-20,NOMURA Taiyo,GROTH Jonathan,3,0,"11,11,11|2,6,9",QF,OTHER,JBD,792,Main Draw,NOMURA Taiyo (JPN),GROTH Jonathan (DEN),NOMURA Taiyo
Safir International Orebro 2008,2008-02-20,AGUIRRE Marcelo,ANDERSSON Harald,3,2,"12,8,11,5,12|10,11,6,11,10",R32,OTHER,JBD,792,Main Draw,AGUIRRE Marcelo (PAR),ANDERSSON Harald (SWE),AGUIRRE Marcelo
Safir International Orebro 2008,2008-02-20,AGUIRRE Marcelo,DROP Clement,3,2,"12,8,11,10,11|10,11,7,12,9",R16,OTHER,JBD,792,Main Draw,AGUIRRE Marcelo (PAR),DROP Clement (FRA),AGUIRRE Marcelo
Safir International Orebro 2008,2008-02-20,KARLSSON Kristian,AGUIRRE Marcelo,3,0,"11,12,11|9,10,9",SF,OTHER,JBD,792,Main Draw,KARLSSON Kristian (SWE),AGUIRRE Marcelo (PAR),KARLSSON Kristian
Safir International Orebro 2008,2008-02-20,BIERNY Ludovic,SIRUCEK Pavel,3,0,"11,12,11|6,10,9",R64,OTHER,JBD,792,Main Draw,BIERNY Ludovic (BEL),SIRUCEK Pavel (CZE),BIERNY Ludovic
Safir International Orebro 2008,2008-02-20,HAM Sori,BIERNY Ludovic,3,1,"11,9,11,11|8,11,3,8",R32,OTHER,JBD,792,Main Draw,HAM Sori (KOR),BIERNY Ludovic (BEL),HAM Sori
Safir International Orebro 2008,2008-02-20,DONADO Josue,CULLEN Sean,3,0,"11,12,11|8,10,4",R32,OTHER,JBD,792,Main Draw,DONADO Josue (ESA),CULLEN Sean (ENG),DONADO Josue
