tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour China Open Suzhou 2009,2009-06-03,MA Liang,LKHAGVADORJ Altantulga,4,0,,,GRAND_SLAM,MS,45,Qualification,MA Liang (SGP),LKHAGVADORJ Altantulga (MGL),MA Liang
Pro Tour China Open Suzhou 2009,2009-06-03,MA Liang,KIM Donghyun,4,0,"11,11,11,11|9,7,5,9",,GRAND_SLAM,MS,45,Qualification,MA Liang (SGP),KIM Donghyun (KOR),MA Liang
Pro Tour China Open Suzhou 2009,2009-06-03,KIM Donghyun,LKHAGVADORJ Altantulga,4,0,"11,11,11,12|8,2,9,10",,GRAND_SLAM,MS,45,Qualification,KIM Donghyun (KOR),LKHAGVADORJ Altantulga (MGL),KIM Donghyun
Pro Tour China Open Suzhou 2009,2009-06-03,DRINKHALL Paul,BABUNGU Bomboko,4,0,,,GRAND_SLAM,MS,45,Qualification,DRINKHALL Paul (ENG),BABUNGU Bomboko (COD),DRINKHALL Paul
Pro Tour China Open Suzhou 2009,2009-06-03,DRINKHALL Paul,CHANG Shun-Hung,4,1,"11,11,3,11,11|4,5,11,7,8",,GRAND_SLAM,MS,45,Qualification,DRINKHALL Paul (ENG),CHANG Shun-Hung (TPE),DRINKHALL Paul
Pro Tour China Open Suzhou 2009,2009-06-03,CHANG Shun-Hung,BABUNGU Bomboko,4,0,,,GRAND_SLAM,MS,45,Qualification,CHANG Shun-Hung (TPE),BABUNGU Bomboko (COD),CHANG Shun-Hung
Pro Tour China Open Suzhou 2009,2009-06-03,CHO Jihoon,HUNG Tzu-Hsiang,4,2,"11,5,11,9,11,23|8,11,6,11,9,21",,GRAND_SLAM,MS,45,Qualification,CHO Jihoon (KOR),HUNG Tzu-Hsiang (TPE),CHO Jihoon
Pro Tour China Open Suzhou 2009,2009-06-03,CHO Jihoon,PANG Xue Jie,4,0,"11,11,11,11|5,3,8,7",,GRAND_SLAM,MS,45,Qualification,CHO Jihoon (KOR),PANG Xue Jie (SGP),CHO Jihoon
Pro Tour China Open Suzhou 2009,2009-06-03,PANG Xue Jie,HUNG Tzu-Hsiang,4,2,"17,11,9,13,6,11|15,5,11,11,11,4",,GRAND_SLAM,MS,45,Qualification,PANG Xue Jie (SGP),HUNG Tzu-Hsiang (TPE),PANG Xue Jie
Pro Tour China Open Suzhou 2009,2009-06-03,HABESOHN Daniel,BOLA Christian,4,0,,,GRAND_SLAM,MS,45,Qualification,HABESOHN Daniel (AUT),BOLA Christian (COD),HABESOHN Daniel
Pro Tour China Open Suzhou 2009,2009-06-03,HABESOHN Daniel,LORENTZ Romain,4,2,"8,12,11,11,11,11|11,10,8,13,8,8",,GRAND_SLAM,MS,45,Qualification,HABESOHN Daniel (AUT),LORENTZ Romain (FRA),HABESOHN Daniel
Pro Tour China Open Suzhou 2009,2009-06-03,LORENTZ Romain,BOLA Christian,4,0,,,GRAND_SLAM,MS,45,Qualification,LORENTZ Romain (FRA),BOLA Christian (COD),LORENTZ Romain
Pro Tour China Open Suzhou 2009,2009-06-03,JEONG Sangeun,CHEW Clarence,4,0,"11,11,11,11|7,2,6,8",,GRAND_SLAM,MS,45,Qualification,JEONG Sangeun (KOR),CHEW Clarence (SGP),JEONG Sangeun
Pro Tour China Open Suzhou 2009,2009-06-03,JEONG Sangeun,GAUZY Simon,4,2,"3,16,11,11,10,11|11,14,3,4,12,4",,GRAND_SLAM,MS,45,Qualification,JEONG Sangeun (KOR),GAUZY Simon (FRA),JEONG Sangeun
Pro Tour China Open Suzhou 2009,2009-06-03,GAUZY Simon,CHEW Clarence,4,0,"12,11,11,11|10,9,7,7",,GRAND_SLAM,MS,45,Qualification,GAUZY Simon (FRA),CHEW Clarence (SGP),GAUZY Simon
Pro Tour China Open Suzhou 2009,2009-06-03,HUANG Sheng-Sheng,BIZAKU Jonathan,4,0,,,GRAND_SLAM,MS,45,Qualification,HUANG Sheng-Sheng (TPE),BIZAKU Jonathan (COD),HUANG Sheng-Sheng
Pro Tour China Open Suzhou 2009,2009-06-03,HUANG Sheng-Sheng,RONNEBERG Espen,4,1,"12,11,9,11,11|10,5,11,4,8",,GRAND_SLAM,MS,45,Qualification,HUANG Sheng-Sheng (TPE),RONNEBERG Espen (NOR),HUANG Sheng-Sheng
Pro Tour China Open Suzhou 2009,2009-06-03,RONNEBERG Espen,BIZAKU Jonathan,4,0,,,GRAND_SLAM,MS,45,Qualification,RONNEBERG Espen (NOR),BIZAKU Jonathan (COD),RONNEBERG Espen
Pro Tour China Open Suzhou 2009,2009-06-03,CHO Eonrae,LIU Zhongze,4,1,"5,11,14,11,12|11,3,12,2,10",,GRAND_SLAM,MS,45,Qualification,CHO Eonrae (KOR),LIU Zhongze (SGP),CHO Eonrae
Pro Tour China Open Suzhou 2009,2009-06-03,LIU Zhongze,LI Kwun Ngai,4,1,"20,8,11,11,11|18,11,9,9,6",,GRAND_SLAM,MS,45,Qualification,LIU Zhongze (SGP),LI Kwun Ngai (HKG),LIU Zhongze
Pro Tour China Open Suzhou 2009,2009-06-03,CHO Eonrae,LI Kwun Ngai,4,0,"11,11,11,11|7,9,7,9",,GRAND_SLAM,MS,45,Qualification,CHO Eonrae (KOR),LI Kwun Ngai (HKG),CHO Eonrae
Pro Tour China Open Suzhou 2009,2009-06-03,KO Junhyung,WANG Yi-Tse,4,0,"11,11,11,11|8,9,7,5",,GRAND_SLAM,MS,45,Qualification,KO Junhyung (KOR),WANG Yi-Tse (TPE),KO Junhyung
Pro Tour China Open Suzhou 2009,2009-06-03,KO Junhyung,ALAMIYAN Noshad,4,0,,,GRAND_SLAM,MS,45,Qualification,KO Junhyung (KOR),ALAMIYAN Noshad (IRI),KO Junhyung
