tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,MA Long,RUBAN Mykyta,4,0,"11,11,11,13|6,3,6,11",R64,GRAND_SLAM,MS,37,Main Draw,MA Long (CHN),RUBAN Mykyta (UKR)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,XU Xin,AXELQVIST Johan,4,0,"11,11,11,11|7,9,2,6",R64,GRAND_SLAM,MS,37,Main Draw,XU Xin (CHN),AXELQVIST Johan (SWE)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,LEBESSON Emmanuel,MALICKI Szymon,4,0,"11,11,11,11|8,5,8,5",R64,GRAND_SLAM,MS,37,Main Draw,LEBESSON Emmanuel (FRA),MALICKI Szymon (POL)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,KORBEL Petr,VOSTES Yannick,4,0,"11,11,11,11|7,6,7,5",R64,GRAND_SLAM,MS,37,Main Draw,KORBEL Petr (CZE),VOSTES Yannick (BEL)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,STEGER Bastian,MATSUMOTO Cazuo,4,2,"15,6,11,6,11,11|13,11,8,11,9,7",R64,GRAND_SLAM,MS,37,Main Draw,STEGER Bastian (GER),MATSUMOTO Cazuo (BRA)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,LUNDQVIST Jens,MONRAD Martin,4,3,"11,8,4,11,11,11,11|7,11,11,7,1,13,1",R64,GRAND_SLAM,MS,37,Main Draw,LUNDQVIST Jens (SWE),MONRAD Martin (DEN)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,SVENSSON Robert,HABESOHN Daniel,4,1,"11,11,14,4,13|7,9,12,11,11",R64,GRAND_SLAM,MS,37,Main Draw,SVENSSON Robert (SWE),HABESOHN Daniel (AUT)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,CRISAN Adrian,MENGEL Steffen,4,0,"11,11,11,11|5,7,5,3",R64,GRAND_SLAM,MS,37,Main Draw,CRISAN Adrian (ROU),MENGEL Steffen (GER)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,MAZE Michael,PERSSON Jon,4,0,"11,11,11,11|4,4,3,8",R64,GRAND_SLAM,MS,37,Main Draw,MAZE Michael (DEN),PERSSON Jon (SWE)
Pro Tour Danish Open Frederikshavn 2009,2009-01-21,LEGOUT Christophe,SZYMANSKI Filip,4,3,"12,4,11,9,11,10,11|10,11,9,11,8,12,4",R64,GRAND_SLAM,MS,37,Main Draw,LEGOUT Christophe (FRA),SZYMANSKI Filip (POL)
