tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Pro Tour English Open Sheffield 2009,2009-10-28,MA Long,PROKOPCOV Dmitrij,4,1,"9,12,11,11,11|11,10,5,9,8",R64,GRAND_SLAM,MS,49,Main Draw,MA Long (CHN),PROKOPCOV Dmitrij (CZE),MA Long
Pro Tour English Open Sheffield 2009,2009-10-28,GIONIS Panagiotis,HABESOHN Daniel,4,3,"11,9,11,11,9,3,11|9,11,6,6,11,11,8",R64,GRAND_SLAM,MS,49,Main Draw,GIONIS Panagiotis (GRE),HABESOHN Daniel (AUT),GIONIS Panagiotis
Pro Tour English Open Sheffield 2009,2009-10-28,FEJER-KONNERTH Zoltan,KEINATH Thomas,4,3,"11,14,7,8,11,5,13|7,12,11,11,6,11,11",R64,GRAND_SLAM,MS,49,Main Draw,FEJER-KONNERTH Zoltan (GER),KEINATH Thomas (SVK),FEJER-KONNERTH Zoltan
Pro Tour English Open Sheffield 2009,2009-10-28,ZHANG Jike,AKERSTROM Fabian,4,0,"11,11,11,15|9,5,6,13",R64,GRAND_SLAM,MS,49,Main Draw,ZHANG Jike (CHN),AKERSTROM Fabian (SWE),ZHANG Jike
Pro Tour English Open Sheffield 2009,2009-10-28,GAO Ning,NIWA Koki,4,2,"8,12,11,11,11,13|11,14,9,9,3,11",R64,GRAND_SLAM,MS,49,Main Draw,GAO Ning (SGP),NIWA Koki (JPN),GAO Ning
Pro Tour English Open Sheffield 2009,2009-10-28,LUNDQVIST Jens,SUCH Bartosz,4,3,"11,11,7,12,11,6,12|4,8,11,14,4,11,10",R64,GRAND_SLAM,MS,49,Main Draw,LUNDQVIST Jens (SWE),SUCH Bartosz (POL),LUNDQVIST Jens
Pro Tour English Open Sheffield 2009,2009-10-28,STEGER Bastian,MATSUDAIRA Kenji,4,2,"9,13,10,11,11,11|11,11,12,3,4,6",R64,GRAND_SLAM,MS,49,Main Draw,STEGER Bastian (GER),MATSUDAIRA Kenji (JPN),STEGER Bastian
Pro Tour English Open Sheffield 2009,2009-10-28,MIZUTANI Jun,STOYANOV Niagol,4,2,"3,11,11,7,13,11|11,3,5,11,11,6",R64,GRAND_SLAM,MS,49,Main Draw,MIZUTANI Jun (JPN),STOYANOV Niagol (ITA),MIZUTANI Jun
Pro Tour English Open Sheffield 2009,2009-10-28,JOO Saehyuk,MA Liang,4,2,"11,10,8,11,11,11|8,12,11,5,7,2",R64,GRAND_SLAM,MS,49,Main Draw,JOO Saehyuk (KOR),MA Liang (SGP),JOO Saehyuk
Pro Tour English Open Sheffield 2009,2009-10-28,MONTEIRO Joao,AXELQVIST Johan,4,1,"11,11,11,6,11|4,6,9,11,4",R64,GRAND_SLAM,MS,49,Main Draw,MONTEIRO Joao (POR),AXELQVIST Johan (SWE),MONTEIRO Joao
Pro Tour English Open Sheffield 2009,2009-10-28,VOSTES Yannick,WANG Zengyi,4,3,"12,3,7,11,11,7,11|10,11,11,8,9,11,8",R64,GRAND_SLAM,MS,49,Main Draw,VOSTES Yannick (BEL),WANG Zengyi (POL),VOSTES Yannick
Pro Tour English Open Sheffield 2009,2009-10-28,MAZE Michael,OBESLO Michal,4,0,"11,11,11,11|8,6,6,8",R64,GRAND_SLAM,MS,49,Main Draw,MAZE Michael (DEN),OBESLO Michal (CZE),MAZE Michael
Pro Tour English Open Sheffield 2009,2009-10-28,RYU Seungmin,TORNKVIST Andreas,4,0,"11,12,11,11|7,10,3,3",R64,GRAND_SLAM,MS,49,Main Draw,RYU Seungmin (KOR),TORNKVIST Andreas (SWE),RYU Seungmin
Pro Tour English Open Sheffield 2009,2009-10-28,XU Xin,LEUNG Chu Yan,4,0,"11,11,11,11|8,7,3,4",R64,GRAND_SLAM,MS,49,Main Draw,XU Xin (CHN),LEUNG Chu Yan (HKG),XU Xin
