tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Taiyuan International Open Taiyuan 2009,2009-08-26,BEDAIR Omar,FADNAVIS Devdatta,3,0,"11,11,11|3,7,9",,WTT_CONTENDER,CBS,828,Qualification,BEDAIR Omar (EGY),FADNAVIS Devdatta (IND)
Taiyuan International Open Taiyuan 2009,2009-08-26,BEDAIR Omar,BAN Benjamin,3,0,"11,11,11|7,4,2",,WTT_CONTENDER,CBS,828,Qualification,BEDAIR Omar (EGY),BAN Benjamin (SGP)
Taiyuan International Open Taiyuan 2009,2009-08-26,FADNAVIS Devdatta,BAN Benjamin,3,2,"11,4,9,12,11|8,11,11,10,5",,WTT_CONTENDER,CBS,828,Qualification,FADNAVIS Devdatta (IND),BAN Benjamin (SGP)
Taiyuan International Open Taiyuan 2009,2009-08-26,CHEW Clarence,YADAV Abhishek,3,0,"11,11,11|6,5,8",,WTT_CONTENDER,CBS,828,Qualification,CHEW Clarence (SGP),YADAV Abhishek (IND)
Taiyuan International Open Taiyuan 2009,2009-08-26,LI Minghao,CHEW Clarence,3,0,"11,11,11|9,8,9",,WTT_CONTENDER,CBS,828,Qualification,LI Minghao (CHN),CHEW Clarence (SGP)
Taiyuan International Open Taiyuan 2009,2009-08-26,YADAV Abhishek,LI Minghao,3,1,"11,11,7,12|9,8,11,10",,WTT_CONTENDER,CBS,828,Qualification,YADAV Abhishek (IND),LI Minghao (CHN)
Taiyuan International Open Taiyuan 2009,2009-08-26,SARKAR Rajib,WANG Pengcheng,3,2,"11,6,11,7,11|6,11,9,11,5",,WTT_CONTENDER,CBS,828,Qualification,SARKAR Rajib (IND),WANG Pengcheng (CHN)
Taiyuan International Open Taiyuan 2009,2009-08-26,TANVIRIYAVECHAKUL Padasak,WOO Julian,3,0,"11,12,14|9,10,12",,WTT_CONTENDER,CBS,828,Qualification,TANVIRIYAVECHAKUL Padasak (THA),WOO Julian (SGP)
Taiyuan International Open Taiyuan 2009,2009-08-26,SARKAR Rajib,TANVIRIYAVECHAKUL Padasak,3,1,"9,12,11,11|11,10,7,6",,WTT_CONTENDER,CBS,828,Qualification,SARKAR Rajib (IND),TANVIRIYAVECHAKUL Padasak (THA)
Taiyuan International Open Taiyuan 2009,2009-08-26,WANG Pengcheng,WOO Julian,3,0,"13,11,11|11,7,8",,WTT_CONTENDER,CBS,828,Qualification,WANG Pengcheng (CHN),WOO Julian (SGP)
