tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Tournament of Champions Changsha 2009,2009-12-19,MA Lin,MAZE Michael,4,3,"11,11,11,9,9,11,11|8,13,8,11,11,5,6",QF,OTHER,MS,829,Main Draw,MA Lin (CHN),MAZE Michael (DEN)
Tournament of Champions Changsha 2009,2009-12-19,MA Long,MIZUTANI Jun,4,1,"11,12,8,11,11|2,10,11,4,5",QF,OTHER,MS,829,Main Draw,MA Long (CHN),MIZUTANI Jun (JPN)
Tournament of Champions Changsha 2009,2009-12-19,OVTCHAROV Dimitrij,SAMSONOV Vladimir,4,3,"9,8,13,14,7,11,12|11,11,11,12,11,6,10",QF,OTHER,MS,829,Main Draw,OVTCHAROV Dimitrij (GER),SAMSONOV Vladimir (BLR)
Tournament of Champions Changsha 2009,2009-12-19,BOLL Timo,WANG Hao,4,2,"11,11,6,11,11,11|8,7,11,5,13,3",QF,OTHER,MS,829,Main Draw,BOLL Timo (GER),WANG Hao (CHN)
Tournament of Champions Changsha 2009,2009-12-19,MA Long,MA Lin,4,2,"11,11,5,11,9,11|8,8,11,6,11,2",SF,OTHER,MS,829,Main Draw,MA Long (CHN),MA Lin (CHN)
Tournament of Champions Changsha 2009,2009-12-19,BOLL Timo,OVTCHAROV Dimitrij,4,0,"11,11,11,11|6,7,5,3",SF,OTHER,MS,829,Main Draw,BOLL Timo (GER),OVTCHAROV Dimitrij (GER)
Tournament of Champions Changsha 2009,2009-12-19,MA Long,BOLL Timo,4,1,"11,11,7,11,11|9,9,11,9,6",F,OTHER,MS,829,Main Draw,MA Long (CHN),BOLL Timo (GER)
Tournament of Champions Changsha 2009,2009-12-19,LIU Shiwen,WANG Yuegu,4,0,"11,11,12,11|7,5,10,8",QF,OTHER,WS,829,Main Draw,LIU Shiwen (CHN),WANG Yuegu (SGP)
Tournament of Champions Changsha 2009,2009-12-19,PAVLOVICH Viktoria,FENG Tianwei,4,1,"14,11,12,11,11|12,6,10,13,9",QF,OTHER,WS,829,Main Draw,PAVLOVICH Viktoria (BLR),FENG Tianwei (SGP)
Tournament of Champions Changsha 2009,2009-12-19,WU Jiaduo,KIM Kyungah,4,3,"10,13,5,11,11,11,11|12,15,11,8,8,7,1",QF,OTHER,WS,829,Main Draw,WU Jiaduo (GER),KIM Kyungah (KOR)
Tournament of Champions Changsha 2009,2009-12-19,GUO Yan (1982),JIANG Huajun,4,0,"11,11,11,11|4,6,4,5",QF,OTHER,WS,829,Main Draw,GUO Yan (1982) (CHN),JIANG Huajun (HKG)
Tournament of Champions Changsha 2009,2009-12-19,LIU Shiwen,PAVLOVICH Viktoria,4,0,"13,11,12,12|11,5,10,10",SF,OTHER,WS,829,Main Draw,LIU Shiwen (CHN),PAVLOVICH Viktoria (BLR)
Tournament of Champions Changsha 2009,2009-12-19,GUO Yan (1982),WU Jiaduo,4,1,"11,11,11,9,11|7,3,1,11,5",SF,OTHER,WS,829,Main Draw,GUO Yan (1982) (CHN),WU Jiaduo (GER)
Tournament of Champions Changsha 2009,2009-12-19,GUO Yan (1982),LIU Shiwen,4,2,"11,11,5,8,11,11|7,7,11,11,9,3",F,OTHER,WS,829,Main Draw,GUO Yan (1982) (CHN),LIU Shiwen (CHN)
