tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Women's World Cup Guangzhou 2009,2009-10-10,GUO Yue,LI Jiao,4,2,"11,11,7,11,11,11|8,6,11,5,13,8",,WORLD_CUP,WS,832,Qualification,GUO Yue (CHN),LI Jiao (NED),GUO Yue
Women's World Cup Guangzhou 2009,2009-10-10,WANG Yuegu,PASKAUSKIENE Ruta,4,2,"6,11,11,4,11,11|11,6,1,11,7,4",,WORLD_CUP,WS,832,Qualification,WANG Yuegu (SGP),PASKAUSKIENE Ruta (LTU),WANG Yuegu
Women's World Cup Guangzhou 2009,2009-10-10,GUO Yue,WANG Yuegu,4,0,"11,12,11,11|7,10,4,3",,WORLD_CUP,WS,832,Qualification,GUO Yue (CHN),WANG Yuegu (SGP),GUO Yue
Women's World Cup Guangzhou 2009,2009-10-10,LI Jiao,PASKAUSKIENE Ruta,4,0,"11,13,11,11|7,11,8,5",,WORLD_CUP,WS,832,Qualification,LI Jiao (NED),PASKAUSKIENE Ruta (LTU),LI Jiao
Women's World Cup Guangzhou 2009,2009-10-10,GUO Yue,PASKAUSKIENE Ruta,4,1,"11,11,11,8,11|8,3,6,11,6",,WORLD_CUP,WS,832,Qualification,GUO Yue (CHN),PASKAUSKIENE Ruta (LTU),GUO Yue
Women's World Cup Guangzhou 2009,2009-10-10,LI Jiao,WANG Yuegu,4,3,"3,11,4,11,7,11,11|11,8,11,8,11,6,9",,WORLD_CUP,WS,832,Qualification,LI Jiao (NED),WANG Yuegu (SGP),LI Jiao
Women's World Cup Guangzhou 2009,2009-10-10,LI Xiaoxia,LIU Jia,4,0,"11,11,11,11|8,3,7,5",,WORLD_CUP,WS,832,Qualification,LI Xiaoxia (CHN),LIU Jia (AUT),LI Xiaoxia
Women's World Cup Guangzhou 2009,2009-10-10,FUKUHARA Ai,JIANG Huajun,4,1,"11,8,14,13,11|5,11,12,11,7",,WORLD_CUP,WS,832,Qualification,FUKUHARA Ai (JPN),JIANG Huajun (HKG),FUKUHARA Ai
Women's World Cup Guangzhou 2009,2009-10-10,LI Xiaoxia,JIANG Huajun,4,0,"11,11,11,11|4,4,8,9",,WORLD_CUP,WS,832,Qualification,LI Xiaoxia (CHN),JIANG Huajun (HKG),LI Xiaoxia
Women's World Cup Guangzhou 2009,2009-10-10,LIU Jia,FUKUHARA Ai,4,0,"11,11,11,12|4,6,4,10",,WORLD_CUP,WS,832,Qualification,LIU Jia (AUT),FUKUHARA Ai (JPN),LIU Jia
