tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Australian Senior Open Gosford 2010,2010-06-20,HENZELL William,ZHAO Anthony,3,0,,,WTT_CONTENDER,MS,618,Qualification,HENZELL William (AUS),ZHAO Anthony (AUS),HENZELL William
Australian Senior Open Gosford 2010,2010-06-20,GERADA Simon,NG Abraham,3,0,,,WTT_CONTENDER,MS,618,Qualification,GERADA Simon (AUS),NG Abraham (AUS),GERADA Simon
Australian Senior Open Gosford 2010,2010-06-20,GERADA Simon,COUGHLAN Joel,3,0,,,WTT_CONTENDER,MS,618,Qualification,GERADA Simon (AUS),COUGHLAN Joel (AUS),GERADA Simon
Australian Senior Open Gosford 2010,2010-06-20,COUGHLAN Joel,NG Abraham,3,0,,,WTT_CONTENDER,MS,618,Qualification,COUGHLAN Joel (AUS),NG Abraham (AUS),COUGHLAN Joel
Australian Senior Open Gosford 2010,2010-06-20,COLLINS Myles,LEEDS Adam,3,0,,,WTT_CONTENDER,MS,618,Qualification,COLLINS Myles (NZL),LEEDS Adam (AUS),COLLINS Myles
Australian Senior Open Gosford 2010,2010-06-20,HAN Justin,COLLINS Myles,3,0,,,WTT_CONTENDER,MS,618,Qualification,HAN Justin (AUS),COLLINS Myles (NZL),HAN Justin
Australian Senior Open Gosford 2010,2010-06-20,HAN Justin,LEEDS Adam,3,0,,,WTT_CONTENDER,MS,618,Qualification,HAN Justin (AUS),LEEDS Adam (AUS),HAN Justin
Australian Senior Open Gosford 2010,2010-06-20,TRAN Xuyen,CHEN Steve,3,0,,,WTT_CONTENDER,MS,618,Qualification,TRAN Xuyen (AUS),CHEN Steve (AUS),TRAN Xuyen
Australian Senior Open Gosford 2010,2010-06-20,DAVIS Kyle,DOO Kim Jae,3,0,,,WTT_CONTENDER,MS,618,Qualification,DAVIS Kyle (AUS),DOO Kim Jae (AUS),DAVIS Kyle
Australian Senior Open Gosford 2010,2010-06-20,DAVIS Kyle,TRAN Xuyen,3,0,,,WTT_CONTENDER,MS,618,Qualification,DAVIS Kyle (AUS),TRAN Xuyen (AUS),DAVIS Kyle
Australian Senior Open Gosford 2010,2010-06-20,CHEN Steve,DOO Kim Jae,3,0,,,WTT_CONTENDER,MS,618,Qualification,CHEN Steve (AUS),DOO Kim Jae (AUS),CHEN Steve
Australian Senior Open Gosford 2010,2010-06-20,DAVIS Kyle,CHEN Steve,3,0,,,WTT_CONTENDER,MS,618,Qualification,DAVIS Kyle (AUS),CHEN Steve (AUS),DAVIS Kyle
Australian Senior Open Gosford 2010,2010-06-20,TRAN Xuyen,DOO Kim Jae,3,0,,,WTT_CONTENDER,MS,618,Qualification,TRAN Xuyen (AUS),DOO Kim Jae (AUS),TRAN Xuyen
Australian Senior Open Gosford 2010,2010-06-20,OH Nam Ho,BROWN Michael,3,0,,,WTT_CONTENDER,MS,618,Qualification,OH Nam Ho (AUS),BROWN Michael (AUS),OH Nam Ho
Australian Senior Open Gosford 2010,2010-06-20,BROWN Michael,MILAZZO John,3,0,,,WTT_CONTENDER,MS,618,Qualification,BROWN Michael (AUS),MILAZZO John (AUS),BROWN Michael
Australian Senior Open Gosford 2010,2010-06-20,OH Nam Ho,MILAZZO John,3,0,,,WTT_CONTENDER,MS,618,Qualification,OH Nam Ho (AUS),MILAZZO John (AUS),OH Nam Ho
Australian Senior Open Gosford 2010,2010-06-20,TAWADROUS John,LIN WEN YING Jason,3,0,,,WTT_CONTENDER,MS,618,Qualification,TAWADROUS John (AUS),LIN WEN YING Jason (MRI),TAWADROUS John
