tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Belarus Open Minsk 2010,2010-04-29,SIMONER Christoph,KULPEKSHA Siarhei,3,0,,,WTT_CONTENDER,MS,655,Qualification,SIMONER Christoph (AUT),KULPEKSHA Siarhei (BLR)
Belarus Open Minsk 2010,2010-04-29,YUTSY Siarhei,KULPEKSHA Siarhei,3,0,,,WTT_CONTENDER,MS,655,Qualification,YUTSY Siarhei (BLR),KULPEKSHA Siarhei (BLR)
Belarus Open Minsk 2010,2010-04-29,SIMONER Christoph,YUTSY Siarhei,3,0,,,WTT_CONTENDER,MS,655,Qualification,SIMONER Christoph (AUT),YUTSY Siarhei (BLR)
Belarus Open Minsk 2010,2010-04-29,KATKOV Ivan,SHABAN Vital,3,0,,,WTT_CONTENDER,MS,655,Qualification,KATKOV Ivan (UKR),SHABAN Vital (BLR)
Belarus Open Minsk 2010,2010-04-29,SHABAN Vital,LABANOUSKI Aliaksandr,3,0,,,WTT_CONTENDER,MS,655,Qualification,SHABAN Vital (BLR),LABANOUSKI Aliaksandr (BLR)
Belarus Open Minsk 2010,2010-04-29,KATKOV Ivan,LABANOUSKI Aliaksandr,3,0,,,WTT_CONTENDER,MS,655,Qualification,KATKOV Ivan (UKR),LABANOUSKI Aliaksandr (BLR)
Belarus Open Minsk 2010,2010-04-29,BUROV Viacheslav,VOITSEKHAU Tsimur,3,0,,,WTT_CONTENDER,MS,655,Qualification,BUROV Viacheslav (RUS),VOITSEKHAU Tsimur (BLR)
Belarus Open Minsk 2010,2010-04-29,SOPELEU Anton,VOITSEKHAU Tsimur,3,0,,,WTT_CONTENDER,MS,655,Qualification,SOPELEU Anton (BLR),VOITSEKHAU Tsimur (BLR)
Belarus Open Minsk 2010,2010-04-29,BUROV Viacheslav,SOPELEU Anton,3,0,,,WTT_CONTENDER,MS,655,Qualification,BUROV Viacheslav (RUS),SOPELEU Anton (BLR)
Belarus Open Minsk 2010,2010-04-29,PLATONOV Pavel,FOERSTER Gregor,3,0,,,WTT_CONTENDER,MS,655,Qualification,PLATONOV Pavel (BLR),FOERSTER Gregor (NED)
