tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Butterfly Baltic Cup Tallinn 2010,2010-04-24,ABRAHAMSSON Axel,MONSTIS Laurynas,3,0,,,OTHER,MS,621,Qualification,ABRAHAMSSON Axel (SWE),MONSTIS Laurynas (LTU),ABRAHAMSSON Axel
Butterfly Baltic Cup Tallinn 2010,2010-04-24,LINDMAE Erik,MIKALAUSKAS Alvidas,3,0,,,OTHER,MS,621,Qualification,LINDMAE Erik (EST),MIKALAUSKAS Alvidas (LTU),LINDMAE Erik
Butterfly Baltic Cup Tallinn 2010,2010-04-24,LIBENE Toomas,MALOLEPSZY Jedrzej,3,0,,,OTHER,MS,621,Qualification,LIBENE Toomas (EST),MALOLEPSZY Jedrzej (POL),LIBENE Toomas
Butterfly Baltic Cup Tallinn 2010,2010-04-24,LIBENE Toomas,GUDAITIS Vytautas,3,0,,,OTHER,MS,621,Qualification,LIBENE Toomas (EST),GUDAITIS Vytautas (LTU),LIBENE Toomas
Butterfly Baltic Cup Tallinn 2010,2010-04-24,MALOLEPSZY Jedrzej,GUDAITIS Vytautas,3,0,,,OTHER,MS,621,Qualification,MALOLEPSZY Jedrzej (POL),GUDAITIS Vytautas (LTU),MALOLEPSZY Jedrzej
Butterfly Baltic Cup Tallinn 2010,2010-04-24,NAVICKAS Ignas,MANNIK Marko,3,0,,,OTHER,MS,621,Qualification,NAVICKAS Ignas (LTU),MANNIK Marko (EST),NAVICKAS Ignas
Butterfly Baltic Cup Tallinn 2010,2010-04-24,NAVICKAS Ignas,YUDENICH Mikhail,3,0,,,OTHER,MS,621,Qualification,NAVICKAS Ignas (LTU),YUDENICH Mikhail (RUS),NAVICKAS Ignas
Butterfly Baltic Cup Tallinn 2010,2010-04-24,YUDENICH Mikhail,MANNIK Marko,3,0,,,OTHER,MS,621,Qualification,YUDENICH Mikhail (RUS),MANNIK Marko (EST),YUDENICH Mikhail
Butterfly Baltic Cup Tallinn 2010,2010-04-24,VYAZKOV Vladimir,GURA Paulius,3,0,,,OTHER,MS,621,Qualification,VYAZKOV Vladimir (RUS),GURA Paulius (LTU),VYAZKOV Vladimir
Butterfly Baltic Cup Tallinn 2010,2010-04-24,SANDELL Mats,GURA Paulius,3,0,,,OTHER,MS,621,Qualification,SANDELL Mats (SWE),GURA Paulius (LTU),SANDELL Mats
