tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Central American Games Panama City 2010,2010-04-12,DONADO Josue,AVI-TAL Omer,3,0,,,OTHER,MS,625,Qualification,DONADO Josue (ESA),AVI-TAL Omer (PAN)
Central American Games Panama City 2010,2010-04-12,DONADO Josue,LARIOS Julio,3,0,,,OTHER,MS,625,Qualification,DONADO Josue (ESA),LARIOS Julio (HON)
Central American Games Panama City 2010,2010-04-12,AVI-TAL Omer,LARIOS Julio,3,0,,,OTHER,MS,625,Qualification,AVI-TAL Omer (PAN),LARIOS Julio (HON)
Central American Games Panama City 2010,2010-04-12,ALTAMIRANDA Justo,CALVO Allan,3,0,,,OTHER,MS,625,Qualification,ALTAMIRANDA Justo (PAN),CALVO Allan (CRC)
Central American Games Panama City 2010,2010-04-12,SEQUEIRA Roger,ALTAMIRANDA Justo,3,0,,,OTHER,MS,625,Qualification,SEQUEIRA Roger (NCA),ALTAMIRANDA Justo (PAN)
Central American Games Panama City 2010,2010-04-12,CALVO Allan,SEQUEIRA Roger,3,0,,,OTHER,MS,625,Qualification,CALVO Allan (CRC),SEQUEIRA Roger (NCA)
Central American Games Panama City 2010,2010-04-12,ROZENBAUM Oren,ALVARENGA Michael,3,0,,,OTHER,MS,625,Qualification,ROZENBAUM Oren (PAN),ALVARENGA Michael (NCA)
Central American Games Panama City 2010,2010-04-12,ROZENBAUM Oren,URBINA Jose,3,0,,,OTHER,MS,625,Qualification,ROZENBAUM Oren (PAN),URBINA Jose (HON)
Central American Games Panama City 2010,2010-04-12,ALVARENGA Michael,URBINA Jose,3,0,,,OTHER,MS,625,Qualification,ALVARENGA Michael (NCA),URBINA Jose (HON)
Central American Games Panama City 2010,2010-04-12,MERINO Edilberto,ZAVALA Irving,3,0,,,OTHER,MS,625,Qualification,MERINO Edilberto (ESA),ZAVALA Irving (HON)
Central American Games Panama City 2010,2010-04-12,MERINO Edilberto,MARTINEZ Jeison,3,0,,,OTHER,MS,625,Qualification,MERINO Edilberto (ESA),MARTINEZ Jeison (CRC)
Central American Games Panama City 2010,2010-04-12,MARTINEZ Jeison,ZAVALA Irving,3,0,,,OTHER,MS,625,Qualification,MARTINEZ Jeison (CRC),ZAVALA Irving (HON)
Central American Games Panama City 2010,2010-04-12,MOLINA Mario,CASCANTE Jose,3,0,,,OTHER,MS,625,Qualification,MOLINA Mario (NCA),CASCANTE Jose (CRC)
Central American Games Panama City 2010,2010-04-12,CASCANTE Jose,BONILLA Saul,3,0,,,OTHER,MS,625,Qualification,CASCANTE Jose (CRC),BONILLA Saul (ESA)
Central American Games Panama City 2010,2010-04-12,MOLINA Mario,BONILLA Saul,3,0,,,OTHER,MS,625,Qualification,MOLINA Mario (NCA),BONILLA Saul (ESA)
Central American Games Panama City 2010,2010-04-12,MEJIA Luis,CHONG Alex,3,0,,,OTHER,MS,625,Qualification,MEJIA Luis (ESA),CHONG Alex (PAN)
Central American Games Panama City 2010,2010-04-12,DIAZ Denis,RIVERA Davis,3,0,,,OTHER,MS,625,Qualification,DIAZ Denis (HON),RIVERA Davis (NCA)
Central American Games Panama City 2010,2010-04-12,MEJIA Luis,DIAZ Denis,3,0,,,OTHER,MS,625,Qualification,MEJIA Luis (ESA),DIAZ Denis (HON)
Central American Games Panama City 2010,2010-04-12,CHONG Alex,RIVERA Davis,3,0,,,OTHER,MS,625,Qualification,CHONG Alex (PAN),RIVERA Davis (NCA)
Central American Games Panama City 2010,2010-04-12,MEJIA Luis,RIVERA Davis,3,0,,,OTHER,MS,625,Qualification,MEJIA Luis (ESA),RIVERA Davis (NCA)
Central American Games Panama City 2010,2010-04-12,CHONG Alex,DIAZ Denis,3,0,,,OTHER,MS,625,Qualification,CHONG Alex (PAN),DIAZ Denis (HON)
Central American Games Panama City 2010,2010-04-12,DONADO Josue,MERINO Edilberto,3,0,,Final,OTHER,MS,625,Main Draw,DONADO Josue (ESA),MERINO Edilberto (ESA)
Central American Games Panama City 2010,2010-04-12,DONADO Josue,ROZENBAUM Oren,3,0,,SemiFinal,OTHER,MS,625,Main Draw,DONADO Josue (ESA),ROZENBAUM Oren (PAN)
Central American Games Panama City 2010,2010-04-12,MERINO Edilberto,ALTAMIRANDA Justo,3,0,,SemiFinal,OTHER,MS,625,Main Draw,MERINO Edilberto (ESA),ALTAMIRANDA Justo (PAN)
Central American Games Panama City 2010,2010-04-12,DONADO Josue,CALVO Allan,3,0,,QuarterFinal,OTHER,MS,625,Main Draw,DONADO Josue (ESA),CALVO Allan (CRC)
Central American Games Panama City 2010,2010-04-12,ROZENBAUM Oren,MOLINA Mario,3,0,,QuarterFinal,OTHER,MS,625,Main Draw,ROZENBAUM Oren (PAN),MOLINA Mario (NCA)
Central American Games Panama City 2010,2010-04-12,MERINO Edilberto,ALVARENGA Michael,3,0,,QuarterFinal,OTHER,MS,625,Main Draw,MERINO Edilberto (ESA),ALVARENGA Michael (NCA)
Central American Games Panama City 2010,2010-04-12,ALTAMIRANDA Justo,AVI-TAL Omer,3,0,,QuarterFinal,OTHER,MS,625,Main Draw,ALTAMIRANDA Justo (PAN),AVI-TAL Omer (PAN)
Central American Games Panama City 2010,2010-04-12,CALVO Allan,MARTINEZ Jeison,3,0,,R16,OTHER,MS,625,Main Draw,CALVO Allan (CRC),MARTINEZ Jeison (CRC)
Central American Games Panama City 2010,2010-04-12,MOLINA Mario,CHONG Alex,3,0,,R16,OTHER,MS,625,Main Draw,MOLINA Mario (NCA),CHONG Alex (PAN)
Central American Games Panama City 2010,2010-04-12,ALVARENGA Michael,MEJIA Luis,3,0,,R16,OTHER,MS,625,Main Draw,ALVARENGA Michael (NCA),MEJIA Luis (ESA)
