tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
JOOLA European Nations League Premier 2010,2010-09-05,NEKHVEDOVICH Vitaly,LUNDQVIST Jens,3,0,,,OTHER,MT,1968,Qualification,NEKHVEDOVICH Vitaly (BLR),LUNDQVIST Jens (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,CHTCHETININE Evgueni,SVENSSON Robert,3,0,,,OTHER,MT,1968,Qualification,CHTCHETININE Evgueni (BLR),SVENSSON Robert (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,PERSSON Jon,PLATONOV Pavel,3,0,,,OTHER,MT,1968,Qualification,PERSSON Jon (SWE),PLATONOV Pavel (BLR)
JOOLA European Nations League Premier 2010,2010-09-05,LUNDQVIST Jens,CHTCHETININE Evgueni,3,0,,,OTHER,MT,1968,Qualification,LUNDQVIST Jens (SWE),CHTCHETININE Evgueni (BLR)
JOOLA European Nations League Premier 2010,2010-09-05,STEGER Bastian,SKACHKOV Kirill,3,0,,,OTHER,MT,1968,Qualification,STEGER Bastian (GER),SKACHKOV Kirill (RUS)
JOOLA European Nations League Premier 2010,2010-09-05,MENGEL Steffen,KUZMIN Fedor,3,0,,,OTHER,MT,1968,Qualification,MENGEL Steffen (GER),KUZMIN Fedor (RUS)
JOOLA European Nations League Premier 2010,2010-09-05,SHIBAEV Alexander,BAUM Patrick,3,0,,,OTHER,MT,1968,Qualification,SHIBAEV Alexander (RUS),BAUM Patrick (GER)
JOOLA European Nations League Premier 2010,2010-09-05,KUZMIN Fedor,STEGER Bastian,3,0,,,OTHER,MT,1968,Qualification,KUZMIN Fedor (RUS),STEGER Bastian (GER)
JOOLA European Nations League Premier 2010,2010-09-05,CAZACU Alexandru,MONRAD Martin,3,0,,,OTHER,MT,1968,Qualification,CAZACU Alexandru (ROU),MONRAD Martin (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,MAZE Michael,DODEAN Adrian,3,0,,,OTHER,MT,1968,Qualification,MAZE Michael (DEN),DODEAN Adrian (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,IONESCU Ovidiu,RASMUSSEN Morten,3,0,,,OTHER,MT,1968,Qualification,IONESCU Ovidiu (ROU),RASMUSSEN Morten (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,DODEAN Adrian,MONRAD Martin,3,0,,,OTHER,MT,1968,Qualification,DODEAN Adrian (ROU),MONRAD Martin (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,VRABLIK Jiri,GARDOS Robert,3,0,,,OTHER,MT,1968,Qualification,VRABLIK Jiri (CZE),GARDOS Robert (AUT)
JOOLA European Nations League Premier 2010,2010-09-05,HABESOHN Daniel,PROKOPCOV Dmitrij,3,0,,,OTHER,MT,1968,Qualification,HABESOHN Daniel (AUT),PROKOPCOV Dmitrij (CZE)
JOOLA European Nations League Premier 2010,2010-09-05,FEGERL Stefan,SIMONCIK Josef,3,0,,,OTHER,MT,1968,Qualification,FEGERL Stefan (AUT),SIMONCIK Josef (CZE)
JOOLA European Nations League Premier 2010,2010-09-05,PROKOPCOV Dmitrij,GARDOS Robert,3,0,,,OTHER,MT,1968,Qualification,PROKOPCOV Dmitrij (CZE),GARDOS Robert (AUT)
JOOLA European Nations League Premier 2010,2010-09-05,GERELL Par,BUROV Viacheslav,3,0,,,OTHER,MT,1968,Qualification,GERELL Par (SWE),BUROV Viacheslav (RUS)
JOOLA European Nations League Premier 2010,2010-09-05,SHIBAEV Alexander,SVENSSON Robert,3,0,,,OTHER,MT,1968,Qualification,SHIBAEV Alexander (RUS),SVENSSON Robert (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,KARLSSON Mattias,PAIKOV Mikhail,3,0,,,OTHER,MT,1968,Qualification,KARLSSON Mattias (SWE),PAIKOV Mikhail (RUS)
JOOLA European Nations League Premier 2010,2010-09-05,SHIBAEV Alexander,GERELL Par,3,0,,,OTHER,MT,1968,Qualification,SHIBAEV Alexander (RUS),GERELL Par (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,NEKHVEDOVICH Vitaly,FILUS Ruwen,3,0,,,OTHER,MT,1968,Qualification,NEKHVEDOVICH Vitaly (BLR),FILUS Ruwen (GER)
JOOLA European Nations League Premier 2010,2010-09-05,FEJER-KONNERTH Zoltan,PLATONOV Pavel,3,0,,,OTHER,MT,1968,Qualification,FEJER-KONNERTH Zoltan (GER),PLATONOV Pavel (BLR)
JOOLA European Nations League Premier 2010,2010-09-05,CHTCHETININE Evgueni,MENGEL Steffen,3,0,,,OTHER,MT,1968,Qualification,CHTCHETININE Evgueni (BLR),MENGEL Steffen (GER)
JOOLA European Nations League Premier 2010,2010-09-05,FILUS Ruwen,PLATONOV Pavel,3,0,,,OTHER,MT,1968,Qualification,FILUS Ruwen (GER),PLATONOV Pavel (BLR)
JOOLA European Nations League Premier 2010,2010-09-05,BENTSEN Allan,FENG Xiaoquan,3,0,,,OTHER,MT,1968,Qualification,BENTSEN Allan (DEN),FENG Xiaoquan (AUT)
JOOLA European Nations League Premier 2010,2010-09-05,HABESOHN Daniel,GROTH Jonathan,3,0,,,OTHER,MT,1968,Qualification,HABESOHN Daniel (AUT),GROTH Jonathan (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,SIMONER Christoph,STERNBERG Kasper,3,0,,,OTHER,MT,1968,Qualification,SIMONER Christoph (AUT),STERNBERG Kasper (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,BENTSEN Allan,HABESOHN Daniel,3,0,,,OTHER,MT,1968,Qualification,BENTSEN Allan (DEN),HABESOHN Daniel (AUT)
JOOLA European Nations League Premier 2010,2010-09-05,KORBEL Petr,CAZACU Alexandru,3,0,,,OTHER,MT,1968,Qualification,KORBEL Petr (CZE),CAZACU Alexandru (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,IONESCU Ovidiu,PROKOPCOV Dmitrij,3,0,,,OTHER,MT,1968,Qualification,IONESCU Ovidiu (ROU),PROKOPCOV Dmitrij (CZE)
JOOLA European Nations League Premier 2010,2010-09-05,SIMONCIK Josef,SZOCS Hunor,3,0,,,OTHER,MT,1968,Qualification,SIMONCIK Josef (CZE),SZOCS Hunor (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,KORBEL Petr,IONESCU Ovidiu,3,0,,,OTHER,MT,1968,Qualification,KORBEL Petr (CZE),IONESCU Ovidiu (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,NUYTINCK Cedric,MACHADO Carlos,3,0,,,OTHER,MT,1968,Qualification,NUYTINCK Cedric (BEL),MACHADO Carlos (ESP)
JOOLA European Nations League Premier 2010,2010-09-05,DURAN Marc,ROGIERS Benjamin,3,0,,,OTHER,MT,1968,Qualification,DURAN Marc (ESP),ROGIERS Benjamin (BEL)
JOOLA European Nations League Premier 2010,2010-09-05,CANTERO Jesus,JEAN Lauric,3,0,,,OTHER,MT,1968,Qualification,CANTERO Jesus (ESP),JEAN Lauric (BEL)
JOOLA European Nations League Premier 2010,2010-09-05,MACHADO Carlos,ROGIERS Benjamin,3,0,,,OTHER,MT,1968,Qualification,MACHADO Carlos (ESP),ROGIERS Benjamin (BEL)
JOOLA European Nations League Premier 2010,2010-09-05,JEVTOVIC Marko,SALIFOU Abdel-Kader,3,0,,,OTHER,MT,1968,Qualification,JEVTOVIC Marko (SRB),SALIFOU Abdel-Kader (BEN)
JOOLA European Nations League Premier 2010,2010-09-05,LEBESSON Emmanuel,PETO Zoltan,3,0,,,OTHER,MT,1968,Qualification,LEBESSON Emmanuel (FRA),PETO Zoltan (SRB)
JOOLA European Nations League Premier 2010,2010-09-05,ROBINOT Quentin,SUBOTIC Dragan,3,0,,,OTHER,MT,1968,Qualification,ROBINOT Quentin (FRA),SUBOTIC Dragan (SRB)
JOOLA European Nations League Premier 2010,2010-09-05,PETO Zoltan,SALIFOU Abdel-Kader,3,0,,,OTHER,MT,1968,Qualification,PETO Zoltan (SRB),SALIFOU Abdel-Kader (BEN)
JOOLA European Nations League Premier 2010,2010-09-05,KOLAREK Tomislav,NAGY Krisztian,3,0,,,OTHER,MT,1968,Qualification,KOLAREK Tomislav (CRO),NAGY Krisztian (HUN)
JOOLA European Nations League Premier 2010,2010-09-05,JAKAB Janos,TOSIC Roko,3,0,,,OTHER,MT,1968,Qualification,JAKAB Janos (HUN),TOSIC Roko (CRO)
JOOLA European Nations League Premier 2010,2010-09-05,JUZBASIC Ivan,KOSIBA Daniel,3,0,,,OTHER,MT,1968,Qualification,JUZBASIC Ivan (CRO),KOSIBA Daniel (HUN)
JOOLA European Nations League Premier 2010,2010-09-05,KOLAREK Tomislav,JAKAB Janos,3,0,,,OTHER,MT,1968,Qualification,KOLAREK Tomislav (CRO),JAKAB Janos (HUN)
JOOLA European Nations League Premier 2010,2010-09-05,GOLEBIOWSKI Mateusz,BOBOCICA Mihai,3,0,,,OTHER,MT,1968,Qualification,GOLEBIOWSKI Mateusz (POL),BOBOCICA Mihai (ITA)
JOOLA European Nations League Premier 2010,2010-09-05,KOSOWSKI Jakub,STOYANOV Niagol,3,0,,,OTHER,MT,1968,Qualification,KOSOWSKI Jakub (POL),STOYANOV Niagol (ITA)
JOOLA European Nations League Premier 2010,2010-09-05,SUCH Bartosz,RECH DALDOSSO Marco,3,0,,,OTHER,MT,1968,Qualification,SUCH Bartosz (POL),RECH DALDOSSO Marco (ITA)
JOOLA European Nations League Premier 2010,2010-09-05,FEJER-KONNERTH Zoltan,TORNKVIST Andreas,3,0,,,OTHER,MT,1968,Qualification,FEJER-KONNERTH Zoltan (GER),TORNKVIST Andreas (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,KARLSSON Mattias,FRANZISKA Patrick,3,0,,,OTHER,MT,1968,Qualification,KARLSSON Mattias (SWE),FRANZISKA Patrick (GER)
JOOLA European Nations League Premier 2010,2010-09-05,FILUS Ruwen,AKERSTROM Fabian,3,0,,,OTHER,MT,1968,Qualification,FILUS Ruwen (GER),AKERSTROM Fabian (SWE)
JOOLA European Nations League Premier 2010,2010-09-05,KARLSSON Mattias,FEJER-KONNERTH Zoltan,3,0,,,OTHER,MT,1968,Qualification,KARLSSON Mattias (SWE),FEJER-KONNERTH Zoltan (GER)
JOOLA European Nations League Premier 2010,2010-09-05,TREGLER Tomas,BENTSEN Allan,3,0,,,OTHER,MT,1968,Qualification,TREGLER Tomas (CZE),BENTSEN Allan (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,VRABLIK Jiri,STERNBERG Kasper,3,0,,,OTHER,MT,1968,Qualification,VRABLIK Jiri (CZE),STERNBERG Kasper (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,KONECNY Tomas,GROTH Jonathan,3,0,,,OTHER,MT,1968,Qualification,KONECNY Tomas (CZE),GROTH Jonathan (DEN)
JOOLA European Nations League Premier 2010,2010-09-05,GARDOS Robert,CAZACU Alexandru,3,0,,,OTHER,MT,1968,Qualification,GARDOS Robert (AUT),CAZACU Alexandru (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,HABESOHN Daniel,IONESCU Ovidiu,3,0,,,OTHER,MT,1968,Qualification,HABESOHN Daniel (AUT),IONESCU Ovidiu (ROU)
JOOLA European Nations League Premier 2010,2010-09-05,FEGERL Stefan,DODEAN Adrian,3,0,,,OTHER,MT,1968,Qualification,FEGERL Stefan (AUT),DODEAN Adrian (ROU)
