tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Latin American Championships Cancun 2010,2010-03-01,LIU Song,MONTUFAR Kevin,3,0,,R32,OTHER,MS,658,Main Draw,LIU Song (ARG),MONTUFAR Kevin (GUA)
Latin American Championships Cancun 2010,2010-03-01,CARLIER Andres,RIVERA Mauricio,3,0,,R32,OTHER,MS,658,Main Draw,CARLIER Andres (CHI),RIVERA Mauricio (COL)
Latin American Championships Cancun 2010,2010-03-01,MUJICA Henry,RESTREPO Juan,3,0,,R32,OTHER,MS,658,Main Draw,MUJICA Henry (VEN),RESTREPO Juan (COL)
Latin American Championships Cancun 2010,2010-03-01,MADRID Marcos,COELLO Geovanny,3,0,,R32,OTHER,MS,658,Main Draw,MADRID Marcos (MEX),COELLO Geovanny (ECU)
Latin American Championships Cancun 2010,2010-03-01,PAPIC Juan,GARCIA Juan David,3,0,,R32,OTHER,MS,658,Main Draw,PAPIC Juan (CHI),GARCIA Juan David (COL)
Latin American Championships Cancun 2010,2010-03-01,RAMIREZ Jose Miguel,NAVAS Marco,3,0,,R32,OTHER,MS,658,Main Draw,RAMIREZ Jose Miguel (GUA),NAVAS Marco (VEN)
Latin American Championships Cancun 2010,2010-03-01,OKOH Jude,GILABERT Rodrigo,3,0,,R32,OTHER,MS,658,Main Draw,OKOH Jude (MEX),GILABERT Rodrigo (ARG)
Latin American Championships Cancun 2010,2010-03-01,TSUBOI Gustavo,MERINO Edilberto,3,0,,R32,OTHER,MS,658,Main Draw,TSUBOI Gustavo (BRA),MERINO Edilberto (ESA)
Latin American Championships Cancun 2010,2010-03-01,MATSUMOTO Cazuo,VILA BATISTA Juan,3,0,,R32,OTHER,MS,658,Main Draw,MATSUMOTO Cazuo (BRA),VILA BATISTA Juan (DOM)
Latin American Championships Cancun 2010,2010-03-01,MUNOZ Guillermo,SUAREZ Dino,3,0,,R32,OTHER,MS,658,Main Draw,MUNOZ Guillermo (MEX),SUAREZ Dino (ECU)
Latin American Championships Cancun 2010,2010-03-01,MINO Alberto,RODRIGUEZ Alejandro,3,0,,R32,OTHER,MS,658,Main Draw,MINO Alberto (ECU),RODRIGUEZ Alejandro (CHI)
Latin American Championships Cancun 2010,2010-03-01,ALTO Gaston,FLORES Omar,3,0,,R32,OTHER,MS,658,Main Draw,ALTO Gaston (ARG),FLORES Omar (GUA)
Latin American Championships Cancun 2010,2010-03-01,TABACHNIK Pablo,DONADO Josue,3,0,,R32,OTHER,MS,658,Main Draw,TABACHNIK Pablo (ARG),DONADO Josue (ESA)
Latin American Championships Cancun 2010,2010-03-01,LEVIS Bruno,ECHAVARRIA Alexander,3,0,,R32,OTHER,MS,658,Main Draw,LEVIS Bruno (CHI),ECHAVARRIA Alexander (COL)
Latin American Championships Cancun 2010,2010-03-01,PINO Jonathan,PROANO Ivan,3,0,,R32,OTHER,MS,658,Main Draw,PINO Jonathan (VEN),PROANO Ivan (ECU)
Latin American Championships Cancun 2010,2010-03-01,HOYAMA Hugo,SANTOS Emil,3,0,,R32,OTHER,MS,658,Main Draw,HOYAMA Hugo (BRA),SANTOS Emil (DOM)
Latin American Championships Cancun 2010,2010-03-01,LIU Song,CARLIER Andres,3,0,,R16,OTHER,MS,658,Main Draw,LIU Song (ARG),CARLIER Andres (CHI)
Latin American Championships Cancun 2010,2010-03-01,MADRID Marcos,MUJICA Henry,3,0,,R16,OTHER,MS,658,Main Draw,MADRID Marcos (MEX),MUJICA Henry (VEN)
Latin American Championships Cancun 2010,2010-03-01,PAPIC Juan,RAMIREZ Jose Miguel,3,0,,R16,OTHER,MS,658,Main Draw,PAPIC Juan (CHI),RAMIREZ Jose Miguel (GUA)
Latin American Championships Cancun 2010,2010-03-01,TSUBOI Gustavo,OKOH Jude,3,0,,R16,OTHER,MS,658,Main Draw,TSUBOI Gustavo (BRA),OKOH Jude (MEX)
Latin American Championships Cancun 2010,2010-03-01,MATSUMOTO Cazuo,MUNOZ Guillermo,3,0,,R16,OTHER,MS,658,Main Draw,MATSUMOTO Cazuo (BRA),MUNOZ Guillermo (MEX)
Latin American Championships Cancun 2010,2010-03-01,MINO Alberto,ALTO Gaston,3,0,,R16,OTHER,MS,658,Main Draw,MINO Alberto (ECU),ALTO Gaston (ARG)
Latin American Championships Cancun 2010,2010-03-01,TABACHNIK Pablo,LEVIS Bruno,3,0,,R16,OTHER,MS,658,Main Draw,TABACHNIK Pablo (ARG),LEVIS Bruno (CHI)
Latin American Championships Cancun 2010,2010-03-01,HOYAMA Hugo,PINO Jonathan,3,0,,R16,OTHER,MS,658,Main Draw,HOYAMA Hugo (BRA),PINO Jonathan (VEN)
Latin American Championships Cancun 2010,2010-03-01,LIU Song,MADRID Marcos,3,0,,QuarterFinal,OTHER,MS,658,Main Draw,LIU Song (ARG),MADRID Marcos (MEX)
Latin American Championships Cancun 2010,2010-03-01,TSUBOI Gustavo,PAPIC Juan,3,0,,QuarterFinal,OTHER,MS,658,Main Draw,TSUBOI Gustavo (BRA),PAPIC Juan (CHI)
Latin American Championships Cancun 2010,2010-03-01,MATSUMOTO Cazuo,MINO Alberto,3,0,,QuarterFinal,OTHER,MS,658,Main Draw,MATSUMOTO Cazuo (BRA),MINO Alberto (ECU)
Latin American Championships Cancun 2010,2010-03-01,HOYAMA Hugo,TABACHNIK Pablo,3,0,,QuarterFinal,OTHER,MS,658,Main Draw,HOYAMA Hugo (BRA),TABACHNIK Pablo (ARG)
Latin American Championships Cancun 2010,2010-03-01,LIU Song,TSUBOI Gustavo,3,0,,SemiFinal,OTHER,MS,658,Main Draw,LIU Song (ARG),TSUBOI Gustavo (BRA)
Latin American Championships Cancun 2010,2010-03-01,MATSUMOTO Cazuo,HOYAMA Hugo,3,0,,SemiFinal,OTHER,MS,658,Main Draw,MATSUMOTO Cazuo (BRA),HOYAMA Hugo (BRA)
