tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PISTEJ Lubomir,YANG Min,3,0,,F,WTT_CONTENDER,MS,660,Main Draw,PISTEJ Lubomir (SVK),YANG Min (LUX),PISTEJ Lubomir
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PISTEJ Lubomir,DURAN Marc,3,0,,SF,WTT_CONTENDER,MS,660,Main Draw,PISTEJ Lubomir (SVK),DURAN Marc (ESP),PISTEJ Lubomir
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,YANG Min,PHUNG Armand,3,0,,SF,WTT_CONTENDER,MS,660,Main Draw,YANG Min (LUX),PHUNG Armand (FRA),YANG Min
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PISTEJ Lubomir,MOHLER Nicola,3,0,,QF,WTT_CONTENDER,MS,660,Main Draw,PISTEJ Lubomir (SVK),MOHLER Nicola (SUI),PISTEJ Lubomir
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,DURAN Marc,SALIFOU Abdel-Kader,3,0,,QF,WTT_CONTENDER,MS,660,Main Draw,DURAN Marc (ESP),SALIFOU Abdel-Kader (BEN),DURAN Marc
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,YANG Min,TORNKVIST Andreas,3,0,,QF,WTT_CONTENDER,MS,660,Main Draw,YANG Min (LUX),TORNKVIST Andreas (SWE),YANG Min
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PHUNG Armand,FILIMON Lucian,3,0,,QF,WTT_CONTENDER,MS,660,Main Draw,PHUNG Armand (FRA),FILIMON Lucian (ROU),PHUNG Armand
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PISTEJ Lubomir,PITCHFORD Liam,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,PISTEJ Lubomir (SVK),PITCHFORD Liam (ENG),PISTEJ Lubomir
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,MOHLER Nicola,DURANSPAHIC Admir,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,MOHLER Nicola (SUI),DURANSPAHIC Admir (BIH),MOHLER Nicola
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,SALIFOU Abdel-Kader,VITTA Kilomo,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,SALIFOU Abdel-Kader (BEN),VITTA Kilomo (BEL),SALIFOU Abdel-Kader
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,DURAN Marc,STORF Martin,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,DURAN Marc (ESP),STORF Martin (AUT),DURAN Marc
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,YANG Min,DORAN Christopher,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,YANG Min (LUX),DORAN Christopher (ENG),YANG Min
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,TORNKVIST Andreas,PETIOT Jeremy,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,TORNKVIST Andreas (SWE),PETIOT Jeremy (FRA),TORNKVIST Andreas
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,FILIMON Lucian,BIERNY Ludovic,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,FILIMON Lucian (ROU),BIERNY Ludovic (BEL),FILIMON Lucian
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PHUNG Armand,BRODD Viktor,3,0,,R16,WTT_CONTENDER,MS,660,Main Draw,PHUNG Armand (FRA),BRODD Viktor (SWE),PHUNG Armand
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PISTEJ Lubomir,OLLIVIER Brice,3,0,,R32,WTT_CONTENDER,MS,660,Main Draw,PISTEJ Lubomir (SVK),OLLIVIER Brice (FRA),PISTEJ Lubomir
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,PITCHFORD Liam,JACHEC David,3,0,,R32,WTT_CONTENDER,MS,660,Main Draw,PITCHFORD Liam (ENG),JACHEC David (LUX),PITCHFORD Liam
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,MOHLER Nicola,MARTIN Francisco,3,0,,R32,WTT_CONTENDER,MS,660,Main Draw,MOHLER Nicola (SUI),MARTIN Francisco (ESP),MOHLER Nicola
Luxembourg Open Table Tennis Championships Luxembourg 2010,2010-04-07,DURANSPAHIC Admir,LE GUEN Victorien,3,0,,R32,WTT_CONTENDER,MS,660,Main Draw,DURANSPAHIC Admir (BIH),LE GUEN Victorien (FRA),DURANSPAHIC Admir
