tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Men's World Cup Magdeburg 2010,2010-10-29,BOLL Timo,CHUANG Chih-Yuan,4,3,"13,11,6,9,11,11,11|15,7,11,11,8,8,6",QF,WORLD_CUP,MS,662,Main Draw,BOLL Timo (GER),CHUANG Chih-Yuan (TPE),BOLL Timo
Men's World Cup Magdeburg 2010,2010-10-29,WANG Hao,OH Sangeun,4,0,"12,11,11,11|10,8,6,4",QF,WORLD_CUP,MS,662,Main Draw,WANG Hao (CHN),OH Sangeun (KOR),WANG Hao
Men's World Cup Magdeburg 2010,2010-10-29,MIZUTANI Jun,SAMSONOV Vladimir,4,3,"11,7,6,11,11,7,11|9,11,11,5,8,11,6",QF,WORLD_CUP,MS,662,Main Draw,MIZUTANI Jun (JPN),SAMSONOV Vladimir (BLR),MIZUTANI Jun
Men's World Cup Magdeburg 2010,2010-10-29,ZHANG Jike,OVTCHAROV Dimitrij,4,2,"12,11,11,6,8,11|10,9,9,11,11,6",QF,WORLD_CUP,MS,662,Main Draw,ZHANG Jike (CHN),OVTCHAROV Dimitrij (GER),ZHANG Jike
Men's World Cup Magdeburg 2010,2010-10-29,WANG Hao,BOLL Timo,4,1,"11,11,9,11,11|8,5,11,8,3",SF,WORLD_CUP,MS,662,Main Draw,WANG Hao (CHN),BOLL Timo (GER),WANG Hao
Men's World Cup Magdeburg 2010,2010-10-29,ZHANG Jike,MIZUTANI Jun,4,3,"11,10,7,11,11,14,11|13,12,11,9,5,12,4",SF,WORLD_CUP,MS,662,Main Draw,ZHANG Jike (CHN),MIZUTANI Jun (JPN),ZHANG Jike
Men's World Cup Magdeburg 2010,2010-10-29,WANG Hao,ZHANG Jike,4,1,"8,11,12,11,11|11,8,10,9,9",F,WORLD_CUP,MS,662,Main Draw,WANG Hao (CHN),ZHANG Jike (CHN),WANG Hao
Men's World Cup Magdeburg 2010,2010-10-29,BOLL Timo,MIZUTANI Jun,4,3,"11,11,8,10,11,9,11|7,7,11,12,9,11,7",3RD,WORLD_CUP,MS,662,Position Draw,BOLL Timo (GER),MIZUTANI Jun (JPN),BOLL Timo
Men's World Cup Magdeburg 2010,2010-10-29,BOLL Timo,GAO Ning,4,0,"11,11,11,15|9,8,1,13",,WORLD_CUP,MS,662,Qualification,BOLL Timo (GER),GAO Ning (SGP),BOLL Timo
Men's World Cup Magdeburg 2010,2010-10-29,MIZUTANI Jun,LIU Song,4,1,"11,11,11,12,11|6,5,8,14,9",1,WORLD_CUP,MS,662,Qualification,MIZUTANI Jun (JPN),LIU Song (ARG),MIZUTANI Jun
Men's World Cup Magdeburg 2010,2010-10-29,GAO Ning,LIU Song,4,0,"11,11,11,11|8,9,6,9",QR2,WORLD_CUP,MS,662,Qualification,GAO Ning (SGP),LIU Song (ARG),GAO Ning
Men's World Cup Magdeburg 2010,2010-10-29,BOLL Timo,LIU Song,4,0,"11,11,11,11|6,6,6,4",3,WORLD_CUP,MS,662,Qualification,BOLL Timo (GER),LIU Song (ARG),BOLL Timo
Men's World Cup Magdeburg 2010,2010-10-29,MIZUTANI Jun,GAO Ning,4,0,"11,11,13,11|4,5,11,8",3,WORLD_CUP,MS,662,Qualification,MIZUTANI Jun (JPN),GAO Ning (SGP),MIZUTANI Jun
Men's World Cup Magdeburg 2010,2010-10-29,CHUANG Chih-Yuan,ZHANG Jike,4,2,"5,11,11,11,13,11|11,5,8,5,15,7",,WORLD_CUP,MS,662,Qualification,CHUANG Chih-Yuan (TPE),ZHANG Jike (CHN),CHUANG Chih-Yuan
Men's World Cup Magdeburg 2010,2010-10-29,JOO Saehyuk,LI Ching,4,1,"11,11,11,18,12|13,2,2,16,10",1,WORLD_CUP,MS,662,Qualification,JOO Saehyuk (KOR),LI Ching (HKG),JOO Saehyuk
Men's World Cup Magdeburg 2010,2010-10-29,ZHANG Jike,JOO Saehyuk,4,0,"11,11,12,11|6,9,10,8",QR2,WORLD_CUP,MS,662,Qualification,ZHANG Jike (CHN),JOO Saehyuk (KOR),ZHANG Jike
Men's World Cup Magdeburg 2010,2010-10-29,CHUANG Chih-Yuan,LI Ching,4,0,"11,14,11,11|6,12,9,7",QR2,WORLD_CUP,MS,662,Qualification,CHUANG Chih-Yuan (TPE),LI Ching (HKG),CHUANG Chih-Yuan
Men's World Cup Magdeburg 2010,2010-10-29,ZHANG Jike,LI Ching,4,0,"11,11,11,11|8,6,9,4",3,WORLD_CUP,MS,662,Qualification,ZHANG Jike (CHN),LI Ching (HKG),ZHANG Jike
Men's World Cup Magdeburg 2010,2010-10-29,JOO Saehyuk,CHUANG Chih-Yuan,4,1,"6,11,13,11,11|11,8,11,9,8",3,WORLD_CUP,MS,662,Qualification,JOO Saehyuk (KOR),CHUANG Chih-Yuan (TPE),JOO Saehyuk
