tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,DOMEIKA Arnoldas,KANTOLA Roope,3,0,,R32,OTHER,MS,668,Main Draw,DOMEIKA Arnoldas (LTU),KANTOLA Roope (FIN),DOMEIKA Arnoldas
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,DOVAL Erik,SOINE Samuli,3,0,,R32,OTHER,MS,668,Main Draw,DOVAL Erik (NOR),SOINE Samuli (FIN),DOVAL Erik
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,GROTH Jonathan,UDRA Alfredas,3,0,,R32,OTHER,MS,668,Main Draw,GROTH Jonathan (DEN),UDRA Alfredas (LTU),GROTH Jonathan
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,OVERSJO Mattias,TAMMINEN Timo,3,0,,R32,OTHER,MS,668,Main Draw,OVERSJO Mattias (SWE),TAMMINEN Timo (FIN),OVERSJO Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,FJELL Hallvard,VILKAS Matas,3,0,,R32,OTHER,MS,668,Main Draw,FJELL Hallvard (NOR),VILKAS Matas (LTU),FJELL Hallvard
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,RONNEBERG Espen,NIKONOROV Aleksei,3,0,,R32,OTHER,MS,668,Main Draw,RONNEBERG Espen (NOR),NIKONOROV Aleksei (EST),RONNEBERG Espen
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,BERNER Eric,SOINE Toni,3,0,,R32,OTHER,MS,668,Main Draw,BERNER Eric (NOR),SOINE Toni (FIN),BERNER Eric
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KONGSGAARD Christian,HIETIKKO Pauli,3,0,,R16,OTHER,MS,668,Main Draw,KONGSGAARD Christian (DEN),HIETIKKO Pauli (FIN),KONGSGAARD Christian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Kristian,DOMEIKA Arnoldas,3,0,,R16,OTHER,MS,668,Main Draw,KARLSSON Kristian (SWE),DOMEIKA Arnoldas (LTU),KARLSSON Kristian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,SMIRNOV Aleksandr,DOVAL Erik,3,0,,R16,OTHER,MS,668,Main Draw,SMIRNOV Aleksandr (EST),DOVAL Erik (NOR),SMIRNOV Aleksandr
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,GROTH Jonathan,3,0,,R16,OTHER,MS,668,Main Draw,KARLSSON Mattias (SWE),GROTH Jonathan (DEN),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,ASMUSSEN Jakob,OVERSJO Mattias,3,0,,R16,OTHER,MS,668,Main Draw,ASMUSSEN Jakob (DEN),OVERSJO Mattias (SWE),ASMUSSEN Jakob
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,FJELL Hallvard,VAINULA Vallot,3,0,,R16,OTHER,MS,668,Main Draw,FJELL Hallvard (NOR),VAINULA Vallot (EST),FJELL Hallvard
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,RONNEBERG Espen,OLAH Benedek,3,0,,R16,OTHER,MS,668,Main Draw,RONNEBERG Espen (NOR),OLAH Benedek (FIN),RONNEBERG Espen
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,SODERLUND Hampus,BERNER Eric,3,0,,R16,OTHER,MS,668,Main Draw,SODERLUND Hampus (SWE),BERNER Eric (NOR),SODERLUND Hampus
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KONGSGAARD Christian,KARLSSON Kristian,3,0,,QF,OTHER,MS,668,Main Draw,KONGSGAARD Christian (DEN),KARLSSON Kristian (SWE),KONGSGAARD Christian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,SMIRNOV Aleksandr,3,0,,QF,OTHER,MS,668,Main Draw,KARLSSON Mattias (SWE),SMIRNOV Aleksandr (EST),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,ASMUSSEN Jakob,FJELL Hallvard,3,0,,QF,OTHER,MS,668,Main Draw,ASMUSSEN Jakob (DEN),FJELL Hallvard (NOR),ASMUSSEN Jakob
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,SODERLUND Hampus,RONNEBERG Espen,3,0,,QF,OTHER,MS,668,Main Draw,SODERLUND Hampus (SWE),RONNEBERG Espen (NOR),SODERLUND Hampus
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,KONGSGAARD Christian,3,0,,SF,OTHER,MS,668,Main Draw,KARLSSON Mattias (SWE),KONGSGAARD Christian (DEN),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,ASMUSSEN Jakob,SODERLUND Hampus,3,0,,SF,OTHER,MS,668,Main Draw,ASMUSSEN Jakob (DEN),SODERLUND Hampus (SWE),ASMUSSEN Jakob
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,ASMUSSEN Jakob,3,0,,F,OTHER,MS,668,Main Draw,KARLSSON Mattias (SWE),ASMUSSEN Jakob (DEN),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KONGSGAARD Christian,RONNEBERG Espen,3,0,,GROUP,OTHER,MT,668,Main Draw,KONGSGAARD Christian (DEN),RONNEBERG Espen (NOR),KONGSGAARD Christian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,GROTH Jonathan,BERNER Eric,3,0,,GROUP,OTHER,MT,668,Main Draw,GROTH Jonathan (DEN),BERNER Eric (NOR),GROTH Jonathan
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,FJELL Hallvard,SMIRNOV Aleksandr,3,0,,GROUP,OTHER,MT,668,Main Draw,FJELL Hallvard (NOR),SMIRNOV Aleksandr (EST),FJELL Hallvard
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,RONNEBERG Espen,VAINULA Vallot,3,0,,GROUP,OTHER,MT,668,Main Draw,RONNEBERG Espen (NOR),VAINULA Vallot (EST),RONNEBERG Espen
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,HELLERUD Kristoffer,NIKONOROV Aleksei,3,0,,GROUP,OTHER,MT,668,Main Draw,HELLERUD Kristoffer (NOR),NIKONOROV Aleksei (EST),HELLERUD Kristoffer
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,GROTH Jonathan,SMIRNOV Aleksandr,3,0,,GROUP,OTHER,MT,668,Main Draw,GROTH Jonathan (DEN),SMIRNOV Aleksandr (EST),GROTH Jonathan
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KONGSGAARD Christian,VAINULA Vallot,3,0,,GROUP,OTHER,MT,668,Main Draw,KONGSGAARD Christian (DEN),VAINULA Vallot (EST),KONGSGAARD Christian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,ASMUSSEN Jakob,NIKONOROV Aleksei,3,0,,GROUP,OTHER,MT,668,Main Draw,ASMUSSEN Jakob (DEN),NIKONOROV Aleksei (EST),ASMUSSEN Jakob
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,DOMEIKA Arnoldas,3,0,,GROUP,OTHER,MT,668,Main Draw,KARLSSON Mattias (SWE),DOMEIKA Arnoldas (LTU),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Kristian,UDRA Alfredas,3,0,,GROUP,OTHER,MT,668,Main Draw,KARLSSON Kristian (SWE),UDRA Alfredas (LTU),KARLSSON Kristian
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,OVERSJO Mattias,VILKAS Matas,3,0,,GROUP,OTHER,MT,668,Main Draw,OVERSJO Mattias (SWE),VILKAS Matas (LTU),OVERSJO Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,OLAH Benedek,UDRA Alfredas,3,0,,GROUP,OTHER,MT,668,Main Draw,OLAH Benedek (FIN),UDRA Alfredas (LTU),OLAH Benedek
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,SOINE Toni,VILKAS Matas,3,0,,GROUP,OTHER,MT,668,Main Draw,SOINE Toni (FIN),VILKAS Matas (LTU),SOINE Toni
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,TAMMINEN Timo,DOMEIKA Arnoldas,3,0,,GROUP,OTHER,MT,668,Main Draw,TAMMINEN Timo (FIN),DOMEIKA Arnoldas (LTU),TAMMINEN Timo
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,OLAH Benedek,OVERSJO Mattias,3,0,,GROUP,OTHER,MT,668,Main Draw,OLAH Benedek (FIN),OVERSJO Mattias (SWE),OLAH Benedek
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,SOINE Toni,3,0,,GROUP,OTHER,MT,668,Main Draw,KARLSSON Mattias (SWE),SOINE Toni (FIN),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,SODERLUND Hampus,SOINE Samuli,3,0,,GROUP,OTHER,MT,668,Main Draw,SODERLUND Hampus (SWE),SOINE Samuli (FIN),SODERLUND Hampus
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KARLSSON Mattias,OLAH Benedek,3,0,,GROUP,OTHER,MT,668,Main Draw,KARLSSON Mattias (SWE),OLAH Benedek (FIN),KARLSSON Mattias
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,GROTH Jonathan,OLAH Benedek,3,0,,,OTHER,MT,668,Main Draw,GROTH Jonathan (DEN),OLAH Benedek (FIN),GROTH Jonathan
Northern European Table Tennis Championships Helsinki 2010,2010-05-07,KONGSGAARD Christian,TAMMINEN Timo,3,0,,,OTHER,MT,668,Main Draw,KONGSGAARD Christian (DEN),TAMMINEN Timo (FIN),KONGSGAARD Christian
