tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Oceania Championships Auckland 2010,2010-04-12,HOTAN Kenji,TUIONETOA William,3,0,,R64,OTHER,CBS,670,Main Draw,HOTAN Kenji (PYF),TUIONETOA William (TGA),HOTAN Kenji
Oceania Championships Auckland 2010,2010-04-12,LAI VAN Fabien,MAFI Ofa,3,0,,R64,OTHER,CBS,670,Main Draw,LAI VAN Fabien (NCL),MAFI Ofa (TGA),LAI VAN Fabien
Oceania Championships Auckland 2010,2010-04-12,SHAN CHING SEONG Erwin,FOSTER Uate,3,0,,R64,OTHER,CBS,670,Main Draw,SHAN CHING SEONG Erwin (PYF),FOSTER Uate (TGA),SHAN CHING SEONG Erwin
Oceania Championships Auckland 2010,2010-04-12,CATHCART Dillon,WANG Roger,3,0,,R32,OTHER,CBS,670,Main Draw,CATHCART Dillon (AUS),WANG Roger (NZL),CATHCART Dillon
Oceania Championships Auckland 2010,2010-04-12,CANG Jerry,GEORGE Junior,3,0,,R32,OTHER,CBS,670,Main Draw,CANG Jerry (NZL),GEORGE Junior (COK),CANG Jerry
Oceania Championships Auckland 2010,2010-04-12,HOTAN Kenji,SHEN Yang,3,0,,R32,OTHER,CBS,670,Main Draw,HOTAN Kenji (PYF),SHEN Yang (AUS),HOTAN Kenji
Oceania Championships Auckland 2010,2010-04-12,LOWE Daniel,WU Zhicong,3,0,,R32,OTHER,CBS,670,Main Draw,LOWE Daniel (NZL),WU Zhicong (FIJ),LOWE Daniel
Oceania Championships Auckland 2010,2010-04-12,ONG THOMSON Mitchell,PARK Young Jun,3,0,,R32,OTHER,CBS,670,Main Draw,ONG THOMSON Mitchell (AUS),PARK Young Jun (FIJ),ONG THOMSON Mitchell
Oceania Championships Auckland 2010,2010-04-12,LAI VAN Fabien,MA Victor,3,0,,R32,OTHER,CBS,670,Main Draw,LAI VAN Fabien (NCL),MA Victor (NZL),LAI VAN Fabien
Oceania Championships Auckland 2010,2010-04-12,TETABO Katirakei,HUANG Jeffrey,3,0,,R32,OTHER,CBS,670,Main Draw,TETABO Katirakei (KIR),HUANG Jeffrey (NZL),TETABO Katirakei
Oceania Championships Auckland 2010,2010-04-12,NING Xu,LEFEE Fonoi,3,0,,R32,OTHER,CBS,670,Main Draw,NING Xu (NZL),LEFEE Fonoi (ASA),NING Xu
Oceania Championships Auckland 2010,2010-04-12,TSAO Erny,GILBERT Paula,3,0,,R32,OTHER,CBS,670,Main Draw,TSAO Erny (AUS),GILBERT Paula (TGA),TSAO Erny
Oceania Championships Auckland 2010,2010-04-12,WARRENDER Conal,TARARO Kura,3,0,,R32,OTHER,CBS,670,Main Draw,WARRENDER Conal (NZL),TARARO Kura (COK),WARRENDER Conal
Oceania Championships Auckland 2010,2010-04-12,BEIA Teitua,LAVE Sione,3,0,,R32,OTHER,CBS,670,Main Draw,BEIA Teitua (KIR),LAVE Sione (TGA),BEIA Teitua
Oceania Championships Auckland 2010,2010-04-12,ARISHT Prajoal,KACIMAIWAI Mathew,3,0,,R32,OTHER,CBS,670,Main Draw,ARISHT Prajoal (NZL),KACIMAIWAI Mathew (FIJ),ARISHT Prajoal
Oceania Championships Auckland 2010,2010-04-12,NG Abraham,YOUNG Liam,3,0,,R32,OTHER,CBS,670,Main Draw,NG Abraham (AUS),YOUNG Liam (NZL),NG Abraham
Oceania Championships Auckland 2010,2010-04-12,SHAN CHING SEONG Erwin,ANTONIO Victor,3,0,,R32,OTHER,CBS,670,Main Draw,SHAN CHING SEONG Erwin (PYF),ANTONIO Victor (FIJ),SHAN CHING SEONG Erwin
Oceania Championships Auckland 2010,2010-04-12,SHU Dean,TABURIMAI Teingia,3,0,,R32,OTHER,CBS,670,Main Draw,SHU Dean (NZL),TABURIMAI Teingia (KIR),SHU Dean
Oceania Championships Auckland 2010,2010-04-12,RAO Roger,LEFEE Fuanuu,3,0,,R32,OTHER,CBS,670,Main Draw,RAO Roger (NZL),LEFEE Fuanuu (ASA),RAO Roger
Oceania Championships Auckland 2010,2010-04-12,CATHCART Dillon,CANG Jerry,3,0,,R16,OTHER,CBS,670,Main Draw,CATHCART Dillon (AUS),CANG Jerry (NZL),CATHCART Dillon
Oceania Championships Auckland 2010,2010-04-12,LOWE Daniel,HOTAN Kenji,3,0,,R16,OTHER,CBS,670,Main Draw,LOWE Daniel (NZL),HOTAN Kenji (PYF),LOWE Daniel
Oceania Championships Auckland 2010,2010-04-12,LAI VAN Fabien,ONG THOMSON Mitchell,3,0,,R16,OTHER,CBS,670,Main Draw,LAI VAN Fabien (NCL),ONG THOMSON Mitchell (AUS),LAI VAN Fabien
Oceania Championships Auckland 2010,2010-04-12,NING Xu,TETABO Katirakei,3,0,,R16,OTHER,CBS,670,Main Draw,NING Xu (NZL),TETABO Katirakei (KIR),NING Xu
Oceania Championships Auckland 2010,2010-04-12,TSAO Erny,WARRENDER Conal,3,0,,R16,OTHER,CBS,670,Main Draw,TSAO Erny (AUS),WARRENDER Conal (NZL),TSAO Erny
Oceania Championships Auckland 2010,2010-04-12,ARISHT Prajoal,BEIA Teitua,3,0,,R16,OTHER,CBS,670,Main Draw,ARISHT Prajoal (NZL),BEIA Teitua (KIR),ARISHT Prajoal
Oceania Championships Auckland 2010,2010-04-12,NG Abraham,SHAN CHING SEONG Erwin,3,0,,R16,OTHER,CBS,670,Main Draw,NG Abraham (AUS),SHAN CHING SEONG Erwin (PYF),NG Abraham
Oceania Championships Auckland 2010,2010-04-12,RAO Roger,SHU Dean,3,0,,R16,OTHER,CBS,670,Main Draw,RAO Roger (NZL),SHU Dean (NZL),RAO Roger
Oceania Championships Auckland 2010,2010-04-12,CATHCART Dillon,LOWE Daniel,3,0,,QF,OTHER,CBS,670,Main Draw,CATHCART Dillon (AUS),LOWE Daniel (NZL),CATHCART Dillon
Oceania Championships Auckland 2010,2010-04-12,NING Xu,LAI VAN Fabien,3,0,,QF,OTHER,CBS,670,Main Draw,NING Xu (NZL),LAI VAN Fabien (NCL),NING Xu
Oceania Championships Auckland 2010,2010-04-12,TSAO Erny,ARISHT Prajoal,3,0,,QF,OTHER,CBS,670,Main Draw,TSAO Erny (AUS),ARISHT Prajoal (NZL),TSAO Erny
Oceania Championships Auckland 2010,2010-04-12,RAO Roger,NG Abraham,3,0,,QF,OTHER,CBS,670,Main Draw,RAO Roger (NZL),NG Abraham (AUS),RAO Roger
Oceania Championships Auckland 2010,2010-04-12,CATHCART Dillon,NING Xu,3,0,,SF,OTHER,CBS,670,Main Draw,CATHCART Dillon (AUS),NING Xu (NZL),CATHCART Dillon
Oceania Championships Auckland 2010,2010-04-12,RAO Roger,TSAO Erny,3,0,,SF,OTHER,CBS,670,Main Draw,RAO Roger (NZL),TSAO Erny (AUS),RAO Roger
Oceania Championships Auckland 2010,2010-04-12,RAO Roger,CATHCART Dillon,3,0,,F,OTHER,CBS,670,Main Draw,RAO Roger (NZL),CATHCART Dillon (AUS),RAO Roger
