tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,PARK Young Jun,TUIONETOA William,3,0,,R16,OTHER,CBS,671,Main Draw,PARK Young Jun (FIJ),TUIONETOA William (TGA),PARK Young Jun
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,BEIA Teitua,LEFEE Fuanuu,3,0,,R16,OTHER,CBS,671,Main Draw,BEIA Teitua (KIR),LEFEE Fuanuu (ASA),BEIA Teitua
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TETABO Katirakei,MAFI Ofa,3,0,,R16,OTHER,CBS,671,Main Draw,TETABO Katirakei (KIR),MAFI Ofa (TGA),TETABO Katirakei
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GEORGE Junior,WU Zhicong,3,0,,R16,OTHER,CBS,671,Main Draw,GEORGE Junior (COK),WU Zhicong (FIJ),GEORGE Junior
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TABURIMAI Teingia,FOSTER Uate,3,0,,R16,OTHER,CBS,671,Main Draw,TABURIMAI Teingia (KIR),FOSTER Uate (TGA),TABURIMAI Teingia
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TARARO Kura,ANTONIO Victor,3,0,,R16,OTHER,CBS,671,Main Draw,TARARO Kura (COK),ANTONIO Victor (FIJ),TARARO Kura
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GILBERT Paula,KACIMAIWAI Mathew,3,0,,R16,OTHER,CBS,671,Main Draw,GILBERT Paula (TGA),KACIMAIWAI Mathew (FIJ),GILBERT Paula
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LAVE Sione,LEFEE Fonoi,3,0,,R16,OTHER,CBS,671,Main Draw,LAVE Sione (TGA),LEFEE Fonoi (ASA),LAVE Sione
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,BEIA Teitua,PARK Young Jun,3,0,,QF,OTHER,CBS,671,Main Draw,BEIA Teitua (KIR),PARK Young Jun (FIJ),BEIA Teitua
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TETABO Katirakei,GEORGE Junior,3,0,,QF,OTHER,CBS,671,Main Draw,TETABO Katirakei (KIR),GEORGE Junior (COK),TETABO Katirakei
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TABURIMAI Teingia,TARARO Kura,3,0,,QF,OTHER,CBS,671,Main Draw,TABURIMAI Teingia (KIR),TARARO Kura (COK),TABURIMAI Teingia
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LAVE Sione,GILBERT Paula,3,0,,QF,OTHER,CBS,671,Main Draw,LAVE Sione (TGA),GILBERT Paula (TGA),LAVE Sione
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TETABO Katirakei,BEIA Teitua,3,0,,SF,OTHER,CBS,671,Main Draw,TETABO Katirakei (KIR),BEIA Teitua (KIR),TETABO Katirakei
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TABURIMAI Teingia,LAVE Sione,3,0,,SF,OTHER,CBS,671,Main Draw,TABURIMAI Teingia (KIR),LAVE Sione (TGA),TABURIMAI Teingia
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TETABO Katirakei,TABURIMAI Teingia,3,0,,F,OTHER,CBS,671,Main Draw,TETABO Katirakei (KIR),TABURIMAI Teingia (KIR),TETABO Katirakei
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TAUALUPE Hulita,ELLIOTT Penina,3,0,,QF,OTHER,CGS,671,Main Draw,TAUALUPE Hulita (TGA),ELLIOTT Penina (FIJ),TAUALUPE Hulita
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,PEPA Barbara,MAFI Julien,3,0,,QF,OTHER,CGS,671,Main Draw,PEPA Barbara (TGA),MAFI Julien (TGA),PEPA Barbara
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GUTTERSBERGER Tanya,TULIA Nayter,3,0,,QF,OTHER,CGS,671,Main Draw,GUTTERSBERGER Tanya (FIJ),TULIA Nayter (TGA),GUTTERSBERGER Tanya
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,PERE Ana,TAUALUPE Hulita,3,0,,SF,OTHER,CGS,671,Main Draw,PERE Ana (COK),TAUALUPE Hulita (TGA),PERE Ana
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GUTTERSBERGER Tanya,PEPA Barbara,3,0,,SF,OTHER,CGS,671,Main Draw,GUTTERSBERGER Tanya (FIJ),PEPA Barbara (TGA),GUTTERSBERGER Tanya
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,PERE Ana,GUTTERSBERGER Tanya,3,0,,F,OTHER,CGS,671,Main Draw,PERE Ana (COK),GUTTERSBERGER Tanya (FIJ),PERE Ana
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LUA Halafo'Ou,TARARO Kura,3,0,,R32,OTHER,JBS,671,Main Draw,LUA Halafo'Ou (TGA),TARARO Kura (COK),LUA Halafo'Ou
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LAVE Sione,WU Zhicong,3,0,,R32,OTHER,JBS,671,Main Draw,LAVE Sione (TGA),WU Zhicong (FIJ),LAVE Sione
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GILBERT Paula,MAFI Ofa,3,0,,R32,OTHER,JBS,671,Main Draw,GILBERT Paula (TGA),MAFI Ofa (TGA),GILBERT Paula
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TAUSISI Sitaleki,KUMAR Nikhil,3,0,,R32,OTHER,JBS,671,Main Draw,TAUSISI Sitaleki (TGA),KUMAR Nikhil (FIJ),TAUSISI Sitaleki
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TUIONETOA Siaki,KACIMAIWAI Mathew,3,0,,R32,OTHER,JBS,671,Main Draw,TUIONETOA Siaki (TGA),KACIMAIWAI Mathew (FIJ),TUIONETOA Siaki
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LEFEE Fuanuu,TAUSISI Ofa,3,0,,R32,OTHER,JBS,671,Main Draw,LEFEE Fuanuu (ASA),TAUSISI Ofa (TGA),LEFEE Fuanuu
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,BEIA Teitua,TUIONETOA William,3,0,,R32,OTHER,JBS,671,Main Draw,BEIA Teitua (KIR),TUIONETOA William (TGA),BEIA Teitua
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,FOSTER Uate,KOLO Mosa'Ati,3,0,,R32,OTHER,JBS,671,Main Draw,FOSTER Uate (TGA),KOLO Mosa'Ati (TGA),FOSTER Uate
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LAL Christopher,LUA Halafo'Ou,3,0,,R16,OTHER,JBS,671,Main Draw,LAL Christopher (FIJ),LUA Halafo'Ou (TGA),LAL Christopher
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,LAVE Sione,TETABO Katirakei,3,0,,R16,OTHER,JBS,671,Main Draw,LAVE Sione (TGA),TETABO Katirakei (KIR),LAVE Sione
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GILBERT Paula,ANTONIO Victor,3,0,,R16,OTHER,JBS,671,Main Draw,GILBERT Paula (TGA),ANTONIO Victor (FIJ),GILBERT Paula
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TAUSISI Sitaleki,LEFEE Fonoi,3,0,,R16,OTHER,JBS,671,Main Draw,TAUSISI Sitaleki (TGA),LEFEE Fonoi (ASA),TAUSISI Sitaleki
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,TABURIMAI Teingia,TUIONETOA Siaki,3,0,,R16,OTHER,JBS,671,Main Draw,TABURIMAI Teingia (KIR),TUIONETOA Siaki (TGA),TABURIMAI Teingia
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GUTTERSBERGER Chris,LEFEE Fuanuu,3,0,,R16,OTHER,JBS,671,Main Draw,GUTTERSBERGER Chris (FIJ),LEFEE Fuanuu (ASA),GUTTERSBERGER Chris
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,GEORGE Junior,BEIA Teitua,3,0,,R16,OTHER,JBS,671,Main Draw,GEORGE Junior (COK),BEIA Teitua (KIR),GEORGE Junior
Oceania Championships Pacific Cup Auckland 2010,2010-04-12,FOSTER Uate,PARK Young Jun,3,0,,R16,OTHER,JBS,671,Main Draw,FOSTER Uate (TGA),PARK Young Jun (FIJ),FOSTER Uate
