tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Austrian Open Wels 2010,2010-10-20,FEGERL Stefan/FENG Xiaoquan,AKHLAGHPASAND Mohammadreza/ALAMIAN Nima,4,1,"3,11,11,11,11|11,4,7,3,9",R16,GRAND_SLAM,MD,61,Main Draw,FEGERL Stefan (AUT) / FENG Xiaoquan (AUT),AKHLAGHPASAND Mohammadreza (USA) / ALAMIAN Nima (IRI)
Pro Tour Austrian Open Wels 2010,2010-10-20,JEONG Sangeun/RYU Seungmin,FEGERL Stefan/FENG Xiaoquan,4,2,"10,11,12,16,9,11|12,4,10,14,11,3",QF,GRAND_SLAM,MD,61,Main Draw,JEONG Sangeun (KOR) / RYU Seungmin (KOR),FEGERL Stefan (AUT) / FENG Xiaoquan (AUT)
Pro Tour Austrian Open Wels 2010,2010-10-20,LIN Gaoyuan/YIN Hang,JEAN Lauric/NUYTINCK Cedric,3,0,"11,11,11|8,1,4",QR64,GRAND_SLAM,MD,61,Qualification,LIN Gaoyuan (CHN) / YIN Hang (CHN),JEAN Lauric (BEL) / NUYTINCK Cedric (BEL)
Pro Tour Austrian Open Wels 2010,2010-10-20,JAKAB Janos/KOSIBA Daniel,JUZBASIC Neven/PLATONOV Pavel,3,1,"4,11,14,11|11,7,12,5",QR64,GRAND_SLAM,MD,61,Qualification,JAKAB Janos (HUN) / KOSIBA Daniel (HUN),JUZBASIC Neven (CRO) / PLATONOV Pavel (BLR)
Pro Tour Austrian Open Wels 2010,2010-10-20,FLORAS Robert/GORAK Daniel,BARABANOV Kiryl/KUCHUK Aleksandr,3,1,"10,11,11,11|12,3,9,6",QR64,GRAND_SLAM,MD,61,Qualification,FLORAS Robert (POL) / GORAK Daniel (POL),BARABANOV Kiryl (BLR) / KUCHUK Aleksandr (BLR)
Pro Tour Austrian Open Wels 2010,2010-10-20,SZYMANSKI Filip/WANG Zengyi,GOLOVANOV Stanislav/YORDANOV Teodor,3,2,"12,10,6,11,11|10,12,11,4,7",QR64,GRAND_SLAM,MD,61,Qualification,SZYMANSKI Filip (POL) / WANG Zengyi (POL),GOLOVANOV Stanislav (BUL) / YORDANOV Teodor (BUL)
Pro Tour Austrian Open Wels 2010,2010-10-20,ROGIERS Benjamin/VANROSSOMME Emilien,BLAS Bryan/MOYA Manuel,3,0,"13,11,13|11,6,11",QR64,GRAND_SLAM,MD,61,Qualification,ROGIERS Benjamin (BEL) / VANROSSOMME Emilien (BEL),BLAS Bryan (PER) / MOYA Manuel (CHI)
Pro Tour Austrian Open Wels 2010,2010-10-20,LIN Gaoyuan/YIN Hang,LEGOUT Christophe/SALIFOU Abdel-Kader,4,2,"11,11,6,11,9,11|6,6,11,7,11,9",R16,GRAND_SLAM,MD,61,Main Draw,LIN Gaoyuan (CHN) / YIN Hang (CHN),LEGOUT Christophe (FRA) / SALIFOU Abdel-Kader (BEN)
Pro Tour Austrian Open Wels 2010,2010-10-20,MENDES Enio/SILVA Andre,WU Jiaji/ZHENG Peifeng,3,1,"18,9,11,11|16,11,9,9",QR64,GRAND_SLAM,MD,61,Qualification,MENDES Enio (POR) / SILVA Andre (POR),WU Jiaji (DOM) / ZHENG Peifeng (CHN)
Pro Tour Austrian Open Wels 2010,2010-10-20,FAN Shengpeng/LIU Yanan,LIVENTSOV Alexey/PAIKOV Mikhail,3,1,"11,9,13,14|8,11,11,12",QR64,GRAND_SLAM,MD,61,Qualification,FAN Shengpeng (CHN) / LIU Yanan (CHN),LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS)
