tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Moscow 2010,2010-05-23,XU Xin,LEGOUT Christophe,3,1,"11,9,11,11|5,11,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,XU Xin (CHN),LEGOUT Christophe (FRA),XU Xin
World Team Table Tennis Championships Moscow 2010,2010-05-23,MA Long,MATTENET Adrien,3,1,"13,10,11,11|11,12,8,3",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,MA Long (CHN),MATTENET Adrien (FRA),MA Long
World Team Table Tennis Championships Moscow 2010,2010-05-23,ZHANG Jike,LEBESSON Emmanuel,3,0,"11,11,11|4,7,9",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,ZHANG Jike (CHN),LEBESSON Emmanuel (FRA),ZHANG Jike
World Team Table Tennis Championships Moscow 2010,2010-05-23,SMIRNOV Alexey,BOBOCICA Mihai,3,1,"9,11,11,12|15,6,8,10",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,SMIRNOV Alexey (RUS),BOBOCICA Mihai (ITA),SMIRNOV Alexey
World Team Table Tennis Championships Moscow 2010,2010-05-23,KUZMIN Fedor,TOMASI Stefano,3,0,"11,11,11|9,1,6",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,KUZMIN Fedor (RUS),TOMASI Stefano (ITA),KUZMIN Fedor
World Team Table Tennis Championships Moscow 2010,2010-05-23,SHIBAEV Alexander,RECH DALDOSSO Marco,3,0,"12,11,11|10,7,6",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,SHIBAEV Alexander (RUS),RECH DALDOSSO Marco (ITA),SHIBAEV Alexander
World Team Table Tennis Championships Moscow 2010,2010-05-23,BLASZCZYK Lucjan,PAPAGEORGIOU Konstantinos,3,0,"11,11,11|7,5,4",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,BLASZCZYK Lucjan (POL),PAPAGEORGIOU Konstantinos (GRE),BLASZCZYK Lucjan
World Team Table Tennis Championships Moscow 2010,2010-05-23,GIONIS Panagiotis,SUCH Bartosz,3,2,"11,8,11,8,11|6,11,1,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,GIONIS Panagiotis (GRE),SUCH Bartosz (POL),GIONIS Panagiotis
World Team Table Tennis Championships Moscow 2010,2010-05-23,GORAK Daniel,RINIOTIS Anastasios,3,0,"11,11,11|8,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,GORAK Daniel (POL),RINIOTIS Anastasios (GRE),GORAK Daniel
World Team Table Tennis Championships Moscow 2010,2010-05-23,GIONIS Panagiotis,BLASZCZYK Lucjan,3,1,"11,7,11,11|5,11,3,8",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,GIONIS Panagiotis (GRE),BLASZCZYK Lucjan (POL),GIONIS Panagiotis
World Team Table Tennis Championships Moscow 2010,2010-05-23,SUCH Bartosz,PAPAGEORGIOU Konstantinos,3,1,"11,8,11,11|2,11,8,4",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,SUCH Bartosz (POL),PAPAGEORGIOU Konstantinos (GRE),SUCH Bartosz
World Team Table Tennis Championships Moscow 2010,2010-05-23,WANG Hao,GORAK Daniel,3,1,"11,11,9,12|8,9,11,10",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,WANG Hao (CHN),GORAK Daniel (POL),WANG Hao
World Team Table Tennis Championships Moscow 2010,2010-05-23,XU Xin,CHOJNOWSKI Patryk,3,0,"11,11,11|2,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,XU Xin (CHN),CHOJNOWSKI Patryk (POL),XU Xin
World Team Table Tennis Championships Moscow 2010,2010-05-23,MA Lin,WANG Zengyi,3,0,"11,11,11|3,7,7",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,MA Lin (CHN),WANG Zengyi (POL),MA Lin
World Team Table Tennis Championships Moscow 2010,2010-05-23,SMIRNOV Alexey,PAPADIMITRIOU Dimitrios,3,0,"11,11,11|2,7,3",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,SMIRNOV Alexey (RUS),PAPADIMITRIOU Dimitrios (GRE),SMIRNOV Alexey
World Team Table Tennis Championships Moscow 2010,2010-05-23,GIONIS Panagiotis,KUZMIN Fedor,3,2,"11,11,7,6,11|8,8,11,11,9",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,GIONIS Panagiotis (GRE),KUZMIN Fedor (RUS),GIONIS Panagiotis
World Team Table Tennis Championships Moscow 2010,2010-05-23,SKACHKOV Kirill,PAPAGEORGIOU Konstantinos,3,1,"11,9,11,12|5,11,8,10",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,SKACHKOV Kirill (RUS),PAPAGEORGIOU Konstantinos (GRE),SKACHKOV Kirill
World Team Table Tennis Championships Moscow 2010,2010-05-23,GIONIS Panagiotis,SMIRNOV Alexey,3,0,"11,11,11|6,9,4",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,GIONIS Panagiotis (GRE),SMIRNOV Alexey (RUS),GIONIS Panagiotis
World Team Table Tennis Championships Moscow 2010,2010-05-23,PAPADIMITRIOU Dimitrios,KUZMIN Fedor,3,1,"11,5,11,11|8,11,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,PAPADIMITRIOU Dimitrios (GRE),KUZMIN Fedor (RUS),PAPADIMITRIOU Dimitrios
World Team Table Tennis Championships Moscow 2010,2010-05-23,MATTENET Adrien,TOMASI Stefano,3,2,"11,11,8,7,11|6,7,11,11,7",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,MATTENET Adrien (FRA),TOMASI Stefano (ITA),MATTENET Adrien
World Team Table Tennis Championships Moscow 2010,2010-05-23,LEGOUT Christophe,BOBOCICA Mihai,3,2,"4,12,11,14,11|11,10,3,16,7",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,LEGOUT Christophe (FRA),BOBOCICA Mihai (ITA),LEGOUT Christophe
World Team Table Tennis Championships Moscow 2010,2010-05-23,LEBESSON Emmanuel,RECH DALDOSSO Marco,3,2,"11,7,9,11,11|4,11,11,1,6",GROUP,WORLD_CHAMPIONSHIPS,MT,924,Main Draw,LEBESSON Emmanuel (FRA),RECH DALDOSSO Marco (ITA),LEBESSON Emmanuel
