tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,FLORES Armando,MOLINA Axel,3,0,,,OTHER,CBS,683,Qualification,FLORES Armando (HON),MOLINA Axel (MEX)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,UMANZOR Carlos,FLORES Armando,3,0,,,OTHER,CBS,683,Qualification,UMANZOR Carlos (ESA),FLORES Armando (HON)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,CALDERON Julio,PRADA Andres,3,0,,,OTHER,CBS,683,Qualification,CALDERON Julio (ESA),PRADA Andres (PAN)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,CALDERON Julio,PORTILLO Eduardo,3,0,,,OTHER,CBS,683,Qualification,CALDERON Julio (ESA),PORTILLO Eduardo (MEX)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,PORTILLO Eduardo,PRADA Andres,3,0,,,OTHER,CBS,683,Qualification,PORTILLO Eduardo (MEX),PRADA Andres (PAN)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,HERRERA Ulises,SANDOVAL Hosni,3,0,,,OTHER,CBS,683,Qualification,HERRERA Ulises (MEX),SANDOVAL Hosni (GUA)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,HERRERA Ulises,LIZARDO Angelo,3,0,,,OTHER,CBS,683,Qualification,HERRERA Ulises (MEX),LIZARDO Angelo (HON)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,SANDOVAL Hosni,LIZARDO Angelo,3,0,,,OTHER,CBS,683,Qualification,SANDOVAL Hosni (GUA),LIZARDO Angelo (HON)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,ACEVEDO Amilcar,EHRLER Ricardo,3,0,,,OTHER,CBS,683,Qualification,ACEVEDO Amilcar (GUA),EHRLER Ricardo (HON)
XXI Central American and Caribbean Sports Games Mayaguez 2010,2010-07-17,ACEVEDO Amilcar,DE LEON Jose,3,0,,,OTHER,CBS,683,Qualification,ACEVEDO Amilcar (GUA),DE LEON Jose (PAN)
