tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
14th Games of the Small States Triesen 2011,2011-05-31,BAKIC Luka,GERADA Simon,3,0,,,OTHER,MS,700,Qualification,BAKIC Luka (MNE),GERADA Simon (AUS),BAKIC Luka
14th Games of the Small States Triesen 2011,2011-05-31,GERADA Simon,BERARDI Mattia,3,0,,,OTHER,MS,700,Qualification,GERADA Simon (AUS),BERARDI Mattia (SMR),GERADA Simon
14th Games of the Small States Triesen 2011,2011-05-31,BAKIC Luka,BERARDI Mattia,3,0,,,OTHER,MS,700,Qualification,BAKIC Luka (MNE),BERARDI Mattia (SMR),BAKIC Luka
14th Games of the Small States Triesen 2011,2011-05-31,CIOCIU Traian,VANNUCCI Marco,3,0,,,OTHER,MS,700,Qualification,CIOCIU Traian (LUX),VANNUCCI Marco (SMR),CIOCIU Traian
14th Games of the Small States Triesen 2011,2011-05-31,TZIAMBOS Andreas,MAGNUSSON Magnus K,3,0,,,OTHER,MS,700,Qualification,TZIAMBOS Andreas (CYP),MAGNUSSON Magnus K (ISL),TZIAMBOS Andreas
14th Games of the Small States Triesen 2011,2011-05-31,CIOCIU Traian,MAGNUSSON Magnus K,3,0,,,OTHER,MS,700,Qualification,CIOCIU Traian (LUX),MAGNUSSON Magnus K (ISL),CIOCIU Traian
14th Games of the Small States Triesen 2011,2011-05-31,TZIAMBOS Andreas,VANNUCCI Marco,3,0,,,OTHER,MS,700,Qualification,TZIAMBOS Andreas (CYP),VANNUCCI Marco (SMR),TZIAMBOS Andreas
14th Games of the Small States Triesen 2011,2011-05-31,CIOCIU Traian,TZIAMBOS Andreas,3,0,,,OTHER,MS,700,Qualification,CIOCIU Traian (LUX),TZIAMBOS Andreas (CYP),CIOCIU Traian
14th Games of the Small States Triesen 2011,2011-05-31,MAGNUSSON Magnus K,VANNUCCI Marco,3,0,,,OTHER,MS,700,Qualification,MAGNUSSON Magnus K (ISL),VANNUCCI Marco (SMR),MAGNUSSON Magnus K
14th Games of the Small States Triesen 2011,2011-05-31,YIANGOU Marios,BAJADA Daniel,3,0,,,OTHER,MS,700,Qualification,YIANGOU Marios (CYP),BAJADA Daniel (MLT),YIANGOU Marios
14th Games of the Small States Triesen 2011,2011-05-31,TISO Martin,TOTH Daniel,3,0,,,OTHER,MS,700,Qualification,TISO Martin (MON),TOTH Daniel (LIE),TISO Martin
14th Games of the Small States Triesen 2011,2011-05-31,YIANGOU Marios,TOTH Daniel,3,0,,,OTHER,MS,700,Qualification,YIANGOU Marios (CYP),TOTH Daniel (LIE),YIANGOU Marios
14th Games of the Small States Triesen 2011,2011-05-31,TISO Martin,BAJADA Daniel,3,0,,,OTHER,MS,700,Qualification,TISO Martin (MON),BAJADA Daniel (MLT),TISO Martin
14th Games of the Small States Triesen 2011,2011-05-31,YIANGOU Marios,TISO Martin,3,0,,,OTHER,MS,700,Qualification,YIANGOU Marios (CYP),TISO Martin (MON),YIANGOU Marios
14th Games of the Small States Triesen 2011,2011-05-31,BAJADA Daniel,TOTH Daniel,3,0,,,OTHER,MS,700,Qualification,BAJADA Daniel (MLT),TOTH Daniel (LIE),BAJADA Daniel
14th Games of the Small States Triesen 2011,2011-05-31,MICHELY Gilles,CEKIC Irfan,3,0,,,OTHER,MS,700,Qualification,MICHELY Gilles (LUX),CEKIC Irfan (MNE),MICHELY Gilles
14th Games of the Small States Triesen 2011,2011-05-31,PFEIFFER Philipp,MIMISSON Kari,3,0,,,OTHER,MS,700,Qualification,PFEIFFER Philipp (LIE),MIMISSON Kari (ISL),PFEIFFER Philipp
14th Games of the Small States Triesen 2011,2011-05-31,MICHELY Gilles,MIMISSON Kari,3,0,,,OTHER,MS,700,Qualification,MICHELY Gilles (LUX),MIMISSON Kari (ISL),MICHELY Gilles
14th Games of the Small States Triesen 2011,2011-05-31,CEKIC Irfan,PFEIFFER Philipp,3,0,,,OTHER,MS,700,Qualification,CEKIC Irfan (MNE),PFEIFFER Philipp (LIE),CEKIC Irfan
14th Games of the Small States Triesen 2011,2011-05-31,MICHELY Gilles,PFEIFFER Philipp,3,0,,,OTHER,MS,700,Qualification,MICHELY Gilles (LUX),PFEIFFER Philipp (LIE),MICHELY Gilles
14th Games of the Small States Triesen 2011,2011-05-31,CEKIC Irfan,MIMISSON Kari,3,0,,,OTHER,MS,700,Qualification,CEKIC Irfan (MNE),MIMISSON Kari (ISL),CEKIC Irfan
14th Games of the Small States Triesen 2011,2011-05-31,CEKIC Irfan,BAKIC Luka,3,0,,QF,OTHER,MS,700,Main Draw,CEKIC Irfan (MNE),BAKIC Luka (MNE),CEKIC Irfan
14th Games of the Small States Triesen 2011,2011-05-31,YIANGOU Marios,TZIAMBOS Andreas,3,0,,QF,OTHER,MS,700,Main Draw,YIANGOU Marios (CYP),TZIAMBOS Andreas (CYP),YIANGOU Marios
