tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LUSIN Aleksandr,FILLIPPOV Alexander,3,0,,,OTHER,CBS,713,Qualification,LUSIN Aleksandr (EST),FILLIPPOV Alexander (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LUSIN Aleksandr,RAHALEVICH Andrei,3,0,,,OTHER,CBS,713,Qualification,LUSIN Aleksandr (EST),RAHALEVICH Andrei (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,FILLIPPOV Alexander,RAHALEVICH Andrei,3,0,,,OTHER,CBS,713,Qualification,FILLIPPOV Alexander (RUS),RAHALEVICH Andrei (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LUNDSTROM Thomas,ROGOZHIN Dmitry,3,0,,,OTHER,CBS,713,Qualification,LUNDSTROM Thomas (FIN),ROGOZHIN Dmitry (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LUNDSTROM Thomas,LOSKA Anton,3,0,,,OTHER,CBS,713,Qualification,LUNDSTROM Thomas (FIN),LOSKA Anton (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LOSKA Anton,ROGOZHIN Dmitry,3,0,,,OTHER,CBS,713,Qualification,LOSKA Anton (BLR),ROGOZHIN Dmitry (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,OCONNOR Miikka,MATVEEV Andrey,3,0,,,OTHER,CBS,713,Qualification,OCONNOR Miikka (FIN),MATVEEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LABANAU Andrei,PAE Mihkel,3,0,,,OTHER,CBS,713,Qualification,LABANAU Andrei (BLR),PAE Mihkel (EST)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,OCONNOR Miikka,LABANAU Andrei,3,0,,,OTHER,CBS,713,Qualification,OCONNOR Miikka (FIN),LABANAU Andrei (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,PAE Mihkel,MATVEEV Andrey,3,0,,,OTHER,CBS,713,Qualification,PAE Mihkel (EST),MATVEEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,OCONNOR Miikka,PAE Mihkel,3,0,,,OTHER,CBS,713,Qualification,OCONNOR Miikka (FIN),PAE Mihkel (EST)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LABANAU Andrei,MATVEEV Andrey,3,0,,,OTHER,CBS,713,Qualification,LABANAU Andrei (BLR),MATVEEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,SVEISTYS Erikas,POPITCHENKO Evgenii,3,0,,,OTHER,CBS,713,Qualification,SVEISTYS Erikas (LTU),POPITCHENKO Evgenii (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,VIATOSHKIN Siarhei,MIGUNOV Oleg,3,0,,,OTHER,CBS,713,Qualification,VIATOSHKIN Siarhei (BLR),MIGUNOV Oleg (EST)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,VIATOSHKIN Siarhei,POPITCHENKO Evgenii,3,0,,,OTHER,CBS,713,Qualification,VIATOSHKIN Siarhei (BLR),POPITCHENKO Evgenii (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,SVEISTYS Erikas,MIGUNOV Oleg,3,0,,,OTHER,CBS,713,Qualification,SVEISTYS Erikas (LTU),MIGUNOV Oleg (EST)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,MIGUNOV Oleg,POPITCHENKO Evgenii,3,0,,,OTHER,CBS,713,Qualification,MIGUNOV Oleg (EST),POPITCHENKO Evgenii (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,SVEISTYS Erikas,VIATOSHKIN Siarhei,3,0,,,OTHER,CBS,713,Qualification,SVEISTYS Erikas (LTU),VIATOSHKIN Siarhei (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,NYBERG Jan,GOLUBEV Andrey,3,0,,,OTHER,CBS,713,Qualification,NYBERG Jan (FIN),GOLUBEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,KRYVALALAPAU Usevald,LYADVIK Egor,3,0,,,OTHER,CBS,713,Qualification,KRYVALALAPAU Usevald (BLR),LYADVIK Egor (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,KRYVALALAPAU Usevald,GOLUBEV Andrey,3,0,,,OTHER,CBS,713,Qualification,KRYVALALAPAU Usevald (BLR),GOLUBEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,NYBERG Jan,LYADVIK Egor,3,0,,,OTHER,CBS,713,Qualification,NYBERG Jan (FIN),LYADVIK Egor (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,LYADVIK Egor,GOLUBEV Andrey,3,0,,,OTHER,CBS,713,Qualification,LYADVIK Egor (RUS),GOLUBEV Andrey (RUS)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,NYBERG Jan,KRYVALALAPAU Usevald,3,0,,,OTHER,CBS,713,Qualification,NYBERG Jan (FIN),KRYVALALAPAU Usevald (BLR)
Butterfly Baltic Cup Tallinn 2011,2011-04-23,IHNATOVICH Pavel,ARTEMENKO Nikita,3,0,,,OTHER,CBS,713,Qualification,IHNATOVICH Pavel (BLR),ARTEMENKO Nikita (RUS)
