tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,ZARE Sina,ALIYEV Rustam,3,0,,R64,OTHER,MS,725,Main Draw,ZARE Sina (IRI),ALIYEV Rustam (AZE)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,MOLNAR Csaba,SHAJIRATI Shaker,3,0,,R64,OTHER,MS,725,Main Draw,MOLNAR Csaba (HUN),SHAJIRATI Shaker (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,BAKHSHANDH Pezhman,FARGHADANI Mohammad,3,0,,R64,OTHER,MS,725,Main Draw,BAKHSHANDH Pezhman (IRI),FARGHADANI Mohammad (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,ROUINTANESFAHANI Mohammadali,BAHMANI Akbar,3,0,,R64,OTHER,MS,725,Main Draw,ROUINTANESFAHANI Mohammadali (IRI),BAHMANI Akbar (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,YAGHOUBI Seyedmasoud,SHARIATI Ramin,3,0,,R64,OTHER,MS,725,Main Draw,YAGHOUBI Seyedmasoud (IRI),SHARIATI Ramin (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,BEISENOV Samat,JAFAROV Ramil,3,0,,R64,OTHER,MS,725,Main Draw,BEISENOV Samat (KAZ),JAFAROV Ramil (AZE)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,RAHMAT PANAH Behnam,MOHAMMAD Garousi Zadeh,3,0,,R64,OTHER,MS,725,Main Draw,RAHMAT PANAH Behnam (IRI),MOHAMMAD Garousi Zadeh (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,BOUJARIAN Mohammad,SOBHI Hadi,3,0,,R64,OTHER,MS,725,Main Draw,BOUJARIAN Mohammad (IRI),SOBHI Hadi (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,AMIRI NIA Soroosh,LOTFIJANABADI Miad,3,0,,R64,OTHER,MS,725,Main Draw,AMIRI NIA Soroosh (IRI),LOTFIJANABADI Miad (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,AHADI Mehran,MIRALMASI Amin,3,0,,R64,OTHER,MS,725,Main Draw,AHADI Mehran (IRI),MIRALMASI Amin (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,EBADI POUR Ahmad Reza,NAJAFI Mahdi,3,0,,R64,OTHER,MS,725,Main Draw,EBADI POUR Ahmad Reza (IRI),NAJAFI Mahdi (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,AHMADIFAR Aref,HOSSEINI Sajad,3,0,,R64,OTHER,MS,725,Main Draw,AHMADIFAR Aref (IRI),HOSSEINI Sajad (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,KEYHAN Sina,BAYRAMOV Ali,3,0,,R64,OTHER,MS,725,Main Draw,KEYHAN Sina (IRI),BAYRAMOV Ali (AZE)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,SHISHEGARHA Roohollah,KHATIYON Mohsen,3,0,,R64,OTHER,MS,725,Main Draw,SHISHEGARHA Roohollah (IRI),KHATIYON Mohsen (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,ALAMIYAN Noshad,ZARE Sina,3,0,,R32,OTHER,MS,725,Main Draw,ALAMIYAN Noshad (IRI),ZARE Sina (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,TAHERKHANI Hamidreza,MOLNAR Csaba,3,0,,R32,OTHER,MS,725,Main Draw,TAHERKHANI Hamidreza (IRI),MOLNAR Csaba (HUN)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,BEKNAZAROV Yermek,BAKHSHANDH Pezhman,3,0,,R32,OTHER,MS,725,Main Draw,BEKNAZAROV Yermek (KAZ),BAKHSHANDH Pezhman (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,KUCHUK Aleksandr,ROUINTANESFAHANI Mohammadali,3,0,,R32,OTHER,MS,725,Main Draw,KUCHUK Aleksandr (BLR),ROUINTANESFAHANI Mohammadali (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,LOTFOLLAH NASABI Midya,YAGHOUBI Seyedmasoud,3,0,,R32,OTHER,MS,725,Main Draw,LOTFOLLAH NASABI Midya (IRI),YAGHOUBI Seyedmasoud (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,BARABANOV Kiryl,BEISENOV Samat,3,0,,R32,OTHER,MS,725,Main Draw,BARABANOV Kiryl (BLR),BEISENOV Samat (KAZ)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,RAHMAT PANAH Behnam,HENTE Mohammad Amin,3,0,,R32,OTHER,MS,725,Main Draw,RAHMAT PANAH Behnam (IRI),HENTE Mohammad Amin (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,PATTANTYUS Adam,BOUJARIAN Mohammad,3,0,,R32,OTHER,MS,725,Main Draw,PATTANTYUS Adam (HUN),BOUJARIAN Mohammad (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,KOSIBA Daniel,AMIRI NIA Soroosh,3,0,,R32,OTHER,MS,725,Main Draw,KOSIBA Daniel (HUN),AMIRI NIA Soroosh (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,AHADI Mehran,ISMAYILOV Farhad,3,0,,R32,OTHER,MS,725,Main Draw,AHADI Mehran (IRI),ISMAYILOV Farhad (AZE)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,EBADI POUR Ahmad Reza,KELBUGANOV Timur,3,0,,R32,OTHER,MS,725,Main Draw,EBADI POUR Ahmad Reza (IRI),KELBUGANOV Timur (KAZ)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,MALMIRI Vahed,EBRAHIMI KASGAMIJANI Saman,3,0,,R32,OTHER,MS,725,Main Draw,MALMIRI Vahed (IRI),EBRAHIMI KASGAMIJANI Saman (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,OMRANI Seyed Pourya,AHMADIFAR Aref,3,0,,R32,OTHER,MS,725,Main Draw,OMRANI Seyed Pourya (IRI),AHMADIFAR Aref (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,KEYHAN Sina,MOLARAJABI Alireza,3,0,,R32,OTHER,MS,725,Main Draw,KEYHAN Sina (IRI),MOLARAJABI Alireza (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,PLATONOV Pavel,SHISHEGARHA Roohollah,3,0,,R32,OTHER,MS,725,Main Draw,PLATONOV Pavel (BLR),SHISHEGARHA Roohollah (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,ALAMIYAN Noshad,TAHERKHANI Hamidreza,3,0,,R16,OTHER,MS,725,Main Draw,ALAMIYAN Noshad (IRI),TAHERKHANI Hamidreza (IRI)
Fajr Cup International Men's Tournament Tehran 2011,2011-12-18,KUCHUK Aleksandr,BEKNAZAROV Yermek,3,0,,R16,OTHER,MS,725,Main Draw,KUCHUK Aleksandr (BLR),BEKNAZAROV Yermek (KAZ)
