tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,KARIMI Atefeh,GOTTHATRDTOVA Jana,3,0,,R32,OTHER,WS,726,Main Draw,KARIMI Atefeh (IRI),GOTTHATRDTOVA Jana (SVK),KARIMI Atefeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,ALI JABBARI Mina,3,0,,R16,OTHER,WS,726,Main Draw,PILIPENKO Yelena (KAZ),ALI JABBARI Mina (IRQ),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SAMET Mahshid,KOVACS Kinga,3,0,,R16,OTHER,WS,726,Main Draw,SAMET Mahshid (IRI),KOVACS Kinga (HUN),SAMET Mahshid
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SLADKOVA Nataliya,DROTAROVA Livia,3,0,,R16,OTHER,WS,726,Main Draw,SLADKOVA Nataliya (KAZ),DROTAROVA Livia (SVK),SLADKOVA Nataliya
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,OMRANI Mahjobeh,HARASZTI Nora,3,0,,R16,OTHER,WS,726,Main Draw,OMRANI Mahjobeh (IRI),HARASZTI Nora (HUN),OMRANI Mahjobeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SAMET Maryam,ALI JABBARI Lydya Hassan Omar,3,0,,R16,OTHER,WS,726,Main Draw,SAMET Maryam (IRI),ALI JABBARI Lydya Hassan Omar (IRQ),SAMET Maryam
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,GATS Yuliya,KARIMI Atefeh,3,0,,R16,OTHER,WS,726,Main Draw,GATS Yuliya (KAZ),KARIMI Atefeh (IRI),GATS Yuliya
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,FEKETE Barbara,ALI JABBARI Media Hassan Omar,3,0,,R16,OTHER,WS,726,Main Draw,FEKETE Barbara (HUN),ALI JABBARI Media Hassan Omar (IRQ),FEKETE Barbara
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SHAHSAVARI Neda,JALALIGORGAN Maryam,3,0,,R16,OTHER,WS,726,Main Draw,SHAHSAVARI Neda (IRI),JALALIGORGAN Maryam (IRI),SHAHSAVARI Neda
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,SAMET Mahshid,3,0,,QF,OTHER,WS,726,Main Draw,PILIPENKO Yelena (KAZ),SAMET Mahshid (IRI),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,OMRANI Mahjobeh,SLADKOVA Nataliya,3,0,,QF,OTHER,WS,726,Main Draw,OMRANI Mahjobeh (IRI),SLADKOVA Nataliya (KAZ),OMRANI Mahjobeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SAMET Maryam,GATS Yuliya,3,0,,QF,OTHER,WS,726,Main Draw,SAMET Maryam (IRI),GATS Yuliya (KAZ),SAMET Maryam
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SHAHSAVARI Neda,FEKETE Barbara,3,0,,QF,OTHER,WS,726,Main Draw,SHAHSAVARI Neda (IRI),FEKETE Barbara (HUN),SHAHSAVARI Neda
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,OMRANI Mahjobeh,3,0,,SF,OTHER,WS,726,Main Draw,PILIPENKO Yelena (KAZ),OMRANI Mahjobeh (IRI),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SHAHSAVARI Neda,SAMET Maryam,3,0,,SF,OTHER,WS,726,Main Draw,SHAHSAVARI Neda (IRI),SAMET Maryam (IRI),SHAHSAVARI Neda
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,SHAHSAVARI Neda,3,0,,F,OTHER,WS,726,Main Draw,PILIPENKO Yelena (KAZ),SHAHSAVARI Neda (IRI),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SAMET Mahshid,GOTTHATRDTOVA Jana,3,0,,GROUP,OTHER,WT,726,Main Draw,SAMET Mahshid (IRI),GOTTHATRDTOVA Jana (SVK),SAMET Mahshid
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,DROTAROVA Livia,SAMET Maryam,3,0,,GROUP,OTHER,WT,726,Main Draw,DROTAROVA Livia (SVK),SAMET Maryam (IRI),DROTAROVA Livia
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SAMET Maryam,GOTTHATRDTOVA Jana,3,0,,GROUP,OTHER,WT,726,Main Draw,SAMET Maryam (IRI),GOTTHATRDTOVA Jana (SVK),SAMET Maryam
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,DROTAROVA Livia,SAMET Mahshid,3,0,,GROUP,OTHER,WT,726,Main Draw,DROTAROVA Livia (SVK),SAMET Mahshid (IRI),DROTAROVA Livia
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,KOVACS Kinga,ALI JABBARI Mina,3,0,,GROUP,OTHER,WT,726,Main Draw,KOVACS Kinga (HUN),ALI JABBARI Mina (IRQ),KOVACS Kinga
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,GOTTHATRDTOVA Jana,3,0,,GROUP,OTHER,WT,726,Main Draw,PILIPENKO Yelena (KAZ),GOTTHATRDTOVA Jana (SVK),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SHAHSAVARI Neda,KOVACS Kinga,3,0,,GROUP,OTHER,WT,726,Main Draw,SHAHSAVARI Neda (IRI),KOVACS Kinga (HUN),SHAHSAVARI Neda
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,SAMET Maryam,3,0,,GROUP,OTHER,WT,726,Main Draw,PILIPENKO Yelena (KAZ),SAMET Maryam (IRI),PILIPENKO Yelena
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SLADKOVA Nataliya,SAMET Mahshid,3,0,,GROUP,OTHER,WT,726,Main Draw,SLADKOVA Nataliya (KAZ),SAMET Mahshid (IRI),SLADKOVA Nataliya
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,OMRANI Mahjobeh,ALI JABBARI Mina,3,0,,GROUP,OTHER,WT,726,Main Draw,OMRANI Mahjobeh (IRI),ALI JABBARI Mina (IRQ),OMRANI Mahjobeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,KARIMI Atefeh,ALI JABBARI Media Hassan Omar,3,0,,GROUP,OTHER,WT,726,Main Draw,KARIMI Atefeh (IRI),ALI JABBARI Media Hassan Omar (IRQ),KARIMI Atefeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SHAHSAVARI Neda,GOTTHATRDTOVA Jana,3,0,,,OTHER,WT,726,Main Draw,SHAHSAVARI Neda (IRI),GOTTHATRDTOVA Jana (SVK),SHAHSAVARI Neda
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,OMRANI Mahjobeh,DROTAROVA Livia,3,0,,,OTHER,WT,726,Main Draw,OMRANI Mahjobeh (IRI),DROTAROVA Livia (SVK),OMRANI Mahjobeh
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,SLADKOVA Nataliya,HARASZTI Nora,3,0,,,OTHER,WT,726,Main Draw,SLADKOVA Nataliya (KAZ),HARASZTI Nora (HUN),SLADKOVA Nataliya
Fajr Cup International Women's Tournament Golestan 2011,2011-10-15,PILIPENKO Yelena,FEKETE Barbara,3,0,,,OTHER,WT,726,Main Draw,PILIPENKO Yelena (KAZ),FEKETE Barbara (HUN),PILIPENKO Yelena
