tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,ABID Hachmi,LASHIN Elsayed,3,2,"7,11,11,8,11|11,5,8,11,9",,OTHER,MS,738,Qualification,ABID Hachmi (TUN),LASHIN Elsayed (EGY),ABID Hachmi
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,TIRSELT Mounaim,AGBETOGLO Mawussi,3,0,,,OTHER,MS,738,Qualification,TIRSELT Mounaim (MAR),AGBETOGLO Mawussi (TOG),TIRSELT Mounaim
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,LASHIN Elsayed,AGBETOGLO Mawussi,3,0,,,OTHER,MS,738,Qualification,LASHIN Elsayed (EGY),AGBETOGLO Mawussi (TOG),LASHIN Elsayed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,TIRSELT Mounaim,ABID Hachmi,3,2,"11,5,5,11,11|6,11,11,9,6",,OTHER,MS,738,Qualification,TIRSELT Mounaim (MAR),ABID Hachmi (TUN),TIRSELT Mounaim
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,LASHIN Elsayed,TIRSELT Mounaim,3,0,"11,11,11|2,7,5",,OTHER,MS,738,Qualification,LASHIN Elsayed (EGY),TIRSELT Mounaim (MAR),LASHIN Elsayed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,ABID Hachmi,AGBETOGLO Mawussi,3,0,,,OTHER,MS,738,Qualification,ABID Hachmi (TUN),AGBETOGLO Mawussi (TOG),ABID Hachmi
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,SALEH Ahmed,ADENIYI Kazeem,3,0,"11,11,11|7,2,4",,OTHER,MS,738,Qualification,SALEH Ahmed (EGY),ADENIYI Kazeem (NGR),SALEH Ahmed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,IDOWU Saheed,REMMAL Mostafa,3,1,"9,11,11,11|11,5,7,9",,OTHER,MS,738,Qualification,IDOWU Saheed (CGO),REMMAL Mostafa (MAR),IDOWU Saheed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,SALEH Ahmed,REMMAL Mostafa,3,0,"11,11,11|4,4,7",,OTHER,MS,738,Qualification,SALEH Ahmed (EGY),REMMAL Mostafa (MAR),SALEH Ahmed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,IDOWU Saheed,ADENIYI Kazeem,3,0,"12,14,11|10,12,9",,OTHER,MS,738,Qualification,IDOWU Saheed (CGO),ADENIYI Kazeem (NGR),IDOWU Saheed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,SALEH Ahmed,IDOWU Saheed,3,0,"13,11,11|11,6,6",,OTHER,MS,738,Qualification,SALEH Ahmed (EGY),IDOWU Saheed (CGO),SALEH Ahmed
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,ADENIYI Kazeem,REMMAL Mostafa,3,0,"11,11,11|2,8,7",,OTHER,MS,738,Qualification,ADENIYI Kazeem (NGR),REMMAL Mostafa (MAR),ADENIYI Kazeem
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,ARUNA Quadri,AGUIDA Abderrafiq,3,0,"11,11,11|5,4,7",,OTHER,MS,738,Qualification,ARUNA Quadri (NGR),AGUIDA Abderrafiq (MAR),ARUNA Quadri
ITTF Africa Seniors Cup Rabat 2011,2011-07-18,BOUDJADJA Sofiene,VIANG BENGONO Alain,3,1,"12,8,11,14|10,11,9,12",,OTHER,MS,738,Qualification,BOUDJADJA Sofiene (ALG),VIANG BENGONO Alain (CMR),BOUDJADJA Sofiene
