tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
JOOLA European Nations League Premier 2011,2011-09-05,SHIBAEV Alexander,KOLESAU Andrei,3,0,,GROUP,OTHER,MT,1971,Main Draw,SHIBAEV Alexander (RUS),KOLESAU Andrei (BLR),SHIBAEV Alexander
JOOLA European Nations League Premier 2011,2011-09-05,NEKHVEDOVICH Vitaly,GADIEV Vildan,3,0,,GROUP,OTHER,MT,1971,Main Draw,NEKHVEDOVICH Vitaly (BLR),GADIEV Vildan (RUS),NEKHVEDOVICH Vitaly
JOOLA European Nations League Premier 2011,2011-09-05,KUCHUK Aleksandr,VNUKOV Artem,3,0,,GROUP,OTHER,MT,1971,Main Draw,KUCHUK Aleksandr (BLR),VNUKOV Artem (RUS),KUCHUK Aleksandr
JOOLA European Nations League Premier 2011,2011-09-05,SHIBAEV Alexander,NEKHVEDOVICH Vitaly,3,0,,GROUP,OTHER,MT,1971,Main Draw,SHIBAEV Alexander (RUS),NEKHVEDOVICH Vitaly (BLR),SHIBAEV Alexander
JOOLA European Nations League Premier 2011,2011-09-05,MOLNAR Cornelia,RIDOLFI Lisa,3,0,,GROUP,OTHER,WT,1971,Main Draw,MOLNAR Cornelia (CRO),RIDOLFI Lisa (ITA),MOLNAR Cornelia
JOOLA European Nations League Premier 2011,2011-09-05,TUBIKANEC Ivana,VIVARELLI Debora,3,0,,GROUP,OTHER,WT,1971,Main Draw,TUBIKANEC Ivana (CRO),VIVARELLI Debora (ITA),TUBIKANEC Ivana
JOOLA European Nations League Premier 2011,2011-09-05,JEGER Mateja,TROTTI Elisa,3,0,,GROUP,OTHER,WT,1971,Main Draw,JEGER Mateja (CRO),TROTTI Elisa (ITA),JEGER Mateja
JOOLA European Nations League Premier 2011,2011-09-05,STOYANOV Niagol,DURAN Marc,3,0,,GROUP,OTHER,MT,1971,Main Draw,STOYANOV Niagol (ITA),DURAN Marc (ESP),STOYANOV Niagol
JOOLA European Nations League Premier 2011,2011-09-05,CANTERO Jesus,TOMASI Stefano,3,0,,GROUP,OTHER,MT,1971,Main Draw,CANTERO Jesus (ESP),TOMASI Stefano (ITA),CANTERO Jesus
JOOLA European Nations League Premier 2011,2011-09-05,ROBLES Alvaro,RECH DALDOSSO Marco,3,0,,GROUP,OTHER,MT,1971,Main Draw,ROBLES Alvaro (ESP),RECH DALDOSSO Marco (ITA),ROBLES Alvaro
JOOLA European Nations League Premier 2011,2011-09-05,CANTERO Jesus,STOYANOV Niagol,3,0,,GROUP,OTHER,MT,1971,Main Draw,CANTERO Jesus (ESP),STOYANOV Niagol (ITA),CANTERO Jesus
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,GRZYBOWSKA-FRANC Katarzyna,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),GRZYBOWSKA-FRANC Katarzyna (POL),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,PARTYKA Natalia,DUBKOVA Elena,3,0,,GROUP,OTHER,WT,1971,Main Draw,PARTYKA Natalia (POL),DUBKOVA Elena (BLR),PARTYKA Natalia
JOOLA European Nations League Premier 2011,2011-09-05,SZCZERKOWSKA Magdalena,PRIVALOVA Alexandra,3,0,,GROUP,OTHER,WT,1971,Main Draw,SZCZERKOWSKA Magdalena (POL),PRIVALOVA Alexandra (BLR),SZCZERKOWSKA Magdalena
JOOLA European Nations League Premier 2011,2011-09-05,PAVLOVICH Viktoria,PARTYKA Natalia,3,0,,GROUP,OTHER,WT,1971,Main Draw,PAVLOVICH Viktoria (BLR),PARTYKA Natalia (POL),PAVLOVICH Viktoria
JOOLA European Nations League Premier 2011,2011-09-05,POTA Georgina,TIAN Yuan,3,0,,GROUP,OTHER,WT,1971,Main Draw,POTA Georgina (HUN),TIAN Yuan (CRO),POTA Georgina
JOOLA European Nations League Premier 2011,2011-09-05,MADARASZ Dora,BOROS Tamara,3,0,,GROUP,OTHER,WT,1971,Main Draw,MADARASZ Dora (HUN),BOROS Tamara (CRO),MADARASZ Dora
