tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Men's World Cup Paris 2011,2011-11-11,TSUBOI Gustavo,PETER-PAUL Pradeeban,4,0,"11,11,11,11|3,5,9,9",,WORLD_CUP,MS,748,Qualification,TSUBOI Gustavo (BRA),PETER-PAUL Pradeeban (CAN)
Men's World Cup Paris 2011,2011-11-11,SALEH Ahmed,HENZELL William,4,3,"6,4,12,7,11,11,13|11,11,10,11,9,8,11",,WORLD_CUP,MS,748,Qualification,SALEH Ahmed (EGY),HENZELL William (AUS)
Men's World Cup Paris 2011,2011-11-11,HENZELL William,TSUBOI Gustavo,4,3,"5,11,7,12,11,9,11|11,5,11,10,7,11,3",,WORLD_CUP,MS,748,Qualification,HENZELL William (AUS),TSUBOI Gustavo (BRA)
Men's World Cup Paris 2011,2011-11-11,SALEH Ahmed,PETER-PAUL Pradeeban,4,2,"8,11,11,8,11,11|11,8,8,11,7,6",,WORLD_CUP,MS,748,Qualification,SALEH Ahmed (EGY),PETER-PAUL Pradeeban (CAN)
Men's World Cup Paris 2011,2011-11-11,TSUBOI Gustavo,SALEH Ahmed,4,1,"11,11,8,11,11|8,7,11,7,6",,WORLD_CUP,MS,748,Qualification,TSUBOI Gustavo (BRA),SALEH Ahmed (EGY)
Men's World Cup Paris 2011,2011-11-11,HENZELL William,PETER-PAUL Pradeeban,4,1,"11,9,11,11,11|2,11,9,7,4",,WORLD_CUP,MS,748,Qualification,HENZELL William (AUS),PETER-PAUL Pradeeban (CAN)
Men's World Cup Paris 2011,2011-11-11,WANG Hao,TANG Peng,4,2,"9,11,14,11,9,11|11,8,12,9,11,5",,WORLD_CUP,MS,748,Qualification,WANG Hao (CHN),TANG Peng (HKG)
Men's World Cup Paris 2011,2011-11-11,JOO Saehyuk,LEGOUT Christophe,4,0,"11,12,11,11|3,10,8,5",,WORLD_CUP,MS,748,Qualification,JOO Saehyuk (KOR),LEGOUT Christophe (FRA)
Men's World Cup Paris 2011,2011-11-11,WANG Hao,JOO Saehyuk,4,2,"4,11,10,11,11,11|11,4,12,9,8,5",,WORLD_CUP,MS,748,Qualification,WANG Hao (CHN),JOO Saehyuk (KOR)
Men's World Cup Paris 2011,2011-11-11,LEGOUT Christophe,TANG Peng,4,3,"10,3,7,11,11,11,11|12,11,11,7,6,5,8",,WORLD_CUP,MS,748,Qualification,LEGOUT Christophe (FRA),TANG Peng (HKG)
