tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Swedish Open Stockholm 2011,2011-10-19,ACHANTA Sharath/HENZELL William,BAGGALEY Andrew/PITCHFORD Liam,3,0,"11,13,11|9,11,9",QR32,GRAND_SLAM,MD,81,Qualification,ACHANTA Sharath (IND) / HENZELL William (AUS),BAGGALEY Andrew (ENG) / PITCHFORD Liam (ENG)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,KARLSSON Kristian/KARLSSON Mattias,ACHANTA Sharath/HENZELL William,3,0,"11,11,11|6,9,7",QR16,GRAND_SLAM,MD,81,Qualification,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),ACHANTA Sharath (IND) / HENZELL William (AUS)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,JIANG Tianyi/TANG Peng,GARDOS Robert/HABESOHN Daniel,4,3,"7,6,10,11,12,11,11|11,11,12,8,10,5,7",SF,GRAND_SLAM,MD,81,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),GARDOS Robert (AUT) / HABESOHN Daniel (AUT)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,DEVOS Robin/LAMBIET Florent,HASANOVIC Remhad/HAZZAA Walaaeldin,3,2,"11,6,11,8,11|9,11,7,11,8",QR64,GRAND_SLAM,MD,81,Qualification,DEVOS Robin (BEL) / LAMBIET Florent (BEL),HASANOVIC Remhad (BIH) / HAZZAA Walaaeldin (EGY)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,DEVOS Robin/LAMBIET Florent,BARDON Michal/KEINATH Thomas,3,2,"11,6,11,8,11|9,11,7,11,8",QR32,GRAND_SLAM,MD,81,Qualification,DEVOS Robin (BEL) / LAMBIET Florent (BEL),BARDON Michal (SVK) / KEINATH Thomas (SVK)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,KARLSSON Kristian/KARLSSON Mattias,MA Lin/WANG Hao,3,1,"7,11,11,11|11,6,8,5",R16,GRAND_SLAM,MD,81,Main Draw,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),MA Lin (CHN) / WANG Hao (CHN)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,WANG Liqin/YAN An,GERELL Par/LUNDQVIST Jens,4,2,"11,11,12,8,5,11|9,6,10,11,11,3",QF,GRAND_SLAM,MD,81,Main Draw,WANG Liqin (CHN) / YAN An (CHN),GERELL Par (SWE) / LUNDQVIST Jens (SWE)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,WANG Liqin/YAN An,CHAN Kazuhiro/MATSUDAIRA Kenji,4,1,"11,8,11,11,11|7,11,5,8,4",SF,GRAND_SLAM,MD,81,Main Draw,WANG Liqin (CHN) / YAN An (CHN),CHAN Kazuhiro (JPN) / MATSUDAIRA Kenji (JPN)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,WANG Liqin/YAN An,CANTERO Jesus/ROBLES Alvaro,3,0,"11,11,11|6,8,9",QR32,GRAND_SLAM,MD,81,Qualification,WANG Liqin (CHN) / YAN An (CHN),CANTERO Jesus (ESP) / ROBLES Alvaro (ESP)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,WANG Liqin/YAN An,ELOI Damien/LEBESSON Emmanuel,3,0,"11,11,11|3,7,8",QR16,GRAND_SLAM,MD,81,Qualification,WANG Liqin (CHN) / YAN An (CHN),ELOI Damien (FRA) / LEBESSON Emmanuel (FRA)
Pro Tour Swedish Open Stockholm 2011,2011-10-19,ELOI Damien/LEBESSON Emmanuel,GAVLAS Antonin/OBESLO Michal,3,1,"11,11,11,11|13,7,8,6",QR32,GRAND_SLAM,MD,81,Qualification,ELOI Damien (FRA) / LEBESSON Emmanuel (FRA),GAVLAS Antonin (CZE) / OBESLO Michal (CZE)
