tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
XV Island Games Sicilia 2011,2011-05-24,YIANGOU Yiangos,FRANCOIS-HAUGRIN Nicolas,3,0,,,OTHER,MS,766,Qualification,YIANGOU Yiangos (CYP),FRANCOIS-HAUGRIN Nicolas (FRA)
XV Island Games Sicilia 2011,2011-05-24,YIANGOU Yiangos,DELORME Thibault,3,0,,,OTHER,MS,766,Qualification,YIANGOU Yiangos (CYP),DELORME Thibault (FRA)
XV Island Games Sicilia 2011,2011-05-24,FRANCOIS-HAUGRIN Nicolas,DELORME Thibault,3,0,,,OTHER,MS,766,Qualification,FRANCOIS-HAUGRIN Nicolas (FRA),DELORME Thibault (FRA)
XV Island Games Sicilia 2011,2011-05-24,HRISTONOV Hristo,MESSERVY Harry,3,0,,,OTHER,MS,766,Qualification,HRISTONOV Hristo (CYP),MESSERVY Harry (JEY)
XV Island Games Sicilia 2011,2011-05-24,HRISTONOV Hristo,ZACCONE Simone,3,0,,,OTHER,MS,766,Qualification,HRISTONOV Hristo (CYP),ZACCONE Simone (ITA)
XV Island Games Sicilia 2011,2011-05-24,ZACCONE Simone,MESSERVY Harry,3,0,,,OTHER,MS,766,Qualification,ZACCONE Simone (ITA),MESSERVY Harry (JEY)
XV Island Games Sicilia 2011,2011-05-24,QUARTUCCIO Giuseppe,REIS Joao,3,0,,,OTHER,MS,766,Qualification,QUARTUCCIO Giuseppe (ITA),REIS Joao (POR)
XV Island Games Sicilia 2011,2011-05-24,PEREIRA Joao,MDJAIDI Said,3,0,,,OTHER,MS,766,Qualification,PEREIRA Joao (POR),MDJAIDI Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,REIS Joao,PEREIRA Joao,3,0,,,OTHER,MS,766,Qualification,REIS Joao (POR),PEREIRA Joao (POR)
XV Island Games Sicilia 2011,2011-05-24,QUARTUCCIO Giuseppe,MDJAIDI Said,3,0,,,OTHER,MS,766,Qualification,QUARTUCCIO Giuseppe (ITA),MDJAIDI Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,REIS Joao,MDJAIDI Said,3,0,,,OTHER,MS,766,Qualification,REIS Joao (POR),MDJAIDI Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,QUARTUCCIO Giuseppe,PEREIRA Joao,3,0,,,OTHER,MS,766,Qualification,QUARTUCCIO Giuseppe (ITA),PEREIRA Joao (POR)
XV Island Games Sicilia 2011,2011-05-24,MORSHEAD Christopher,PERRIER Thomas,3,0,,,OTHER,MS,766,Qualification,MORSHEAD Christopher (JEY),PERRIER Thomas (FRA)
XV Island Games Sicilia 2011,2011-05-24,EMMANUEL Sebastien,SANTOS Miguel,3,0,,,OTHER,MS,766,Qualification,EMMANUEL Sebastien (FRA),SANTOS Miguel (POR)
XV Island Games Sicilia 2011,2011-05-24,MORSHEAD Christopher,EMMANUEL Sebastien,3,0,,,OTHER,MS,766,Qualification,MORSHEAD Christopher (JEY),EMMANUEL Sebastien (FRA)
XV Island Games Sicilia 2011,2011-05-24,PERRIER Thomas,SANTOS Miguel,3,0,,,OTHER,MS,766,Qualification,PERRIER Thomas (FRA),SANTOS Miguel (POR)
XV Island Games Sicilia 2011,2011-05-24,MORSHEAD Christopher,SANTOS Miguel,3,0,,,OTHER,MS,766,Qualification,MORSHEAD Christopher (JEY),SANTOS Miguel (POR)
XV Island Games Sicilia 2011,2011-05-24,EMMANUEL Sebastien,PERRIER Thomas,3,0,,,OTHER,MS,766,Qualification,EMMANUEL Sebastien (FRA),PERRIER Thomas (FRA)
XV Island Games Sicilia 2011,2011-05-24,LEANDRES Andre,DE LEPINE Samuel,3,0,,,OTHER,MS,766,Qualification,LEANDRES Andre (POR),DE LEPINE Samuel (FRA)
XV Island Games Sicilia 2011,2011-05-24,MINUTI Luca,EL FAYAD Assani Said,3,0,,,OTHER,MS,766,Qualification,MINUTI Luca (MLT),EL FAYAD Assani Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,LEANDRES Andre,MINUTI Luca,3,0,,,OTHER,MS,766,Qualification,LEANDRES Andre (POR),MINUTI Luca (MLT)
XV Island Games Sicilia 2011,2011-05-24,DE LEPINE Samuel,EL FAYAD Assani Said,3,0,,,OTHER,MS,766,Qualification,DE LEPINE Samuel (FRA),EL FAYAD Assani Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,LEANDRES Andre,EL FAYAD Assani Said,3,0,,,OTHER,MS,766,Qualification,LEANDRES Andre (POR),EL FAYAD Assani Said (FRA)
XV Island Games Sicilia 2011,2011-05-24,DE LEPINE Samuel,MINUTI Luca,3,0,,,OTHER,MS,766,Qualification,DE LEPINE Samuel (FRA),MINUTI Luca (MLT)
XV Island Games Sicilia 2011,2011-05-24,CHRISTOU Charalambos,ROCHA Andre,3,0,,,OTHER,MS,766,Qualification,CHRISTOU Charalambos (CYP),ROCHA Andre (POR)
XV Island Games Sicilia 2011,2011-05-24,BASILE Alessandro,DJAMCHID Combo,3,0,,,OTHER,MS,766,Qualification,BASILE Alessandro (ITA),DJAMCHID Combo (FRA)
XV Island Games Sicilia 2011,2011-05-24,BASILE Alessandro,CHRISTOU Charalambos,3,0,,,OTHER,MS,766,Qualification,BASILE Alessandro (ITA),CHRISTOU Charalambos (CYP)
XV Island Games Sicilia 2011,2011-05-24,ROCHA Andre,DJAMCHID Combo,3,0,,,OTHER,MS,766,Qualification,ROCHA Andre (POR),DJAMCHID Combo (FRA)
XV Island Games Sicilia 2011,2011-05-24,CHRISTOU Charalambos,DJAMCHID Combo,3,0,,,OTHER,MS,766,Qualification,CHRISTOU Charalambos (CYP),DJAMCHID Combo (FRA)
XV Island Games Sicilia 2011,2011-05-24,BASILE Alessandro,ROCHA Andre,3,0,,,OTHER,MS,766,Qualification,BASILE Alessandro (ITA),ROCHA Andre (POR)
XV Island Games Sicilia 2011,2011-05-24,PEDRA Rodolfo,FISHER Michael,3,0,,,OTHER,MS,766,Qualification,PEDRA Rodolfo (POR),FISHER Michael (JEY)
XV Island Games Sicilia 2011,2011-05-24,SARIGU Marco,HONTARREDE Pierre-Alain,3,0,,,OTHER,MS,766,Qualification,SARIGU Marco (ITA),HONTARREDE Pierre-Alain (FRA)
XV Island Games Sicilia 2011,2011-05-24,PEDRA Rodolfo,SARIGU Marco,3,0,,,OTHER,MS,766,Qualification,PEDRA Rodolfo (POR),SARIGU Marco (ITA)
XV Island Games Sicilia 2011,2011-05-24,HONTARREDE Pierre-Alain,FISHER Michael,3,0,,,OTHER,MS,766,Qualification,HONTARREDE Pierre-Alain (FRA),FISHER Michael (JEY)
XV Island Games Sicilia 2011,2011-05-24,PEDRA Rodolfo,HONTARREDE Pierre-Alain,3,0,,,OTHER,MS,766,Qualification,PEDRA Rodolfo (POR),HONTARREDE Pierre-Alain (FRA)
XV Island Games Sicilia 2011,2011-05-24,SARIGU Marco,FISHER Michael,3,0,,,OTHER,MS,766,Qualification,SARIGU Marco (ITA),FISHER Michael (JEY)
XV Island Games Sicilia 2011,2011-05-24,RIZZO Daniele,PORTELLI Andrea,3,0,,,OTHER,MS,766,Qualification,RIZZO Daniele (ITA),PORTELLI Andrea (MLT)
XV Island Games Sicilia 2011,2011-05-24,MELONI Alessio,HAKIKOU Ali,3,0,,,OTHER,MS,766,Qualification,MELONI Alessio (ITA),HAKIKOU Ali (FRA)
XV Island Games Sicilia 2011,2011-05-24,RIZZO Daniele,MELONI Alessio,3,0,,,OTHER,MS,766,Qualification,RIZZO Daniele (ITA),MELONI Alessio (ITA)
XV Island Games Sicilia 2011,2011-05-24,PORTELLI Andrea,HAKIKOU Ali,3,0,,,OTHER,MS,766,Qualification,PORTELLI Andrea (MLT),HAKIKOU Ali (FRA)
XV Island Games Sicilia 2011,2011-05-24,RIZZO Daniele,HAKIKOU Ali,3,0,,,OTHER,MS,766,Qualification,RIZZO Daniele (ITA),HAKIKOU Ali (FRA)
XV Island Games Sicilia 2011,2011-05-24,MELONI Alessio,PORTELLI Andrea,3,0,,,OTHER,MS,766,Qualification,MELONI Alessio (ITA),PORTELLI Andrea (MLT)
XV Island Games Sicilia 2011,2011-05-24,CONCEICAO Filipe,KERGOURLAY Alexandre,3,0,,,OTHER,MS,766,Qualification,CONCEICAO Filipe (POR),KERGOURLAY Alexandre (FRA)
XV Island Games Sicilia 2011,2011-05-24,BISTRUSSU Mario,ZOUARI Adem,3,0,,,OTHER,MS,766,Qualification,BISTRUSSU Mario (ITA),ZOUARI Adem (MLT)
XV Island Games Sicilia 2011,2011-05-24,CONCEICAO Filipe,BISTRUSSU Mario,3,0,,,OTHER,MS,766,Qualification,CONCEICAO Filipe (POR),BISTRUSSU Mario (ITA)
XV Island Games Sicilia 2011,2011-05-24,KERGOURLAY Alexandre,ZOUARI Adem,3,0,,,OTHER,MS,766,Qualification,KERGOURLAY Alexandre (FRA),ZOUARI Adem (MLT)
XV Island Games Sicilia 2011,2011-05-24,CONCEICAO Filipe,ZOUARI Adem,3,0,,,OTHER,MS,766,Qualification,CONCEICAO Filipe (POR),ZOUARI Adem (MLT)
XV Island Games Sicilia 2011,2011-05-24,BISTRUSSU Mario,KERGOURLAY Alexandre,3,0,,,OTHER,MS,766,Qualification,BISTRUSSU Mario (ITA),KERGOURLAY Alexandre (FRA)
XV Island Games Sicilia 2011,2011-05-24,CUCCU Giovanni,CAMILLERI James,3,0,,,OTHER,MS,766,Qualification,CUCCU Giovanni (ITA),CAMILLERI James (MLT)
XV Island Games Sicilia 2011,2011-05-24,PEREIRA Ricardo,DASSY Steeve,3,0,,,OTHER,MS,766,Qualification,PEREIRA Ricardo (POR),DASSY Steeve (FRA)
XV Island Games Sicilia 2011,2011-05-24,PEREIRA Ricardo,CUCCU Giovanni,3,0,,,OTHER,MS,766,Qualification,PEREIRA Ricardo (POR),CUCCU Giovanni (ITA)
XV Island Games Sicilia 2011,2011-05-24,CAMILLERI James,DASSY Steeve,3,0,,,OTHER,MS,766,Qualification,CAMILLERI James (MLT),DASSY Steeve (FRA)
XV Island Games Sicilia 2011,2011-05-24,CUCCU Giovanni,DASSY Steeve,3,0,,,OTHER,MS,766,Qualification,CUCCU Giovanni (ITA),DASSY Steeve (FRA)
XV Island Games Sicilia 2011,2011-05-24,PEREIRA Ricardo,CAMILLERI James,3,0,,,OTHER,MS,766,Qualification,PEREIRA Ricardo (POR),CAMILLERI James (MLT)
XV Island Games Sicilia 2011,2011-05-24,CUCCU Giovanni,REIS Joao,3,0,,R32,OTHER,MS,766,Main Draw,CUCCU Giovanni (ITA),REIS Joao (POR)
XV Island Games Sicilia 2011,2011-05-24,CHRISTOU Charalambos,DE LEPINE Samuel,3,0,,R32,OTHER,MS,766,Main Draw,CHRISTOU Charalambos (CYP),DE LEPINE Samuel (FRA)
XV Island Games Sicilia 2011,2011-05-24,BISTRUSSU Mario,FRANCOIS-HAUGRIN Nicolas,3,0,,R32,OTHER,MS,766,Main Draw,BISTRUSSU Mario (ITA),FRANCOIS-HAUGRIN Nicolas (FRA)
