tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Australian Open Brisbane 2012,2012-07-01,LEE Jinkwon,ZHAO Anthony,3,0,,,WTT_CONTENDER,MS,535,Qualification,LEE Jinkwon (KOR),ZHAO Anthony (AUS)
Australian Open Brisbane 2012,2012-07-01,LEE Jinkwon,CHAN Stanley,3,0,,,WTT_CONTENDER,MS,535,Qualification,LEE Jinkwon (KOR),CHAN Stanley (AUS)
Australian Open Brisbane 2012,2012-07-01,LEE Jinkwon,WONG Jason,3,0,,,WTT_CONTENDER,MS,535,Qualification,LEE Jinkwon (KOR),WONG Jason (AUS)
Australian Open Brisbane 2012,2012-07-01,HENZELL William,FIELD Justin,3,0,,,WTT_CONTENDER,MS,535,Qualification,HENZELL William (AUS),FIELD Justin (AUS)
Australian Open Brisbane 2012,2012-07-01,HENZELL William,TRAN Xuyen,3,0,,,WTT_CONTENDER,MS,535,Qualification,HENZELL William (AUS),TRAN Xuyen (AUS)
Australian Open Brisbane 2012,2012-07-01,HENZELL William,LI Xiaoyi,3,0,,,WTT_CONTENDER,MS,535,Qualification,HENZELL William (AUS),LI Xiaoyi (AUS)
Australian Open Brisbane 2012,2012-07-01,KANG Donghoon,TRAN Janson,3,0,,,WTT_CONTENDER,MS,535,Qualification,KANG Donghoon (KOR),TRAN Janson (AUS)
Australian Open Brisbane 2012,2012-07-01,KANG Donghoon,TUN Derek,3,0,,,WTT_CONTENDER,MS,535,Qualification,KANG Donghoon (KOR),TUN Derek (AUS)
Australian Open Brisbane 2012,2012-07-01,KANG Donghoon,VON EINEM Samuel,3,0,,,WTT_CONTENDER,MS,535,Qualification,KANG Donghoon (KOR),VON EINEM Samuel (AUS)
Australian Open Brisbane 2012,2012-07-01,HAN Justin,PANDIT Sharad,3,0,,,WTT_CONTENDER,MS,535,Qualification,HAN Justin (AUS),PANDIT Sharad (AUS)
Australian Open Brisbane 2012,2012-07-01,HAN Justin,LE Thahn Duy,3,0,,,WTT_CONTENDER,MS,535,Qualification,HAN Justin (AUS),LE Thahn Duy (AUS)
Australian Open Brisbane 2012,2012-07-01,HAN Justin,MEYN Jackson,3,0,,,WTT_CONTENDER,MS,535,Qualification,HAN Justin (AUS),MEYN Jackson (AUS)
Australian Open Brisbane 2012,2012-07-01,ZHAO Anthony,CHAN Stanley,3,0,,,WTT_CONTENDER,MS,535,Qualification,ZHAO Anthony (AUS),CHAN Stanley (AUS)
Australian Open Brisbane 2012,2012-07-01,WONG Jason,ZHAO Anthony,3,0,,,WTT_CONTENDER,MS,535,Qualification,WONG Jason (AUS),ZHAO Anthony (AUS)
Australian Open Brisbane 2012,2012-07-01,WONG Jason,CHAN Stanley,3,0,,,WTT_CONTENDER,MS,535,Qualification,WONG Jason (AUS),CHAN Stanley (AUS)
Australian Open Brisbane 2012,2012-07-01,TRAN Xuyen,LI Xiaoyi,3,0,,,WTT_CONTENDER,MS,535,Qualification,TRAN Xuyen (AUS),LI Xiaoyi (AUS)
