tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,HUANG Sheng-Sheng,SCHREINER Florian,4,2,"11,11,11,8,6,11|6,3,9,11,11,9",R32,GRAND_SLAM,MS,100,Main Draw,HUANG Sheng-Sheng (TPE),SCHREINER Florian (GER)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,KOVAC Borna,MOHLER Nicola,4,1,"5,11,11,11,11|11,5,8,9,6",R32,GRAND_SLAM,MS,100,Main Draw,KOVAC Borna (CRO),MOHLER Nicola (SUI)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,ANGLES Enzo,BACHSTATTER Joachim,4,1,"11,11,11,11,12|8,9,9,13,10",R32,GRAND_SLAM,MS,100,Main Draw,ANGLES Enzo (FRA),BACHSTATTER Joachim (SWE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,LE BRETON Thomas,MERCHEZ Cedric,4,1,"10,11,12,12,11|12,8,10,10,7",R32,GRAND_SLAM,MS,100,Main Draw,LE BRETON Thomas (FRA),MERCHEZ Cedric (BEL)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,LORENTZ Romain,DEVOS Robin,4,0,"11,11,11,11|7,5,7,9",R32,GRAND_SLAM,MS,100,Main Draw,LORENTZ Romain (FRA),DEVOS Robin (BEL)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,JEAN Lauric,BRODD Viktor,4,3,"10,13,11,2,6,13,11|12,11,7,11,11,11,8",R32,GRAND_SLAM,MS,100,Main Draw,JEAN Lauric (BEL),BRODD Viktor (SWE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,TORNKVIST Andreas,WEBER Lionel,4,3,"11,8,9,11,11,8,11|6,11,11,7,9,11,9",R32,GRAND_SLAM,MS,100,Main Draw,TORNKVIST Andreas (SWE),WEBER Lionel (SUI)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,MENGEL Steffen,BERNER Eric,4,2,"9,11,12,11,7,11|11,7,10,6,11,4",R32,GRAND_SLAM,MS,100,Main Draw,MENGEL Steffen (GER),BERNER Eric (NOR)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,OVERSJO Mattias,SALIFOU Abdel-Kader,4,3,"11,11,9,6,11,5,11|6,1,11,11,6,11,6",R32,GRAND_SLAM,MS,100,Main Draw,OVERSJO Mattias (SWE),SALIFOU Abdel-Kader (BEN)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,NAGY Krisztian,GAUZY Paul,4,1,"8,12,11,11,11|11,10,6,9,5",R32,GRAND_SLAM,MS,100,Main Draw,NAGY Krisztian (HUN),GAUZY Paul (FRA)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,DUDA Benedikt,NORDBERG Hampus,4,3,"11,8,9,11,11,9,11|6,11,11,3,7,11,5",R32,GRAND_SLAM,MS,100,Main Draw,DUDA Benedikt (GER),NORDBERG Hampus (SWE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,SZYMANSKI Filip,SODERLUND Hampus,4,0,"11,11,11,11|6,8,5,7",R32,GRAND_SLAM,MS,100,Main Draw,SZYMANSKI Filip (POL),SODERLUND Hampus (SWE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,VOSTES Yannick,TRAN Anthony,4,1,"11,11,11,5,11|5,9,5,11,9",R32,GRAND_SLAM,MS,100,Main Draw,VOSTES Yannick (BEL),TRAN Anthony (SWE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,AKERSTROM Fabian,LANDRIEU Andrea,4,0,"11,11,11,11|5,8,6,6",R32,GRAND_SLAM,MS,100,Main Draw,AKERSTROM Fabian (SWE),LANDRIEU Andrea (FRA)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,QIU Liang,NUYTINCK Cedric,4,3,"8,11,11,3,11,4,11|11,9,8,11,5,11,6",R32,GRAND_SLAM,MS,100,Main Draw,QIU Liang (GER),NUYTINCK Cedric (BEL)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,ROBINOT Quentin,BENES Michal,4,1,"11,11,6,11,11|5,8,11,2,6",R32,GRAND_SLAM,MS,100,Main Draw,ROBINOT Quentin (FRA),BENES Michal (CZE)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,HUANG Sheng-Sheng,KOVAC Borna,4,2,"15,9,11,11,8,11|13,11,8,4,11,9",R16,GRAND_SLAM,MS,100,Main Draw,HUANG Sheng-Sheng (TPE),KOVAC Borna (CRO)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,LE BRETON Thomas,ANGLES Enzo,4,2,"5,13,13,11,8,11|11,11,11,8,11,7",R16,GRAND_SLAM,MS,100,Main Draw,LE BRETON Thomas (FRA),ANGLES Enzo (FRA)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,LORENTZ Romain,JEAN Lauric,4,2,"11,12,9,13,8,11|8,10,11,11,11,2",R16,GRAND_SLAM,MS,100,Main Draw,LORENTZ Romain (FRA),JEAN Lauric (BEL)
Euro-Africa Belgium Open Antwerpen 2012,2012-09-26,MENGEL Steffen,TORNKVIST Andreas,4,2,"12,13,11,10,11,11|14,11,5,12,8,5",R16,GRAND_SLAM,MS,100,Main Draw,MENGEL Steffen (GER),TORNKVIST Andreas (SWE)
