tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,FREITAS Marcos,PISTEJ Lubomir,3,0,,,OLYMPICS,MS,543,Qualification,FREITAS Marcos (POR),PISTEJ Lubomir (SVK)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,FREITAS Marcos,PATTANTYUS Adam,3,0,,,OLYMPICS,MS,543,Qualification,FREITAS Marcos (POR),PATTANTYUS Adam (HUN)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,PATTANTYUS Adam,SMIRNOV Aleksandr,3,0,,,OLYMPICS,MS,543,Qualification,PATTANTYUS Adam (HUN),SMIRNOV Aleksandr (EST)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,LI Ahmet,KOJIC Frane,3,0,,,OLYMPICS,MS,543,Qualification,LI Ahmet (TUR),KOJIC Frane (CRO)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,PETO Zsolt,SKACHKOV Kirill,3,0,,,OLYMPICS,MS,543,Qualification,PETO Zsolt (SRB),SKACHKOV Kirill (RUS)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,SKACHKOV Kirill,LI Ahmet,3,0,,,OLYMPICS,MS,543,Qualification,SKACHKOV Kirill (RUS),LI Ahmet (TUR)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,ROBINOT Quentin,LUNDQVIST Jens,3,0,,,OLYMPICS,MS,543,Qualification,ROBINOT Quentin (FRA),LUNDQVIST Jens (SWE)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,BAGGALEY Andrew,MENGE Gencay,3,0,,,OLYMPICS,MS,543,Qualification,BAGGALEY Andrew (ENG),MENGE Gencay (TUR)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,LUNDQVIST Jens,BAGGALEY Andrew,3,0,,,OLYMPICS,MS,543,Qualification,LUNDQVIST Jens (SWE),BAGGALEY Andrew (ENG)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,PLATONOV Pavel,BEN ARI Omri,3,0,,,OLYMPICS,MS,543,Qualification,PLATONOV Pavel (BLR),BEN ARI Omri (ISR)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,ROBINOT Quentin,MENGE Gencay,3,0,,,OLYMPICS,MS,543,Qualification,ROBINOT Quentin (FRA),MENGE Gencay (TUR)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,LUNDQVIST Jens,MENGE Gencay,3,0,,,OLYMPICS,MS,543,Qualification,LUNDQVIST Jens (SWE),MENGE Gencay (TUR)
European Olympic Qualification Tournament Luxembourg 2012,2012-04-11,ROBINOT Quentin,BAGGALEY Andrew,3,0,,,OLYMPICS,MS,543,Qualification,ROBINOT Quentin (FRA),BAGGALEY Andrew (ENG)
