tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Finlandia Open Helsinki 2012,2012-11-29,DOHERTY Sean,SOPELEU Anton,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,DOHERTY Sean (SCO),SOPELEU Anton (BLR),DOHERTY Sean
Finlandia Open Helsinki 2012,2012-11-29,LOSO Sebastian,NYBERG Jan,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,LOSO Sebastian (SWE),NYBERG Jan (FIN),LOSO Sebastian
Finlandia Open Helsinki 2012,2012-11-29,SWARTENBROUCKX Gaetan,SCHREINER Florian,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,SWARTENBROUCKX Gaetan (BEL),SCHREINER Florian (GER),SWARTENBROUCKX Gaetan
Finlandia Open Helsinki 2012,2012-11-29,PFEFFER Simon,POLOZOV Sergey,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,PFEFFER Simon (AUT),POLOZOV Sergey (RUS),PFEFFER Simon
Finlandia Open Helsinki 2012,2012-11-29,OOSTWOUDER Ewout,O'CONNELL Daniel,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,OOSTWOUDER Ewout (NED),O'CONNELL Daniel (WAL),OOSTWOUDER Ewout
Finlandia Open Helsinki 2012,2012-11-29,KRASTEV Petyo,FLAGLIEN Espen,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,KRASTEV Petyo (BUL),FLAGLIEN Espen (NOR),KRASTEV Petyo
Finlandia Open Helsinki 2012,2012-11-29,RUIZ Romain,KOURILTCHIK Nikita,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,RUIZ Romain (FRA),KOURILTCHIK Nikita (BLR),RUIZ Romain
Finlandia Open Helsinki 2012,2012-11-29,LANDRIEU Andrea,MELKUEV Semen,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,LANDRIEU Andrea (FRA),MELKUEV Semen (RUS),LANDRIEU Andrea
Finlandia Open Helsinki 2012,2012-11-29,LEITGEB Stefan,MUSTONEN Aleksi,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,LEITGEB Stefan (AUT),MUSTONEN Aleksi (FIN),LEITGEB Stefan
Finlandia Open Helsinki 2012,2012-11-29,AFANASENKA Siarhei,EFROYKIN Maxim,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,AFANASENKA Siarhei (BLR),EFROYKIN Maxim (RUS),AFANASENKA Siarhei
Finlandia Open Helsinki 2012,2012-11-29,SAVELEV Sergei,ROMAN Sebastian,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,SAVELEV Sergei (RUS),ROMAN Sebastian (CHI),SAVELEV Sergei
Finlandia Open Helsinki 2012,2012-11-29,BARABANOV Kiryl,OCONNOR Miikka,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,BARABANOV Kiryl (BLR),OCONNOR Miikka (FIN),BARABANOV Kiryl
Finlandia Open Helsinki 2012,2012-11-29,TER LUUN Casper,IVANOV Nikita,3,0,,R128,WTT_CONTENDER,MS,549,Main Draw,TER LUUN Casper (NED),IVANOV Nikita (RUS),TER LUUN Casper
