tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Latin America Cup San Jose 2012,2012-05-25,LIN Ju,ST LOUIS Dexter,4,3,"5,5,11,10,11,11,13|11,11,7,12,2,7,11",,OTHER,MS,558,Qualification,LIN Ju (DOM),ST LOUIS Dexter (TTO),LIN Ju
ITTF Latin America Cup San Jose 2012,2012-05-25,ALTO Gaston,LIN Ju,4,0,"11,12,11,11|4,10,9,7",,OTHER,MS,558,Qualification,ALTO Gaston (ARG),LIN Ju (DOM),ALTO Gaston
ITTF Latin America Cup San Jose 2012,2012-05-25,ST LOUIS Dexter,ALTO Gaston,4,2,"11,6,11,11,9,11|7,11,6,9,11,9",,OTHER,MS,558,Qualification,ST LOUIS Dexter (TTO),ALTO Gaston (ARG),ST LOUIS Dexter
ITTF Latin America Cup San Jose 2012,2012-05-25,MATSUMOTO Cazuo,TABACHNIK Pablo,4,2,"11,11,12,7,9,13|6,2,10,11,11,11",,OTHER,MS,558,Qualification,MATSUMOTO Cazuo (BRA),TABACHNIK Pablo (ARG),MATSUMOTO Cazuo
ITTF Latin America Cup San Jose 2012,2012-05-25,MATSUMOTO Cazuo,CAMPOS Jorge,4,2,"11,11,6,12,10,11|9,7,11,10,12,3",,OTHER,MS,558,Qualification,MATSUMOTO Cazuo (BRA),CAMPOS Jorge (CUB),MATSUMOTO Cazuo
ITTF Latin America Cup San Jose 2012,2012-05-25,CAMPOS Jorge,TABACHNIK Pablo,4,1,"11,11,11,8,11|6,6,5,11,8",,OTHER,MS,558,Qualification,CAMPOS Jorge (CUB),TABACHNIK Pablo (ARG),CAMPOS Jorge
ITTF Latin America Cup San Jose 2012,2012-05-25,LIU Song,CALVO Allan,4,0,"11,11,11,11|7,5,5,5",,OTHER,MS,558,Qualification,LIU Song (ARG),CALVO Allan (CRC),LIU Song
ITTF Latin America Cup San Jose 2012,2012-05-25,LIU Song,HOYAMA Hugo,4,0,"11,11,11,11|4,7,6,5",,OTHER,MS,558,Qualification,LIU Song (ARG),HOYAMA Hugo (BRA),LIU Song
ITTF Latin America Cup San Jose 2012,2012-05-25,HOYAMA Hugo,CALVO Allan,4,1,"9,11,11,11,11|11,6,9,7,6",,OTHER,MS,558,Qualification,HOYAMA Hugo (BRA),CALVO Allan (CRC),HOYAMA Hugo
ITTF Latin America Cup San Jose 2012,2012-05-25,MONTEIRO Thiago,GATICA Hector,4,2,"9,11,11,11,8,11|11,7,4,9,11,4",,OTHER,MS,558,Qualification,MONTEIRO Thiago (BRA),GATICA Hector (GUA),MONTEIRO Thiago
ITTF Latin America Cup San Jose 2012,2012-05-25,MONTEIRO Thiago,AGUIRRE Marcelo,4,2,"7,11,11,8,11,11|11,5,8,11,9,5",,OTHER,MS,558,Qualification,MONTEIRO Thiago (BRA),AGUIRRE Marcelo (PAR),MONTEIRO Thiago
