tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MORA Yohan,VITE Marlon,3,0,"11,11,11|9,7,5",QR64,OTHER,MS,557,Qualification,MORA Yohan (CUB),VITE Marlon (ECU),MORA Yohan
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,BARRETO Israel,LAMADRID Juan,3,2,"10,11,6,11,11|12,8,11,9,8",QR64,OTHER,MS,557,Qualification,BARRETO Israel (BRA),LAMADRID Juan (CHI),BARRETO Israel
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,CORREA Cecilio,TAPIA Rodrigo,3,1,"12,8,11,12|10,11,5,10",QR64,OTHER,MS,557,Qualification,CORREA Cecilio (VEN),TAPIA Rodrigo (ECU),CORREA Cecilio
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,DIAZ Luis,URIBE Salvador,3,2,"11,11,10,11,14|4,8,12,13,12",QR64,OTHER,MS,557,Qualification,DIAZ Luis (VEN),URIBE Salvador (MEX),DIAZ Luis
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,AVI-TAL Omer,PEREYRA ALEMAN Patricio,3,2,"9,11,11,9,13|11,8,8,11,11",QR64,OTHER,MS,557,Qualification,AVI-TAL Omer (PAN),PEREYRA ALEMAN Patricio (PER),AVI-TAL Omer
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,OSORIO Santiago,GALVEZ Samuel,3,0,"11,12,11|8,10,9",QR64,OTHER,MS,557,Qualification,OSORIO Santiago (PAR),GALVEZ Samuel (DOM),OSORIO Santiago
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,FERNANDEZ Favert,LORENZOTTI Gonzalo,3,2,"9,11,11,11,11|11,8,3,13,8",QR64,OTHER,MS,557,Qualification,FERNANDEZ Favert (COL),LORENZOTTI Gonzalo (URU),FERNANDEZ Favert
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,ST LOUIS Dexter,BARRETO Danilo,3,2,"11,9,8,11,11|8,11,11,7,4",QR32,OTHER,MS,557,Qualification,ST LOUIS Dexter (TTO),BARRETO Danilo (VEN),ST LOUIS Dexter
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,OLIVARES Felipe,MORA Yohan,3,0,"11,11,11|8,4,8",QR32,OTHER,MS,557,Qualification,OLIVARES Felipe (CHI),MORA Yohan (CUB),OLIVARES Felipe
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,TOMA Danilo,LI Julio,3,0,"11,11,11|2,4,9",QR32,OTHER,MS,557,Qualification,TOMA Danilo (BRA),LI Julio (PER),TOMA Danilo
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,NAVAS Marco,BARRETO Israel,3,2,"6,11,12,10,11|11,9,10,12,6",QR32,OTHER,MS,557,Qualification,NAVAS Marco (VEN),BARRETO Israel (BRA),NAVAS Marco
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,DONADO Josue,NAVARRO Jorge,3,0,"11,11,12|5,6,10",QR32,OTHER,MS,557,Qualification,DONADO Josue (ESA),NAVARRO Jorge (MEX),DONADO Josue
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,GILABERT Rodrigo,CORREA Cecilio,3,2,"11,11,6,7,11|5,9,11,11,4",QR32,OTHER,MS,557,Qualification,GILABERT Rodrigo (ARG),CORREA Cecilio (VEN),GILABERT Rodrigo
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MANHANI Humberto,CHAN Steven,3,0,"11,11,11|5,4,5",QR32,OTHER,MS,557,Qualification,MANHANI Humberto (BRA),CHAN Steven (PAN),MANHANI Humberto
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MANCINI Eric,HERRERA Jorge,3,0,"11,11,11|3,4,6",QR32,OTHER,MS,557,Qualification,MANCINI Eric (BRA),HERRERA Jorge (GUA),MANCINI Eric
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,ACOSTA Juan,DIAZ Luis,3,0,"11,11,11|8,6,4",QR32,OTHER,MS,557,Qualification,ACOSTA Juan (PER),DIAZ Luis (VEN),ACOSTA Juan
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MUNOZ Guillermo,AVI-TAL Omer,3,0,"11,11,13|3,3,11",QR32,OTHER,MS,557,Qualification,MUNOZ Guillermo (MEX),AVI-TAL Omer (PAN),MUNOZ Guillermo
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,CAMPOS Jorge,MOYA Manuel,3,1,"7,11,11,11|11,7,9,7",QR32,OTHER,MS,557,Qualification,CAMPOS Jorge (CUB),MOYA Manuel (CHI),CAMPOS Jorge
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,OSORIO Santiago,ECHAVARRIA Alexander,3,2,"12,10,3,15,11|10,12,11,13,5",QR32,OTHER,MS,557,Qualification,OSORIO Santiago (PAR),ECHAVARRIA Alexander (COL),OSORIO Santiago
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MOSCOSO Heber,COELLO Geovanny,3,0,"11,11,11|7,4,7",QR32,OTHER,MS,557,Qualification,MOSCOSO Heber (GUA),COELLO Geovanny (ECU),MOSCOSO Heber
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,RODRIGUEZ Alejandro,FERNANDEZ Favert,3,1,"12,11,11,11|14,8,9,4",QR32,OTHER,MS,557,Qualification,RODRIGUEZ Alejandro (CHI),FERNANDEZ Favert (COL),RODRIGUEZ Alejandro
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,TABACHNIK Pablo,GAVILAN Axel,3,2,"7,11,11,11,11|11,5,13,3,8",QR32,OTHER,MS,557,Qualification,TABACHNIK Pablo (ARG),GAVILAN Axel (PAR),TABACHNIK Pablo
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,ST LOUIS Dexter,RAMOS Julian,3,1,"11,7,11,11|8,11,7,6",QR16,OTHER,MS,557,Qualification,ST LOUIS Dexter (TTO),RAMOS Julian (COL),ST LOUIS Dexter
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,TOMA Danilo,OLIVARES Felipe,3,2,"11,5,7,11,11|3,11,11,8,6",QR16,OTHER,MS,557,Qualification,TOMA Danilo (BRA),OLIVARES Felipe (CHI),TOMA Danilo
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,DONADO Josue,NAVAS Marco,3,2,"7,9,11,11,14|11,11,9,9,12",QR16,OTHER,MS,557,Qualification,DONADO Josue (ESA),NAVAS Marco (VEN),DONADO Josue
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MANHANI Humberto,GILABERT Rodrigo,3,1,"3,11,13,11|11,5,11,6",QR16,OTHER,MS,557,Qualification,MANHANI Humberto (BRA),GILABERT Rodrigo (ARG),MANHANI Humberto
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MANCINI Eric,ACOSTA Juan,3,0,"11,11,11|9,8,6",QR16,OTHER,MS,557,Qualification,MANCINI Eric (BRA),ACOSTA Juan (PER),MANCINI Eric
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,CAMPOS Jorge,MUNOZ Guillermo,3,0,"12,11,11|10,5,7",QR16,OTHER,MS,557,Qualification,CAMPOS Jorge (CUB),MUNOZ Guillermo (MEX),CAMPOS Jorge
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,MOSCOSO Heber,OSORIO Santiago,3,1,"9,11,12,11|11,9,10,6",QR16,OTHER,MS,557,Qualification,MOSCOSO Heber (GUA),OSORIO Santiago (PAR),MOSCOSO Heber
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,RODRIGUEZ Alejandro,TABACHNIK Pablo,3,0,"11,11,11|8,8,9",QR16,OTHER,MS,557,Qualification,RODRIGUEZ Alejandro (CHI),TABACHNIK Pablo (ARG),RODRIGUEZ Alejandro
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,CHUNG Rheann,CASTELLANO Natalia,3,0,"11,11,11|6,5,4",QR32,OTHER,WS,557,Qualification,CHUNG Rheann (TTO),CASTELLANO Natalia (CHI),CHUNG Rheann
ITTF Latin American Championships Rio de Janeiro 2012,2012-03-01,VARGAS Francesca,MADRID Mercedes,3,1,"11,5,11,11|1,11,7,6",QR32,OTHER,WS,557,Qualification,VARGAS Francesca (PER),MADRID Mercedes (MEX),VARGAS Francesca
