tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,HENZELL William,LAL Christopher,3,0,"11,11,11|1,4,2",,OTHER,MS,563,Qualification,HENZELL William (AUS),LAL Christopher (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,HENZELL William,CERVEAUX Adrien,4,0,"11,11,11,11|4,3,7,6",,OTHER,MS,563,Qualification,HENZELL William (AUS),CERVEAUX Adrien (NCL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CERVEAUX Adrien,LAL Christopher,4,0,"11,11,11,11|8,8,8,5",,OTHER,MS,563,Qualification,CERVEAUX Adrien (NCL),LAL Christopher (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,FRANK Robert,BARAO Taati,4,0,"11,11,11,11|6,1,3,5",,OTHER,MS,563,Qualification,FRANK Robert (AUS),BARAO Taati (KIR)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,FRANK Robert,LULU Ham,4,0,"11,11,11,11|3,5,8,3",,OTHER,MS,563,Qualification,FRANK Robert (AUS),LULU Ham (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LULU Ham,BARAO Taati,4,2,"11,4,11,7,11,11|4,11,7,11,4,5",,OTHER,MS,563,Qualification,LULU Ham (VAN),BARAO Taati (KIR)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,POWELL David,CHAND Sanesh,3,0,"11,11,11|8,4,1",,OTHER,MS,563,Qualification,POWELL David (AUS),CHAND Sanesh (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,FREDDY Choy,SCOTTY D-Jay,4,0,"13,11,12,11|11,4,10,2",,OTHER,MS,563,Qualification,FREDDY Choy (KIR),SCOTTY D-Jay (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,POWELL David,FREDDY Choy,4,0,"11,11,12,11|4,9,10,5",,OTHER,MS,563,Qualification,POWELL David (AUS),FREDDY Choy (KIR)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CHAND Sanesh,SCOTTY D-Jay,4,1,"11,11,11,4,11|8,5,9,11,6",,OTHER,MS,563,Qualification,CHAND Sanesh (FIJ),SCOTTY D-Jay (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,FREDDY Choy,CHAND Sanesh,4,0,"11,11,11,11|3,2,5,8",,OTHER,MS,563,Qualification,FREDDY Choy (KIR),CHAND Sanesh (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,POWELL David,SCOTTY D-Jay,4,0,"11,11,11,11|1,2,3,1",,OTHER,MS,563,Qualification,POWELL David (AUS),SCOTTY D-Jay (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,XIAO Phillip,ITAIA Obrian,4,0,"11,11,11,11|7,1,1,2",,OTHER,MS,563,Qualification,XIAO Phillip (NZL),ITAIA Obrian (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Fabien,LAM Alan,4,0,"11,11,11,11|2,7,2,8",,OTHER,MS,563,Qualification,LAI VAN Fabien (NCL),LAM Alan (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,XIAO Phillip,LAI VAN Fabien,4,1,"11,11,9,11,11|5,8,11,5,5",,OTHER,MS,563,Qualification,XIAO Phillip (NZL),LAI VAN Fabien (NCL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,ITAIA Obrian,LAM Alan,4,0,"11,11,12,11|8,8,10,6",,OTHER,MS,563,Qualification,ITAIA Obrian (NRU),LAM Alan (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Fabien,ITAIA Obrian,4,1,"7,11,11,11,11|11,8,6,8,5",,OTHER,MS,563,Qualification,LAI VAN Fabien (NCL),ITAIA Obrian (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,XIAO Phillip,LAM Alan,4,0,"11,11,11,11|3,2,2,4",,OTHER,MS,563,Qualification,XIAO Phillip (NZL),LAM Alan (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CORDUE John,ITAIA Sharky,4,0,"11,11,11,11|2,2,3,1",,OTHER,MS,563,Qualification,CORDUE John (NZL),ITAIA Sharky (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,PARK Young Jun,4,0,"11,11,11,11|2,1,7,5",,OTHER,MS,563,Qualification,SHING Yoshua (VAN),PARK Young Jun (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CORDUE John,SHING Yoshua,4,1,"11,11,3,11,14|4,8,11,8,12",,OTHER,MS,563,Qualification,CORDUE John (NZL),SHING Yoshua (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,PARK Young Jun,ITAIA Sharky,4,2,"8,13,11,6,11,11|11,11,7,11,6,4",,OTHER,MS,563,Qualification,PARK Young Jun (FIJ),ITAIA Sharky (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,ITAIA Sharky,4,0,"11,11,11,11|2,1,4,3",,OTHER,MS,563,Qualification,SHING Yoshua (VAN),ITAIA Sharky (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CORDUE John,PARK Young Jun,4,0,"11,11,11,11|2,4,2,2",,OTHER,MS,563,Qualification,CORDUE John (NZL),PARK Young Jun (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,WU Kevin,DOROVOLOMO Rob,4,0,"11,11,11,11|3,2,1,5",,OTHER,MS,563,Qualification,WU Kevin (NZL),DOROVOLOMO Rob (SOL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,TABURIMAI Teingia,4,0,"11,11,11,11|2,2,4,3",,OTHER,MS,563,Qualification,GILABERT Stephane (NCL),TABURIMAI Teingia (KIR)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,WU Kevin,GILABERT Stephane,4,0,"11,11,11,11|6,7,3,7",,OTHER,MS,563,Qualification,WU Kevin (NZL),GILABERT Stephane (NCL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,TABURIMAI Teingia,DOROVOLOMO Rob,4,1,"11,7,11,11,16|7,11,5,5,14",,OTHER,MS,563,Qualification,TABURIMAI Teingia (KIR),DOROVOLOMO Rob (SOL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,DOROVOLOMO Rob,4,0,"11,11,11,11|4,5,2,7",,OTHER,MS,563,Qualification,GILABERT Stephane (NCL),DOROVOLOMO Rob (SOL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,WU Kevin,TABURIMAI Teingia,4,0,"11,11,11,11|3,6,4,7",,OTHER,MS,563,Qualification,WU Kevin (NZL),TABURIMAI Teingia (KIR)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LAY Jian Fang,YEE Harvi,4,0,"11,11,11,11|2,4,2,2",,OTHER,WS,563,Qualification,LAY Jian Fang (AUS),YEE Harvi (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LAY Jian Fang,LAI VAN Lea,4,0,"11,11,11,11|6,1,1,3",,OTHER,WS,563,Qualification,LAY Jian Fang (AUS),LAI VAN Lea (NCL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Lea,YEE Harvi,4,0,"11,11,11,11|5,6,3,5",,OTHER,WS,563,Qualification,LAI VAN Lea (NCL),YEE Harvi (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LI Chunli,KOI Julia,4,0,"11,11,11,11|2,2,0,3",,OTHER,WS,563,Qualification,LI Chunli (NZL),KOI Julia (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LI Chunli,FAEHAU Fabiana,4,0,"11,11,11,11|2,3,1,7",,OTHER,WS,563,Qualification,LI Chunli (NZL),FAEHAU Fabiana (NCL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,FAEHAU Fabiana,KOI Julia,4,0,"11,11,11,11|3,2,5,6",,OTHER,WS,563,Qualification,FAEHAU Fabiana (NCL),KOI Julia (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,MIAO Miao,GRUNDLER Serafina,4,0,"11,11,11,11|2,2,2,5",,OTHER,WS,563,Qualification,MIAO Miao (AUS),GRUNDLER Serafina (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,MIAO Miao,LULU Anolyn,4,0,"11,11,11,11|2,6,3,6",,OTHER,WS,563,Qualification,MIAO Miao (AUS),LULU Anolyn (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,LULU Anolyn,GRUNDLER Serafina,4,0,"11,11,11,11|1,5,5,2",,OTHER,WS,563,Qualification,LULU Anolyn (VAN),GRUNDLER Serafina (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,DEDERKO Zhenhua,GOBURE Oxyna,4,0,"11,11,11,11|3,2,2,3",,OTHER,WS,563,Qualification,DEDERKO Zhenhua (AUS),GOBURE Oxyna (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,PATERSON Natalie,ABEL Rosanna,4,0,"11,11,11,11|5,5,4,4",,OTHER,WS,563,Qualification,PATERSON Natalie (NZL),ABEL Rosanna (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,DEDERKO Zhenhua,PATERSON Natalie,4,0,"11,11,11,11|6,6,7,6",,OTHER,WS,563,Qualification,DEDERKO Zhenhua (AUS),PATERSON Natalie (NZL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GOBURE Oxyna,ABEL Rosanna,4,1,"10,13,11,11,11|12,11,5,5,7",,OTHER,WS,563,Qualification,GOBURE Oxyna (NRU),ABEL Rosanna (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,PATERSON Natalie,GOBURE Oxyna,4,0,"11,11,11,11|3,1,9,6",,OTHER,WS,563,Qualification,PATERSON Natalie (NZL),GOBURE Oxyna (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,DEDERKO Zhenhua,ABEL Rosanna,4,0,"11,11,11,11|3,2,2,6",,OTHER,WS,563,Qualification,DEDERKO Zhenhua (AUS),ABEL Rosanna (VAN)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,HER-LEE Sarah,GUTTERSBERGER Tanya,4,0,"11,11,11,11|2,4,3,2",,OTHER,WS,563,Qualification,HER-LEE Sarah (NZL),GUTTERSBERGER Tanya (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,TSITSI Remmah,4,0,"11,11,11,11|3,5,3,8",,OTHER,WS,563,Qualification,GAUTHIER Cathy (NCL),TSITSI Remmah (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,HER-LEE Sarah,4,3,"9,12,11,11,5,4,11|11,10,5,9,11,11,4",,OTHER,WS,563,Qualification,GAUTHIER Cathy (NCL),HER-LEE Sarah (NZL)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GUTTERSBERGER Tanya,TSITSI Remmah,4,2,"10,11,12,11,8,12|12,6,10,7,11,10",,OTHER,WS,563,Qualification,GUTTERSBERGER Tanya (FIJ),TSITSI Remmah (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,GUTTERSBERGER Tanya,4,0,"11,11,11,11|6,5,5,1",,OTHER,WS,563,Qualification,GAUTHIER Cathy (NCL),GUTTERSBERGER Tanya (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,HER-LEE Sarah,TSITSI Remmah,4,0,"11,11,11,11|0,1,1,5",,OTHER,WS,563,Qualification,HER-LEE Sarah (NZL),TSITSI Remmah (NRU)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CATHCART Dillon,RANUKU Diego,3,0,"11,11,11|9,4,5",,OTHER,U21MS,563,Qualification,CATHCART Dillon (AUS),RANUKU Diego (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,CATHCART Dillon,WING Philip,3,0,"11,11,11|9,9,8",,OTHER,U21MS,563,Qualification,CATHCART Dillon (AUS),WING Philip (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,WING Philip,RANUKU Diego,3,2,"11,16,11,9,12|5,18,6,11,10",,OTHER,U21MS,563,Qualification,WING Philip (FIJ),RANUKU Diego (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,NGUYEN Thom,BARR Kevin,3,0,"11,11,11|1,1,7",,OTHER,U21MS,563,Qualification,NGUYEN Thom (NZL),BARR Kevin (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,NGUYEN Thom,SHARMA Ashutosh,3,0,"11,11,11|1,3,2",,OTHER,U21MS,563,Qualification,NGUYEN Thom (NZL),SHARMA Ashutosh (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,BARR Kevin,SHARMA Ashutosh,3,1,"4,11,11,11|11,7,9,6",,OTHER,U21MS,563,Qualification,BARR Kevin (FIJ),SHARMA Ashutosh (FIJ)
ITTF Oceania Championships and ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,SCOTTY D-Jay,3,0,"11,11,11|4,5,5",,OTHER,U21MS,563,Qualification,GILABERT Stephane (NCL),SCOTTY D-Jay (NRU)
