tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,JOHNNY Allie,4,0,"11,11,11,11|4,3,8,6",R16,OTHER,MS,573,Main Draw,GILABERT Stephane (NCL),JOHNNY Allie (KIR),GILABERT Stephane
ITTF Oceania Cup Suva 2012,2012-06-03,LAL Christopher,LAM Alan,4,0,"11,11,11,11|7,3,4,4",R16,OTHER,MS,573,Main Draw,LAL Christopher (FIJ),LAM Alan (VAN),LAL Christopher
ITTF Oceania Cup Suva 2012,2012-06-03,LULU Ham,DOROVOLOMO Rob,4,2,"11,6,11,11,8,11|7,11,6,7,11,3",R16,OTHER,MS,573,Main Draw,LULU Ham (VAN),DOROVOLOMO Rob (SOL),LULU Ham
ITTF Oceania Cup Suva 2012,2012-06-03,FREDDY Choy,ITAIA Obrian,4,1,"11,9,11,11,11|4,11,4,7,5",R16,OTHER,MS,573,Main Draw,FREDDY Choy (KIR),ITAIA Obrian (NRU),FREDDY Choy
ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Fabien,ITAIA Sharky,4,0,"11,11,11,11|7,5,7,7",R16,OTHER,MS,573,Main Draw,LAI VAN Fabien (NCL),ITAIA Sharky (NRU),LAI VAN Fabien
ITTF Oceania Cup Suva 2012,2012-06-03,CHAND Sanesh,BARAO Taati,4,1,"11,11,4,13,11|8,8,11,11,9",R16,OTHER,MS,573,Main Draw,CHAND Sanesh (FIJ),BARAO Taati (KIR),CHAND Sanesh
ITTF Oceania Cup Suva 2012,2012-06-03,CERVEAUX Adrien,SCOTTY D-Jay,4,0,"11,11,11,11|8,5,5,3",R16,OTHER,MS,573,Main Draw,CERVEAUX Adrien (NCL),SCOTTY D-Jay (NRU),CERVEAUX Adrien
ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,PARK Young Jun,4,0,"11,11,11,11|7,6,3,7",R16,OTHER,MS,573,Main Draw,SHING Yoshua (VAN),PARK Young Jun (FIJ),SHING Yoshua
ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,LAL Christopher,4,0,"11,11,11,11|4,4,9,7",QF,OTHER,MS,573,Main Draw,GILABERT Stephane (NCL),LAL Christopher (FIJ),GILABERT Stephane
ITTF Oceania Cup Suva 2012,2012-06-03,FREDDY Choy,LULU Ham,4,1,"10,11,11,11,12|12,4,6,7,10",QF,OTHER,MS,573,Main Draw,FREDDY Choy (KIR),LULU Ham (VAN),FREDDY Choy
ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Fabien,CHAND Sanesh,4,0,"11,11,11,11|6,8,3,8",QF,OTHER,MS,573,Main Draw,LAI VAN Fabien (NCL),CHAND Sanesh (FIJ),LAI VAN Fabien
ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,CERVEAUX Adrien,4,3,"11,7,10,11,9,11,11|8,11,12,1,11,7,3",QF,OTHER,MS,573,Main Draw,SHING Yoshua (VAN),CERVEAUX Adrien (NCL),SHING Yoshua
ITTF Oceania Cup Suva 2012,2012-06-03,GILABERT Stephane,FREDDY Choy,4,3,"11,11,11,9,11,7,11|6,13,7,11,9,11,6",SF,OTHER,MS,573,Main Draw,GILABERT Stephane (NCL),FREDDY Choy (KIR),GILABERT Stephane
ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,LAI VAN Fabien,4,1,"11,9,11,11,11|6,11,5,9,7",SF,OTHER,MS,573,Main Draw,SHING Yoshua (VAN),LAI VAN Fabien (NCL),SHING Yoshua
ITTF Oceania Cup Suva 2012,2012-06-03,SHING Yoshua,GILABERT Stephane,4,0,"12,11,11,11|10,9,8,3",F,OTHER,MS,573,Main Draw,SHING Yoshua (VAN),GILABERT Stephane (NCL),SHING Yoshua
ITTF Oceania Cup Suva 2012,2012-06-03,GOBURE Oxyna,ABEL Rosanna,4,2,"4,7,11,11,11,11|11,11,4,8,5,4",R16,OTHER,WS,573,Main Draw,GOBURE Oxyna (NRU),ABEL Rosanna (VAN),GOBURE Oxyna
ITTF Oceania Cup Suva 2012,2012-06-03,KOI Julia,TSITSI Remmah,4,1,"11,7,11,13,11|9,11,8,11,4",R16,OTHER,WS,573,Main Draw,KOI Julia (FIJ),TSITSI Remmah (NRU),KOI Julia
ITTF Oceania Cup Suva 2012,2012-06-03,GUTTERSBERGER Tanya,GRUNDLER Serafina,4,2,"11,7,11,13,10,11|9,11,7,11,12,5",R16,OTHER,WS,573,Main Draw,GUTTERSBERGER Tanya (FIJ),GRUNDLER Serafina (NRU),GUTTERSBERGER Tanya
ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,GOBURE Oxyna,4,0,"11,11,11,11|1,2,7,6",QF,OTHER,WS,573,Main Draw,GAUTHIER Cathy (NCL),GOBURE Oxyna (NRU),GAUTHIER Cathy
ITTF Oceania Cup Suva 2012,2012-06-03,LAI VAN Lea,YEE Harvi,4,0,"11,11,11,11|5,2,7,4",QF,OTHER,WS,573,Main Draw,LAI VAN Lea (NCL),YEE Harvi (FIJ),LAI VAN Lea
ITTF Oceania Cup Suva 2012,2012-06-03,FAEHAU Fabiana,KOI Julia,4,0,"11,11,11,11|5,7,9,9",QF,OTHER,WS,573,Main Draw,FAEHAU Fabiana (NCL),KOI Julia (FIJ),FAEHAU Fabiana
ITTF Oceania Cup Suva 2012,2012-06-03,LULU Anolyn,GUTTERSBERGER Tanya,4,0,"11,11,11,11|5,1,5,4",QF,OTHER,WS,573,Main Draw,LULU Anolyn (VAN),GUTTERSBERGER Tanya (FIJ),LULU Anolyn
ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,LAI VAN Lea,4,0,"11,11,11,11|5,5,4,6",SF,OTHER,WS,573,Main Draw,GAUTHIER Cathy (NCL),LAI VAN Lea (NCL),GAUTHIER Cathy
ITTF Oceania Cup Suva 2012,2012-06-03,LULU Anolyn,FAEHAU Fabiana,4,0,"11,11,11,11|5,4,7,5",SF,OTHER,WS,573,Main Draw,LULU Anolyn (VAN),FAEHAU Fabiana (NCL),LULU Anolyn
ITTF Oceania Cup Suva 2012,2012-06-03,GAUTHIER Cathy,LULU Anolyn,4,1,"11,9,11,14,15|4,11,8,12,13",F,OTHER,WS,573,Main Draw,GAUTHIER Cathy (NCL),LULU Anolyn (VAN),GAUTHIER Cathy
