tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
New Caledonia Open Noumea 2012,2012-07-14,SENS Laurent,AMBROSINI Nicolas,3,0,,,WTT_CONTENDER,MS,582,Qualification,SENS Laurent (NCL),AMBROSINI Nicolas (NCL)
New Caledonia Open Noumea 2012,2012-07-14,SENS Laurent,GUILLOT Lorenzo,3,0,,,WTT_CONTENDER,MS,582,Qualification,SENS Laurent (NCL),GUILLOT Lorenzo (NCL)
New Caledonia Open Noumea 2012,2012-07-14,GUILLOT Lorenzo,AMBROSINI Nicolas,3,0,,,WTT_CONTENDER,MS,582,Qualification,GUILLOT Lorenzo (NCL),AMBROSINI Nicolas (NCL)
New Caledonia Open Noumea 2012,2012-07-14,GILABERT Stephane,COQUARD Charly,3,0,,,WTT_CONTENDER,MS,582,Qualification,GILABERT Stephane (NCL),COQUARD Charly (NCL)
New Caledonia Open Noumea 2012,2012-07-14,GILABERT Stephane,MONTEIRO Diego,3,0,,,WTT_CONTENDER,MS,582,Qualification,GILABERT Stephane (NCL),MONTEIRO Diego (NCL)
New Caledonia Open Noumea 2012,2012-07-14,COQUARD Charly,MONTEIRO Diego,3,0,,,WTT_CONTENDER,MS,582,Qualification,COQUARD Charly (NCL),MONTEIRO Diego (NCL)
New Caledonia Open Noumea 2012,2012-07-14,BILON Olivier,BOLTINOZ Florian,3,0,,,WTT_CONTENDER,MS,582,Qualification,BILON Olivier (NCL),BOLTINOZ Florian (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ESTIENNE Philippe,VUDUC Chad,3,0,,,WTT_CONTENDER,MS,582,Qualification,ESTIENNE Philippe (NCL),VUDUC Chad (NCL)
New Caledonia Open Noumea 2012,2012-07-14,BILON Olivier,ESTIENNE Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,BILON Olivier (NCL),ESTIENNE Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,BOLTINOZ Florian,VUDUC Chad,3,0,,,WTT_CONTENDER,MS,582,Qualification,BOLTINOZ Florian (NCL),VUDUC Chad (NCL)
New Caledonia Open Noumea 2012,2012-07-14,BILON Olivier,VUDUC Chad,3,0,,,WTT_CONTENDER,MS,582,Qualification,BILON Olivier (NCL),VUDUC Chad (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ESTIENNE Philippe,BOLTINOZ Florian,3,0,,,WTT_CONTENDER,MS,582,Qualification,ESTIENNE Philippe (NCL),BOLTINOZ Florian (NCL)
New Caledonia Open Noumea 2012,2012-07-14,LAI VAN Fabien,FICHTER Killyan,3,0,,,WTT_CONTENDER,MS,582,Qualification,LAI VAN Fabien (NCL),FICHTER Killyan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,MONTEIRO Avelino,ROUET Didier,3,0,,,WTT_CONTENDER,MS,582,Qualification,MONTEIRO Avelino (NCL),ROUET Didier (NCL)
New Caledonia Open Noumea 2012,2012-07-14,LAI VAN Fabien,MONTEIRO Avelino,3,0,,,WTT_CONTENDER,MS,582,Qualification,LAI VAN Fabien (NCL),MONTEIRO Avelino (NCL)
New Caledonia Open Noumea 2012,2012-07-14,FICHTER Killyan,ROUET Didier,3,0,,,WTT_CONTENDER,MS,582,Qualification,FICHTER Killyan (NCL),ROUET Didier (NCL)
New Caledonia Open Noumea 2012,2012-07-14,LAI VAN Fabien,ROUET Didier,3,0,,,WTT_CONTENDER,MS,582,Qualification,LAI VAN Fabien (NCL),ROUET Didier (NCL)
New Caledonia Open Noumea 2012,2012-07-14,MONTEIRO Avelino,FICHTER Killyan,3,0,,,WTT_CONTENDER,MS,582,Qualification,MONTEIRO Avelino (NCL),FICHTER Killyan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,QUINNE Remy,PELEGRIN Theo,3,0,,,WTT_CONTENDER,MS,582,Qualification,QUINNE Remy (NCL),PELEGRIN Theo (NCL)
New Caledonia Open Noumea 2012,2012-07-14,QUINNE Remy,LAI VAN Tuan,3,0,,,WTT_CONTENDER,MS,582,Qualification,QUINNE Remy (NCL),LAI VAN Tuan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,PELEGRIN Theo,LAI VAN Tuan,3,0,,,WTT_CONTENDER,MS,582,Qualification,PELEGRIN Theo (NCL),LAI VAN Tuan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ARNAUD Gilles,DAVIGNON Gregoire,3,0,,,WTT_CONTENDER,MS,582,Qualification,ARNAUD Gilles (NCL),DAVIGNON Gregoire (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ESTIENNE Valentin,FERNANDEZ Gaetan,3,0,,,WTT_CONTENDER,MS,582,Qualification,ESTIENNE Valentin (NCL),FERNANDEZ Gaetan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ARNAUD Gilles,ESTIENNE Valentin,3,0,,,WTT_CONTENDER,MS,582,Qualification,ARNAUD Gilles (NCL),ESTIENNE Valentin (NCL)
New Caledonia Open Noumea 2012,2012-07-14,DAVIGNON Gregoire,FERNANDEZ Gaetan,3,0,,,WTT_CONTENDER,MS,582,Qualification,DAVIGNON Gregoire (NCL),FERNANDEZ Gaetan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ARNAUD Gilles,FERNANDEZ Gaetan,3,0,,,WTT_CONTENDER,MS,582,Qualification,ARNAUD Gilles (NCL),FERNANDEZ Gaetan (NCL)
New Caledonia Open Noumea 2012,2012-07-14,ESTIENNE Valentin,DAVIGNON Gregoire,3,0,,,WTT_CONTENDER,MS,582,Qualification,ESTIENNE Valentin (NCL),DAVIGNON Gregoire (NCL)
New Caledonia Open Noumea 2012,2012-07-14,CERVEAUX Adrien,MOUCHART Frederic,3,0,,,WTT_CONTENDER,MS,582,Qualification,CERVEAUX Adrien (NCL),MOUCHART Frederic (NCL)
New Caledonia Open Noumea 2012,2012-07-14,CERVEAUX Adrien,KAMIZONA Victor,3,0,,,WTT_CONTENDER,MS,582,Qualification,CERVEAUX Adrien (NCL),KAMIZONA Victor (NZL)
New Caledonia Open Noumea 2012,2012-07-14,KAMIZONA Victor,MOUCHART Frederic,3,0,,,WTT_CONTENDER,MS,582,Qualification,KAMIZONA Victor (NZL),MOUCHART Frederic (NCL)
New Caledonia Open Noumea 2012,2012-07-14,WO Henri,PELEGRIN Remi,3,0,,,WTT_CONTENDER,MS,582,Qualification,WO Henri (NCL),PELEGRIN Remi (NCL)
New Caledonia Open Noumea 2012,2012-07-14,KAMBLOCK Mathieu,DOROVOLOMO Rob,3,0,,,WTT_CONTENDER,MS,582,Qualification,KAMBLOCK Mathieu (NCL),DOROVOLOMO Rob (SOL)
New Caledonia Open Noumea 2012,2012-07-14,WO Henri,DOROVOLOMO Rob,3,0,,,WTT_CONTENDER,MS,582,Qualification,WO Henri (NCL),DOROVOLOMO Rob (SOL)
New Caledonia Open Noumea 2012,2012-07-14,KAMBLOCK Mathieu,PELEGRIN Remi,3,0,,,WTT_CONTENDER,MS,582,Qualification,KAMBLOCK Mathieu (NCL),PELEGRIN Remi (NCL)
New Caledonia Open Noumea 2012,2012-07-14,WO Henri,KAMBLOCK Mathieu,3,0,,,WTT_CONTENDER,MS,582,Qualification,WO Henri (NCL),KAMBLOCK Mathieu (NCL)
New Caledonia Open Noumea 2012,2012-07-14,PELEGRIN Remi,DOROVOLOMO Rob,3,0,,,WTT_CONTENDER,MS,582,Qualification,PELEGRIN Remi (NCL),DOROVOLOMO Rob (SOL)
New Caledonia Open Noumea 2012,2012-07-14,MAS Laurent,PANNE Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,MAS Laurent (NCL),PANNE Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,FRANCISCO Thomas,BONNEFOIS Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,FRANCISCO Thomas (NCL),BONNEFOIS Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,MAS Laurent,BONNEFOIS Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,MAS Laurent (NCL),BONNEFOIS Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,FRANCISCO Thomas,PANNE Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,FRANCISCO Thomas (NCL),PANNE Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,MAS Laurent,FRANCISCO Thomas,3,0,,,WTT_CONTENDER,MS,582,Qualification,MAS Laurent (NCL),FRANCISCO Thomas (NCL)
New Caledonia Open Noumea 2012,2012-07-14,BONNEFOIS Philippe,PANNE Philippe,3,0,,,WTT_CONTENDER,MS,582,Qualification,BONNEFOIS Philippe (NCL),PANNE Philippe (NCL)
New Caledonia Open Noumea 2012,2012-07-14,VILLEMINOT Laurent,CHAND Sanesh,3,0,,,WTT_CONTENDER,MS,582,Qualification,VILLEMINOT Laurent (NCL),CHAND Sanesh (FIJ)
New Caledonia Open Noumea 2012,2012-07-14,ORTIS Charles,TUKI John,3,0,,,WTT_CONTENDER,MS,582,Qualification,ORTIS Charles (NCL),TUKI John (NZL)
