tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LIN Yi-Sien,BALL Matthew,3,0,,,OLYMPICS,MS,589,Qualification,LIN Yi-Sien (NZL),BALL Matthew (NZL),LIN Yi-Sien
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HENZELL William,POWELL David,3,0,,,OLYMPICS,MS,589,Qualification,HENZELL William (AUS),POWELL David (AUS),HENZELL William
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LIN Yi-Sien,SEN Richel,3,0,,,OLYMPICS,MS,589,Qualification,LIN Yi-Sien (NZL),SEN Richel (FIJ),LIN Yi-Sien
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HENZELL William,BALL Matthew,3,0,,,OLYMPICS,MS,589,Qualification,HENZELL William (AUS),BALL Matthew (NZL),HENZELL William
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,POWELL David,BALL Matthew,3,0,,,OLYMPICS,MS,589,Qualification,POWELL David (AUS),BALL Matthew (NZL),POWELL David
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HENZELL William,SEN Richel,3,0,,,OLYMPICS,MS,589,Qualification,HENZELL William (AUS),SEN Richel (FIJ),HENZELL William
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,POWELL David,SEN Richel,3,0,,,OLYMPICS,MS,589,Qualification,POWELL David (AUS),SEN Richel (FIJ),POWELL David
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HENZELL William,LIN Yi-Sien,3,0,,,OLYMPICS,MS,589,Qualification,HENZELL William (AUS),LIN Yi-Sien (NZL),HENZELL William
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,BALL Matthew,SEN Richel,3,0,,,OLYMPICS,MS,589,Qualification,BALL Matthew (NZL),SEN Richel (FIJ),BALL Matthew
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,POWELL David,LIN Yi-Sien,3,0,,,OLYMPICS,MS,589,Qualification,POWELL David (AUS),LIN Yi-Sien (NZL),POWELL David
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,XIAO Phillip,WANG Qi,3,0,,,OLYMPICS,MS,589,Qualification,XIAO Phillip (NZL),WANG Qi (FIJ),XIAO Phillip
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HAN Justin,FRANK Robert,3,0,,,OLYMPICS,MS,589,Qualification,HAN Justin (AUS),FRANK Robert (AUS),HAN Justin
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,XIAO Phillip,SHING Yoshua,3,0,,,OLYMPICS,MS,589,Qualification,XIAO Phillip (NZL),SHING Yoshua (VAN),XIAO Phillip
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HAN Justin,WANG Qi,3,0,,,OLYMPICS,MS,589,Qualification,HAN Justin (AUS),WANG Qi (FIJ),HAN Justin
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,FRANK Robert,WANG Qi,3,0,,,OLYMPICS,MS,589,Qualification,FRANK Robert (AUS),WANG Qi (FIJ),FRANK Robert
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HAN Justin,SHING Yoshua,3,0,,,OLYMPICS,MS,589,Qualification,HAN Justin (AUS),SHING Yoshua (VAN),HAN Justin
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,FRANK Robert,SHING Yoshua,3,0,,,OLYMPICS,MS,589,Qualification,FRANK Robert (AUS),SHING Yoshua (VAN),FRANK Robert
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,XIAO Phillip,HAN Justin,3,0,,,OLYMPICS,MS,589,Qualification,XIAO Phillip (NZL),HAN Justin (AUS),XIAO Phillip
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,FRANK Robert,XIAO Phillip,3,0,,,OLYMPICS,MS,589,Qualification,FRANK Robert (AUS),XIAO Phillip (NZL),FRANK Robert
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,SHING Yoshua,WANG Qi,3,0,,,OLYMPICS,MS,589,Qualification,SHING Yoshua (VAN),WANG Qi (FIJ),SHING Yoshua
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LAY Jian Fang,LI Chunli,3,0,,,OLYMPICS,WS,589,Qualification,LAY Jian Fang (AUS),LI Chunli (NZL),LAY Jian Fang
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,DEDERKO Zhenhua,LULU Anolyn,3,0,,,OLYMPICS,WS,589,Qualification,DEDERKO Zhenhua (AUS),LULU Anolyn (VAN),DEDERKO Zhenhua
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,MIAO Miao,CAMPBELL Peri,3,0,,,OLYMPICS,WS,589,Qualification,MIAO Miao (AUS),CAMPBELL Peri (AUS),MIAO Miao
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LAY Jian Fang,CAMPBELL Peri,3,0,,,OLYMPICS,WS,589,Qualification,LAY Jian Fang (AUS),CAMPBELL Peri (AUS),LAY Jian Fang
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,MIAO Miao,LULU Anolyn,3,0,,,OLYMPICS,WS,589,Qualification,MIAO Miao (AUS),LULU Anolyn (VAN),MIAO Miao
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LI Chunli,DEDERKO Zhenhua,3,0,,,OLYMPICS,WS,589,Qualification,LI Chunli (NZL),DEDERKO Zhenhua (AUS),LI Chunli
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LI Chunli,CAMPBELL Peri,3,0,,,OLYMPICS,WS,589,Qualification,LI Chunli (NZL),CAMPBELL Peri (AUS),LI Chunli
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,DEDERKO Zhenhua,MIAO Miao,3,0,,,OLYMPICS,WS,589,Qualification,DEDERKO Zhenhua (AUS),MIAO Miao (AUS),DEDERKO Zhenhua
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LAY Jian Fang,LULU Anolyn,3,0,,,OLYMPICS,WS,589,Qualification,LAY Jian Fang (AUS),LULU Anolyn (VAN),LAY Jian Fang
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LI Chunli,LULU Anolyn,3,0,,,OLYMPICS,WS,589,Qualification,LI Chunli (NZL),LULU Anolyn (VAN),LI Chunli
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,CAMPBELL Peri,DEDERKO Zhenhua,3,0,,,OLYMPICS,WS,589,Qualification,CAMPBELL Peri (AUS),DEDERKO Zhenhua (AUS),CAMPBELL Peri
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LAY Jian Fang,MIAO Miao,3,0,,,OLYMPICS,WS,589,Qualification,LAY Jian Fang (AUS),MIAO Miao (AUS),LAY Jian Fang
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,CAMPBELL Peri,LULU Anolyn,3,0,,,OLYMPICS,WS,589,Qualification,CAMPBELL Peri (AUS),LULU Anolyn (VAN),CAMPBELL Peri
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LI Chunli,MIAO Miao,3,0,,,OLYMPICS,WS,589,Qualification,LI Chunli (NZL),MIAO Miao (AUS),LI Chunli
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,DEDERKO Zhenhua,LAY Jian Fang,3,0,,,OLYMPICS,WS,589,Qualification,DEDERKO Zhenhua (AUS),LAY Jian Fang (AUS),DEDERKO Zhenhua
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,LIN Yi-Sien,SHING Yoshua,3,0,,SF,OLYMPICS,MS,589,Main Draw,LIN Yi-Sien (NZL),SHING Yoshua (VAN),LIN Yi-Sien
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,POWELL David,XIAO Phillip,3,0,,SF,OLYMPICS,MS,589,Main Draw,POWELL David (AUS),XIAO Phillip (NZL),POWELL David
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HENZELL William,HAN Justin,3,0,,SF,OLYMPICS,MS,589,Main Draw,HENZELL William (AUS),HAN Justin (AUS),HENZELL William
Oceania Olympic Qualification Tournament Sydney 2012,2012-03-05,HAN Justin,XIAO Phillip,3,0,,F,OLYMPICS,MS,589,Main Draw,HAN Justin (AUS),XIAO Phillip (NZL),HAN Justin
